User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Morgan,bicep curls,0,0.0001418590545654297,-0.04,1.0,-0.0,-582,2908,1779,131.56,-322.0,-254.84
Morgan,bicep curls,0,0.24269700050354004,-0.02,1.0,-0.0,1413,801,870,112.24,-325.68,-244.72
Morgan,bicep curls,0,0.381411075592041,-0.01,0.97,-0.0,-406,-185,-892,111.32,-330.28,-243.8
Morgan,bicep curls,0,0.523007869720459,-0.01,0.96,0.02,-57,451,17,120.52,-332.12,-247.48
Morgan,bicep curls,0,0.6224229335784912,-0.02,0.94,0.01,-219,194,430,120.52,-328.44,-243.8
Morgan,bicep curls,0,0.7474510669708252,-0.01,0.97,0.01,-363,173,-382,116.84,-326.6,-250.24
Morgan,bicep curls,0,0.871222972869873,-0.03,1.01,0.05,-428,-1278,-622,119.6,-322.0,-250.24
Morgan,bicep curls,0,1.0226550102233887,-0.04,1.04,0.03,-345,-2336,-1422,121.44,-323.84,-254.84
Morgan,bicep curls,0,1.1324410438537598,-0.1,1.08,0.03,-2698,-6897,-8134,134.32,-313.72,-267.72
Morgan,bicep curls,0,1.2451369762420654,-0.31,1.05,0.14,-5705,-6865,-14404,187.68,-264.96,-314.64
Morgan,bicep curls,0,1.3800890445709229,-0.51,0.94,0.28,-8857,-4398,-18857,271.4,-159.16,-365.24
Morgan,bicep curls,0,1.5221610069274902,-0.72,0.69,0.47,-14621,-6955,-20836,310.96,34.04,-435.16
Morgan,bicep curls,0,1.6363129615783691,-0.7,0.36,0.5,-15799,-1334,-18949,282.44,278.76,-449.88
Morgan,bicep curls,0,1.7613940238952637,-0.5,0.06,0.37,-4852,-382,-4927,230.92,419.52,-418.6
Morgan,bicep curls,0,1.9223120212554932,-0.48,-0.12,0.37,8796,1633,11316,256.68,370.76,-431.48
Morgan,bicep curls,0,2.022078037261963,-0.65,-0.03,0.44,10684,8320,18684,347.76,196.88,-425.96
Morgan,bicep curls,0,2.1336748600006104,-0.72,0.25,0.42,7101,7620,21143,373.52,98.44,-404.8
Morgan,bicep curls,0,2.2575490474700928,-0.68,0.58,0.34,5875,7589,20804,365.24,-90.16,-345.92
