User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Sidney,shoulder,0,0.00011301040649414062,-0.33,-0.99,-0.14,-1461,-2580,-399,223.56,497.72,-237.36
Sidney,shoulder,0,0.5203800201416016,-0.32,-0.95,-0.12,-1944,-3597,-237,204.24,509.68,-237.36
Sidney,shoulder,0,0.6366841793060303,-0.31,-0.96,-0.09,-24,-1417,480,193.2,515.2,-235.52
Sidney,shoulder,0,0.7368171215057373,-0.33,-0.99,-0.09,692,-860,-636,188.6,516.12,-241.04
Sidney,shoulder,0,0.8371970653533936,-0.31,-0.95,-0.09,2299,984,-573,183.08,510.6,-250.24
Sidney,shoulder,0,1.4190471172332764,-0.31,-0.95,-0.09,-1121,-757,-585,183.08,511.52,-251.16
Sidney,shoulder,0,1.536886215209961,-0.3,-0.98,-0.09,-2221,-1961,-112,173.88,522.56,-242.88
Sidney,shoulder,0,1.6372241973876953,-0.29,-0.98,-0.05,-187,-190,20,164.68,527.16,-238.28
Sidney,shoulder,0,1.7370631694793701,-0.28,-0.99,-0.06,-583,1395,891,165.6,527.16,-236.44
Sidney,shoulder,0,1.836515188217163,-0.3,-1.0,-0.06,1777,2872,1699,177.56,522.56,-236.44
Sidney,shoulder,0,1.9367179870605469,-0.31,-0.98,-0.05,2716,3503,1265,203.32,513.36,-238.28
Sidney,shoulder,0,2.0365071296691895,-0.31,-0.97,-0.1,2539,2815,-316,220.8,500.48,-244.72
Sidney,shoulder,0,2.286670207977295,-0.3,-0.96,-0.11,1452,1097,1018,229.08,493.12,-249.32
Sidney,shoulder,0,2.437263011932373,-0.28,-0.94,-0.12,-1321,528,823,235.52,487.6,-248.4
Sidney,shoulder,0,2.5367391109466553,-0.39,-1.18,-0.14,1843,-634,4255,239.2,483.0,-252.08
Sidney,shoulder,0,2.6372439861297607,-0.56,-1.24,-0.06,-3029,-7560,3724,276.0,451.72,-258.52
Sidney,shoulder,0,2.737255096435547,-0.41,-0.95,-0.02,-11509,-6516,-9406,243.8,485.76,-233.68
Sidney,shoulder,0,2.8372561931610107,-0.36,-0.76,-0.04,-6703,-1002,-12006,147.2,550.16,-176.64
Sidney,shoulder,0,2.9364421367645264,-0.23,-0.79,-0.18,-3329,113,-3708,84.64,572.24,-138.92
Sidney,shoulder,0,3.0365030765533447,-0.16,-0.81,-0.27,-519,1449,83,71.76,575.92,-130.64
Sidney,shoulder,0,3.1363542079925537,-0.09,-0.88,-0.34,182,1485,229,74.52,575.0,-128.8
Sidney,shoulder,0,3.2360692024230957,-0.07,-0.9,-0.36,-268,328,-463,72.68,574.08,-123.28
Sidney,shoulder,0,3.3372600078582764,-0.08,-0.9,-0.36,1967,-485,2064,73.6,574.08,-126.04
Sidney,shoulder,0,3.4372851848602295,-0.11,-0.8,-0.3,5686,207,5321,90.16,569.48,-147.2
Sidney,shoulder,0,3.53647518157959,-0.23,-0.88,-0.24,5055,-1738,6942,137.08,550.16,-186.76
Sidney,shoulder,0,3.6371450424194336,-0.29,-0.87,-0.2,5245,-1573,2995,182.16,520.72,-221.72
Sidney,shoulder,0,3.736854076385498,-0.34,-1.02,-0.14,2855,-1731,1465,193.2,505.08,-251.16
Sidney,shoulder,0,3.8372631072998047,-0.38,-1.01,-0.05,1447,-841,352,192.28,490.36,-268.64
Sidney,shoulder,0,3.937005043029785,-0.41,-1.03,0.01,6,-269,-230,193.2,486.68,-274.16
Sidney,shoulder,0,4.0369250774383545,-0.42,-1.03,0.02,-902,362,-43,189.52,491.28,-273.24
Sidney,shoulder,0,4.137091159820557,-0.42,-1.02,-0.0,-647,253,45,192.28,496.8,-264.96
Sidney,shoulder,0,4.2370970249176025,-0.41,-0.98,-0.03,-195,230,69,192.28,497.72,-262.2
Sidney,shoulder,0,4.614326000213623,-0.41,-0.96,-0.02,-87,258,-80,191.36,496.8,-261.28
Sidney,shoulder,0,4.7360241413116455,-0.39,-0.95,-0.03,-284,211,224,190.44,494.96,-260.36
Sidney,shoulder,0,4.836382150650024,-0.39,-0.95,-0.03,184,128,580,193.2,495.88,-259.44
Sidney,shoulder,0,4.936423063278198,-0.41,-0.93,-0.03,105,-29,-11,200.56,497.72,-261.28
Sidney,shoulder,0,5.037132024765015,-0.41,-0.93,-0.04,-304,-53,169,197.8,498.64,-260.36
Sidney,shoulder,0,5.136725187301636,-0.41,-0.92,-0.04,327,83,-32,197.8,496.8,-256.68
Sidney,shoulder,0,5.247838020324707,-0.41,-0.94,-0.03,-48,75,94,197.8,495.88,-261.28
Sidney,shoulder,0,5.337102174758911,-0.42,-0.92,-0.0,-459,64,-49,198.72,497.72,-259.44
Sidney,shoulder,0,5.436813116073608,-0.4,-0.94,-0.04,-273,444,-919,195.96,504.16,-253.92
Sidney,shoulder,0,5.537091016769409,-0.39,-0.95,-0.06,-132,-15,138,193.2,502.32,-252.08
Sidney,shoulder,0,5.64170503616333,-0.39,-0.97,-0.05,-255,146,-43,189.52,503.24,-253.0
Sidney,shoulder,0,5.736726999282837,-0.41,-1.16,-0.08,1296,504,838,191.36,505.08,-254.84
Sidney,shoulder,0,6.310581207275391,-0.41,-1.27,-0.09,-3865,-1754,-1801,194.12,496.8,-255.76
Sidney,shoulder,0,6.436261177062988,-0.33,-1.0,-0.02,-10885,-3900,-7486,160.08,532.68,-218.96
Sidney,shoulder,0,6.537166118621826,-0.31,-0.78,-0.1,-8221,2980,-9101,83.72,570.4,-141.68
Sidney,shoulder,0,6.636703014373779,-0.24,-0.8,-0.29,-3058,-2589,-771,35.88,576.84,-95.68
Sidney,shoulder,0,6.737367153167725,-0.18,-0.82,-0.37,-1236,1101,-1153,28.52,575.92,-79.12
Sidney,shoulder,0,6.837277173995972,-0.12,-0.83,-0.43,447,437,133,23.0,576.84,-79.12
Sidney,shoulder,0,6.9369471073150635,-0.09,-0.49,-0.35,12676,718,15051,64.4,574.08,-112.24
Sidney,shoulder,0,7.037230014801025,-0.23,-0.69,-0.28,12456,320,8955,166.52,532.68,-209.76
Sidney,shoulder,0,7.611639022827148,-0.39,-1.02,-0.15,4502,115,4460,211.6,492.2,-256.68
Sidney,shoulder,0,7.7372050285339355,-0.42,-1.0,-0.09,394,934,-2045,202.4,486.68,-269.56
Sidney,shoulder,0,7.837146043777466,-0.4,-1.05,-0.01,-743,-912,-3516,191.36,492.2,-272.32
Sidney,shoulder,0,7.936255216598511,-0.39,-1.21,0.01,505,638,-559,167.44,501.4,-270.48
Sidney,shoulder,0,8.037232160568237,-0.44,-1.33,0.09,1853,1399,5587,176.64,494.96,-275.08
Sidney,shoulder,0,8.136802196502686,-0.39,-1.09,0.02,-5725,-500,-1118,218.96,481.16,-267.72
