,User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z,set_id
1,Morgan,bicep curls,0,0.164,-0.04,0.9,-0.2,227.0,281.0,-80.0,80.96,-201.48,224.48,1
2,Morgan,bicep curls,0,0.243,-0.05,0.9,-0.22,425.0,-1.0,-443.0,80.04,-199.64,227.24,1
3,Morgan,bicep curls,0,0.375,-0.08,0.9,-0.24,1485.0,-190.0,-1723.0,88.32,-202.4,229.08,1
4,Morgan,bicep curls,0,0.542,-0.1,0.89,-0.25,2026.0,-799.0,-2590.0,103.96,-198.72,240.12,1
5,Morgan,bicep curls,0,0.642,-0.24,0.9,-0.31,4959.0,-3937.0,-8597.0,149.04,-194.12,262.2,1
6,Morgan,bicep curls,0,0.741,-0.39,0.83,-0.35,5927.0,-2945.0,-12813.0,248.4,-167.44,294.4,1
7,Morgan,bicep curls,0,0.865,-0.54,0.72,-0.36,5486.0,-2680.0,-16102.0,356.04,-103.04,322.92,1
8,Morgan,bicep curls,0,0.98,-0.66,0.5,-0.36,3788.0,-4321.0,-17296.0,460.92,2.76,325.68,1
9,Morgan,bicep curls,0,1.141,-0.73,0.22,-0.32,1299.0,-4318.0,-17361.0,534.52,129.72,300.84,1
10,Morgan,bicep curls,0,1.242,-0.74,-0.06,-0.25,-936.0,-7310.0,-16147.0,566.72,260.36,260.36,1
11,Morgan,bicep curls,0,1.363,-0.63,-0.32,-0.2,-2476.0,-5597.0,-14369.0,569.48,320.16,238.28,1
12,Morgan,bicep curls,0,1.508,-0.49,-0.51,-0.16,-1883.0,-3735.0,-7666.0,547.4,411.24,200.56,1
13,Morgan,bicep curls,0,1.641,-0.39,-0.61,-0.1,2517.0,-380.0,1729.0,539.12,454.48,180.32,1
14,Morgan,bicep curls,0,1.764,-0.4,-0.64,-0.06,3753.0,3920.0,12693.0,558.44,429.64,177.56,1
15,Morgan,bicep curls,0,1.942,-0.44,-0.54,-0.07,4326.0,2852.0,18633.0,599.84,322.0,190.44,1
16,Morgan,bicep curls,0,2.042,-0.65,-0.3,-0.01,3795.0,347.0,22070.0,621.0,154.56,202.4,1
17,Morgan,bicep curls,0,2.142,-0.82,0.09,0.01,5591.0,-607.0,21165.0,584.2,-11.96,212.52,1
18,Morgan,bicep curls,0,2.251,-0.77,0.43,-0.02,2207.0,4483.0,18942.0,474.72,-125.12,248.4,1
19,Morgan,bicep curls,0,2.398,-0.68,0.66,-0.1,1256.0,-471.0,15692.0,406.64,-160.08,259.44,1
20,Morgan,bicep curls,0,2.542,-0.53,0.79,-0.15,689.0,3219.0,9378.0,297.16,-191.36,273.24,1
21,Morgan,bicep curls,0,2.641,-0.45,0.83,-0.17,463.0,102.0,402.0,228.16,-190.44,275.08,1
22,Morgan,bicep curls,0,2.742,-0.43,0.86,-0.17,925.0,-2766.0,-7678.0,243.8,-188.6,278.76,1
23,Morgan,bicep curls,1,2.858,-0.54,0.9,-0.14,95.0,-6071.0,-19641.0,364.32,-165.6,273.24,1
24,Morgan,bicep curls,0,2.998,-0.72,0.78,-0.08,-2002.0,-4016.0,-23552.0,529.0,-64.4,241.04,1
25,Morgan,bicep curls,0,3.143,-0.82,0.49,-0.01,-4056.0,-1984.0,-23532.0,615.48,106.72,207.92,1
26,Morgan,bicep curls,0,3.251,-0.76,0.16,0.02,-5829.0,-836.0,-20306.0,610.88,280.6,189.52,1
27,Morgan,bicep curls,0,3.37,-0.62,-0.15,0.01,-4568.0,47.0,-14209.0,587.88,353.28,185.84,1
28,Morgan,bicep curls,0,3.542,-0.44,-0.44,-0.04,-2284.0,-2331.0,-5143.0,533.6,442.52,190.44,1
29,Morgan,bicep curls,0,3.642,-0.38,-0.59,-0.05,1411.0,978.0,3487.0,527.16,458.16,184.0,1
30,Morgan,bicep curls,0,3.742,-0.42,-0.59,-0.03,4211.0,1825.0,12406.0,552.92,419.52,185.84,1
31,Morgan,bicep curls,0,3.851,-0.53,-0.44,-0.01,5461.0,904.0,17820.0,602.6,316.48,188.6,1
32,Morgan,bicep curls,0,3.999,-0.75,-0.2,0.03,6166.0,-1095.0,18403.0,626.52,170.2,186.76,1
33,Morgan,bicep curls,0,4.142,-0.83,0.05,0.04,6586.0,2529.0,18277.0,607.2,40.48,199.64,1
34,Morgan,bicep curls,0,4.242,-0.78,0.36,0.07,3819.0,4168.0,17050.0,575.92,-16.56,216.2,1
35,Morgan,bicep curls,0,4.37,-0.71,0.6,0.01,2692.0,1826.0,15679.0,479.32,-102.12,254.84,1
36,Morgan,bicep curls,0,4.484,-0.58,0.72,-0.07,1512.0,3809.0,12196.0,377.2,-151.8,279.68,1
37,Morgan,bicep curls,0,4.642,-0.47,0.79,-0.11,92.0,2860.0,3696.0,282.44,-168.36,291.64,1
38,Morgan,bicep curls,0,4.742,-0.42,0.83,-0.16,295.0,-1388.0,-4486.0,271.4,-164.68,296.24,1
