User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
kate,bicep curls,0,0.00013709068298339844,0,0,0,0,0,0,0,0,0
kate,bicep curls,0,0.08529806137084961,-0.04,0.97,-0.11,93,297,-216,278.76,-331.2,-134.32
kate,bicep curls,0,0.20138287544250488,-0.05,0.97,-0.1,-228,-251,-217,282.44,-331.2,-138.0
kate,bicep curls,0,0.3417999744415283,-0.05,0.97,-0.11,-128,144,154,283.36,-328.44,-138.0
kate,bicep curls,0,0.4529390335083008,-0.05,0.97,-0.11,91,22,170,285.2,-327.52,-142.6
kate,bicep curls,0,0.5778779983520508,-0.03,0.97,-0.1,79,-1263,-378,282.44,-328.44,-139.84
kate,bicep curls,0,0.7177250385284424,-0.05,0.98,-0.14,1340,-3296,-1400,283.36,-329.36,-144.44
kate,bicep curls,0,0.8427469730377197,-0.04,0.98,-0.15,2429,-9780,-3680,296.24,-323.84,-146.28
kate,bicep curls,0,0.9580569267272949,-0.13,0.95,-0.1,2432,-20124,-4624,302.68,-313.72,-176.64
kate,bicep curls,0,1.0741729736328125,-0.22,0.9,0.07,-326,-25585,-5152,266.8,-295.32,-250.24
kate,bicep curls,0,1.2153260707855225,-0.3,0.87,0.22,-1146,-16491,-2517,184.92,-271.4,-320.16
kate,bicep curls,0,1.3302280902862549,-0.4,0.84,0.28,-496,-3400,275,114.08,-253.92,-344.08
kate,bicep curls,0,1.4564011096954346,-0.49,0.87,0.38,-4767,-422,-6900,107.64,-241.04,-359.72
kate,bicep curls,0,1.583956003189087,-0.61,0.79,0.57,-10255,-3520,-13812,159.16,-187.68,-399.28
kate,bicep curls,0,1.7228260040283203,-0.72,0.57,0.71,-16709,-2490,-18657,210.68,-38.64,-461.84
kate,bicep curls,0,1.8414149284362793,-0.7,0.24,0.77,-19744,1244,-18400,230.0,193.2,-480.24
kate,bicep curls,0,1.9740190505981445,-0.57,-0.15,0.65,-19196,-1544,-16882,190.44,431.48,-425.96
kate,bicep curls,0,2.0989580154418945,-0.4,-0.46,0.43,-14139,2333,-12052,83.72,583.28,-325.68
kate,bicep curls,0,2.218950033187866,-0.24,-0.69,0.24,-9403,897,-8277,3.68,637.56,-237.36
kate,bicep curls,0,2.3414978981018066,-0.08,-0.83,0.02,-4842,654,-4591,-57.04,650.44,-176.64
kate,bicep curls,0,2.4864959716796875,0.01,-0.86,-0.07,3325,3559,2605,-75.44,645.84,-171.12
kate,bicep curls,0,2.6026499271392822,0.0,-0.88,-0.03,10541,1,10284,-11.96,641.24,-227.24
kate,bicep curls,0,2.717595100402832,-0.08,-0.82,0.03,14303,-208,16256,95.68,585.12,-321.08
kate,bicep curls,0,2.8665719032287598,-0.37,-0.67,0.38,16342,220,19520,214.36,444.36,-411.24
kate,bicep curls,0,2.990088939666748,-0.56,-0.39,0.54,15758,-5373,15068,254.84,250.24,-469.2
kate,bicep curls,0,3.1128320693969727,-0.66,-0.12,0.68,13866,-769,12166,228.16,69.0,-480.24
kate,bicep curls,0,3.2456109523773193,-0.7,0.17,0.69,10041,855,9838,215.28,-10.12,-470.12
kate,bicep curls,0,3.3576979637145996,-0.63,0.38,0.73,9857,-2646,7664,172.96,-131.56,-432.4
kate,bicep curls,0,3.490299940109253,-0.57,0.57,0.64,7731,-1316,6300,103.96,-217.12,-383.64
kate,bicep curls,0,3.5876920223236084,-0.53,0.67,0.6,3631,2740,2970,56.12,-264.04,-341.32
kate,bicep curls,0,3.7263519763946533,-0.51,0.72,0.6,-5218,-217,-3377,62.56,-270.48,-334.88
