User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
kate,tricep,0,0.0001990795135498047,-0.09,0.98,0.01,381,459,68,-76.36,-302.68,-195.04
kate,tricep,0,0.12033891677856445,-0.09,0.99,0.0,131,310,194,-77.28,-302.68,-196.88
kate,tricep,0,0.2490990161895752,-0.08,0.99,-0.01,147,-310,308,-74.52,-304.52,-195.04
kate,tricep,0,0.37393712997436523,-0.08,0.99,-0.01,236,-455,409,-79.12,-304.52,-191.36
kate,tricep,0,0.4952249526977539,-0.09,0.98,-0.02,119,-590,272,-83.72,-303.6,-188.6
kate,tricep,0,0.6150031089782715,-0.09,0.99,-0.02,51,669,636,-89.24,-303.6,-185.84
kate,tricep,0,0.7451779842376709,-0.09,1.0,-0.01,460,1441,798,-91.08,-302.68,-185.84
kate,tricep,0,0.8763449192047119,-0.05,0.98,-0.02,86,1059,1015,-91.08,-301.76,-186.76
kate,tricep,0,0.9977099895477295,-0.03,0.96,0.02,-224,-173,443,-96.6,-302.68,-188.6
kate,tricep,0,1.1175100803375244,0.0,0.99,0.01,-625,-109,1373,-100.28,-296.24,-189.52
kate,tricep,0,1.2338120937347412,0.13,1.03,0.01,-947,1890,6661,-115.0,-282.44,-199.64
kate,tricep,0,1.3489749431610107,0.29,1.05,0.01,-2235,2329,15293,-182.16,-234.6,-215.28
kate,tricep,0,1.4899969100952148,0.52,1.01,0.05,-4165,1040,21019,-281.52,-114.08,-245.64
kate,tricep,0,1.6125640869140625,0.73,0.87,0.1,-4707,-912,20888,-357.88,73.6,-253.92
kate,tricep,0,1.7275381088256836,0.78,0.6,0.14,-4459,955,14078,-366.16,247.48,-242.88
kate,tricep,0,1.8765430450439453,0.82,0.36,0.13,-2830,2077,5424,-344.08,345.0,-243.8
kate,tricep,0,1.9964070320129395,0.83,0.22,0.12,223,-1848,-1928,-343.16,357.88,-233.68
kate,tricep,0,2.1188430786132812,0.87,0.24,0.13,1525,-1993,-10209,-367.08,298.08,-220.8
kate,tricep,0,2.2465789318084717,0.86,0.38,0.11,2444,-5257,-15145,-381.8,242.88,-207.92
kate,tricep,0,2.3589890003204346,0.71,0.54,0.04,2459,-6651,-20244,-393.76,75.44,-167.44
kate,tricep,0,2.4977500438690186,0.6,0.83,-0.05,255,2838,-21513,-327.52,-114.08,-140.76
kate,tricep,0,2.6301639080047607,0.33,1.0,-0.05,909,3470,-19113,-192.28,-260.36,-155.48
kate,tricep,0,2.751194953918457,0.09,1.05,-0.08,1645,1632,-14990,-36.8,-334.88,-154.56
kate,tricep,0,2.8688061237335205,-0.05,0.97,-0.06,1072,1087,-5559,76.36,-355.12,-138.92
kate,tricep,0,2.986237049102783,-0.16,0.9,-0.08,-60,423,2762,110.4,-356.96,-129.72
kate,tricep,0,3.109174966812134,-0.18,0.91,-0.04,-2067,-1066,8177,74.52,-355.12,-137.08
kate,tricep,0,3.2339420318603516,-0.04,0.98,-0.01,-5096,-866,16352,-23.92,-335.8,-163.76
kate,tricep,0,3.385251998901367,0.13,1.11,0.09,-5453,4720,22413,-172.04,-240.12,-222.64
kate,tricep,0,3.5114779472351074,0.4,1.06,0.13,-8994,2810,22121,-279.68,-63.48,-285.2
kate,tricep,0,3.634002923965454,0.62,0.89,0.2,-8944,-1383,19933,-328.44,146.28,-305.44
kate,tricep,0,3.7528510093688965,0.73,0.59,0.22,-4119,-11,9950,-331.2,296.24,-280.6
kate,tricep,0,3.8651790618896484,0.78,0.35,0.21,-1219,-742,3160,-320.16,354.2,-274.16
kate,tricep,0,3.984971046447754,0.79,0.21,0.24,984,-1637,-2480,-329.36,353.28,-261.28
kate,tricep,0,4.108859062194824,0.76,0.23,0.23,3490,-3045,-9140,-334.88,323.84,-263.12
kate,tricep,0,4.2326600551605225,0.85,0.34,0.16,5460,-5939,-15182,-364.32,224.48,-253.0
kate,tricep,0,4.376399040222168,0.76,0.62,0.08,4054,-1478,-20180,-372.6,59.8,-207.92
kate,tricep,0,4.4951019287109375,0.57,0.87,0.09,2223,-1672,-19654,-304.52,-116.84,-191.36
kate,tricep,0,4.643783092498779,0.36,1.02,-0.0,1999,-3820,-19900,-188.6,-259.44,-163.76
kate,tricep,0,4.757609128952026,0.09,1.05,-0.03,306,1847,-15263,-37.72,-333.96,-143.52
kate,tricep,0,4.879065036773682,-0.09,0.97,-0.04,-255,5379,-7871,88.32,-354.2,-133.4
kate,tricep,0,5.003704071044922,-0.17,0.89,-0.1,499,2068,-752,144.44,-350.52,-125.12
kate,tricep,0,5.130068063735962,-0.23,0.86,-0.05,-1038,-3310,4875,134.32,-350.52,-129.72
kate,tricep,0,5.245289087295532,-0.15,0.94,-0.04,-2926,-1050,16113,51.52,-349.6,-148.12
kate,tricep,0,5.401400089263916,0.0,1.11,-0.04,-4522,-413,22704,-118.68,-291.64,-184.92
kate,tricep,0,5.518952131271362,0.23,1.13,0.01,-3613,284,20556,-270.48,-151.8,-211.6
kate,tricep,0,5.6388819217681885,0.45,0.98,0.08,-3994,-2341,16483,-353.28,9.2,-215.28
kate,tricep,0,5.757756948471069,0.64,0.8,0.09,-4093,1904,14489,-381.8,161.0,-207.92
kate,tricep,0,5.8764259815216064,0.77,0.54,0.11,-1944,2798,7680,-366.16,269.56,-229.08
kate,tricep,0,6.011480093002319,0.73,0.36,0.13,585,-5912,170,-361.56,306.36,-220.8
kate,tricep,0,6.128829002380371,0.76,0.27,0.08,2011,-4242,-5304,-374.44,296.24,-197.8
kate,tricep,0,6.26127290725708,0.74,0.31,0.04,2270,751,-11254,-393.76,232.76,-184.92
kate,tricep,0,6.367592096328735,0.91,0.57,0.07,2798,-463,-16904,-385.48,117.76,-194.12
kate,tricep,0,6.495253086090088,0.7,0.8,0.08,1785,-174,-18050,-348.68,-32.2,-184.92
kate,tricep,0,6.613755941390991,0.56,0.99,0.01,3330,987,-16963,-265.88,-178.48,-179.4
kate,tricep,0,6.762895107269287,0.3,1.06,-0.01,2538,1796,-16067,-148.12,-287.96,-164.68
kate,tricep,0,6.885476112365723,0.07,1.03,-0.04,1311,1520,-11890,-20.24,-342.24,-145.36
kate,tricep,0,7.007775068283081,-0.06,0.96,-0.08,792,691,-4706,64.4,-356.04,-133.4
kate,tricep,0,7.165172100067139,-0.16,0.89,-0.07,-87,12,1958,82.8,-356.04,-127.88
kate,tricep,0,7.261362075805664,-0.17,0.91,-0.1,-905,1569,8067,42.32,-353.28,-132.48
kate,tricep,0,7.3776350021362305,-0.07,0.98,-0.06,-5026,1928,15552,-55.2,-331.2,-157.32
kate,tricep,0,7.5062761306762695,0.1,1.07,-0.01,-4629,812,20633,-194.12,-238.28,-207.0
kate,tricep,0,7.631479978561401,0.33,1.06,0.04,-5499,-996,19388,-305.44,-80.96,-233.68
kate,tricep,0,7.746462106704712,0.59,0.95,0.07,-6290,607,17557,-364.32,91.08,-234.6
kate,tricep,0,7.895369052886963,0.7,0.7,0.11,-3857,1928,12105,-370.76,165.6,-235.52
kate,tricep,0,8.007601022720337,0.77,0.46,0.11,-2162,1855,5325,-359.72,278.76,-244.72
kate,tricep,0,8.12785291671753,0.8,0.32,0.16,1029,-2961,-1408,-343.16,318.32,-248.4
kate,tricep,0,8.242772102355957,0.86,0.28,0.16,2663,-708,-5912,-352.36,300.84,-241.04
kate,tricep,0,8.38410496711731,0.92,0.37,0.19,4158,44,-12848,-365.24,216.2,-246.56
kate,tricep,0,8.496294021606445,0.84,0.57,0.18,4598,-2157,-16541,-367.08,80.04,-227.24
kate,tricep,0,8.615051984786987,0.62,0.78,0.14,3715,-1252,-17482,-322.92,-83.72,-207.0
