User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
kate,shoulder,0,0.00016307830810546875,0.21,-1.01,-0.19,241,-130,-492,168.36,577.76,114.08
kate,shoulder,0,0.11527705192565918,0.23,-1.02,-0.18,119,-275,-381,165.6,583.28,107.64
kate,shoulder,0,0.23276090621948242,0.24,-1.01,-0.19,-59,-392,80,167.44,578.68,112.24
kate,shoulder,0,0.36766600608825684,0.24,-1.01,-0.18,78,-214,317,169.28,581.44,109.48
kate,shoulder,0,0.4877300262451172,0.23,-1.02,-0.18,128,-504,306,171.12,580.52,104.88
kate,shoulder,0,0.6075201034545898,0.21,-1.04,-0.18,-189,-1063,214,175.72,579.6,105.8
kate,shoulder,0,0.7223670482635498,0.21,-1.04,-0.19,592,-419,-173,176.64,579.6,106.72
kate,shoulder,0,0.8388171195983887,0.24,-1.15,-0.21,1219,-868,-1172,172.04,585.12,96.6
kate,shoulder,0,0.9664781093597412,0.22,-1.19,-0.22,1022,-1165,-1462,161.92,594.32,83.72
kate,shoulder,0,1.0875248908996582,0.22,-1.16,-0.18,1946,3232,1120,157.32,601.68,78.2
kate,shoulder,0,1.2088210582733154,0.19,-1.1,-0.1,3620,4980,6226,169.28,603.52,72.68
kate,shoulder,0,1.3364191055297852,0.14,-0.91,-0.05,1829,3594,9468,195.96,595.24,64.4
kate,shoulder,0,1.4489901065826416,0.13,-0.85,0.02,2332,1498,5928,259.44,564.88,57.04
kate,shoulder,0,1.5690178871154785,0.05,-0.91,0.04,-156,-920,454,291.64,547.4,51.52
kate,shoulder,0,1.6962668895721436,-0.02,-0.93,0.04,-1806,-2363,-2613,292.56,549.24,48.76
kate,shoulder,0,1.8177149295806885,-0.04,-0.95,0.04,-2264,-3495,-4585,272.32,563.96,46.92
kate,shoulder,0,1.94022798538208,-0.01,-0.97,-0.01,-3597,-2857,-6343,239.2,576.84,56.12
kate,shoulder,0,2.080336093902588,0.07,-0.95,-0.06,-1221,-1361,-5836,194.12,592.48,67.16
kate,shoulder,0,2.213007926940918,0.14,-0.96,-0.07,-1357,-1836,-4308,154.56,604.44,69.0
kate,shoulder,0,2.3328158855438232,0.26,-1.08,-0.13,-75,640,-1461,134.32,609.04,67.16
kate,shoulder,0,2.4476380348205566,0.33,-1.13,-0.15,-800,-789,862,135.24,608.12,68.08
kate,shoulder,0,2.5613949298858643,0.33,-1.14,-0.16,-995,-1813,1981,140.76,604.44,70.84
kate,shoulder,0,2.678713083267212,0.32,-1.12,-0.18,-191,336,1008,159.16,597.08,75.44
kate,shoulder,0,2.7966880798339844,0.32,-1.13,-0.19,-80,175,-81,166.52,598.0,77.28
kate,shoulder,0,2.9365649223327637,0.31,-1.18,-0.22,-1242,43,-176,162.84,596.16,81.88
kate,shoulder,0,3.0503089427948,0.26,-1.18,-0.2,600,3421,1349,156.4,592.48,88.32
kate,shoulder,0,3.163996934890747,0.17,-1.08,-0.14,2526,3867,3872,161.92,594.32,89.24
kate,shoulder,0,3.287647008895874,0.18,-1.0,-0.11,3878,2781,7255,190.44,590.64,72.68
kate,shoulder,0,3.4089860916137695,0.08,-0.93,-0.02,4476,959,9024,255.76,574.08,49.68
kate,shoulder,0,3.532104015350342,0.08,-0.87,0.03,1219,3584,4944,282.44,561.2,44.16
kate,shoulder,0,3.6502089500427246,0.01,-0.94,0.07,-690,1221,-729,298.08,543.72,46.92
kate,shoulder,0,3.7776761054992676,-0.08,-0.94,0.08,-2270,-2785,-3621,284.28,549.24,54.28
kate,shoulder,0,3.8901400566101074,-0.03,-0.94,0.0,-2715,-1883,-5418,261.28,564.88,59.8
kate,shoulder,0,4.02640700340271,0.0,-0.86,0.01,-1535,-2086,-4607,232.76,576.84,68.08
kate,shoulder,0,4.1701109409332275,0.08,-0.92,-0.05,-2268,-2324,-3140,200.56,588.8,73.6
kate,shoulder,0,4.26899790763855,0.08,-1.0,-0.05,-1303,-1990,-1391,189.52,585.12,85.56
kate,shoulder,0,4.393822908401489,0.07,-1.1,-0.05,1947,-3482,2589,194.12,585.12,76.36
kate,shoulder,0,4.539143085479736,0.09,-1.21,-0.12,1002,-2028,2243,233.68,580.52,55.2
kate,shoulder,0,4.642577886581421,0.08,-1.25,-0.12,921,-676,428,245.64,576.84,46.0
kate,shoulder,0,4.761415958404541,0.1,-1.27,-0.14,-879,1069,-2927,238.28,576.84,49.68
kate,shoulder,0,4.881546974182129,0.15,-1.33,-0.14,-1558,1368,-4248,209.76,587.88,58.88
kate,shoulder,0,5.010116100311279,0.18,-1.23,-0.16,1477,3865,-1015,171.12,598.92,75.44
kate,shoulder,0,5.127578973770142,0.13,-1.08,-0.06,3894,2725,4973,164.68,608.12,65.32
kate,shoulder,0,5.247591018676758,0.04,-0.96,0.02,1922,2354,8369,205.16,597.08,57.96
kate,shoulder,0,5.3902599811553955,0.12,-0.86,0.0,2100,2635,4761,255.76,572.24,48.76
kate,shoulder,0,5.49741005897522,0.08,-0.88,0.05,-517,229,-213,270.48,565.8,45.08
kate,shoulder,0,5.620106935501099,0.06,-0.92,0.06,-1429,-772,-3275,250.24,573.16,53.36
kate,shoulder,0,5.755356073379517,0.06,-0.91,0.05,-1622,-4714,-6038,219.88,591.56,52.44
kate,shoulder,0,5.8839640617370605,0.13,-0.92,-0.06,-1707,-3489,-6999,201.48,603.52,46.0
kate,shoulder,0,5.99866509437561,0.17,-0.91,-0.03,-1650,-1144,-5300,151.8,612.72,49.68
kate,shoulder,0,6.126720905303955,0.26,-0.96,-0.04,-1357,631,-2146,107.64,622.84,57.96
kate,shoulder,0,6.2437639236450195,0.33,-1.04,-0.09,-4365,-813,43,98.44,618.24,75.44
kate,shoulder,0,6.351435899734497,0.38,-1.06,-0.15,-2108,-816,374,100.28,600.76,101.2
kate,shoulder,0,6.47783899307251,0.42,-1.1,-0.2,130,-581,349,107.64,593.4,109.48
kate,shoulder,0,6.59652304649353,0.42,-1.1,-0.21,1172,-2280,212,116.84,595.24,103.04
kate,shoulder,0,6.736408948898315,0.42,-1.12,-0.23,-75,193,507,123.28,597.08,95.68
kate,shoulder,0,6.840306043624878,0.41,-1.16,-0.25,199,1756,-472,114.08,598.0,99.36
kate,shoulder,0,6.9552390575408936,0.4,-1.2,-0.22,1003,1114,200,107.64,601.68,99.36
kate,shoulder,0,7.075383901596069,0.32,-1.13,-0.17,1002,1386,4533,106.72,603.52,92.92
kate,shoulder,0,7.221384048461914,0.29,-1.02,-0.17,2582,5523,10490,151.8,598.0,84.64
kate,shoulder,0,7.332859039306641,0.22,-0.82,-0.12,1790,4031,8943,220.8,573.16,84.64
kate,shoulder,0,7.45019006729126,0.08,-0.92,-0.03,886,4386,4912,256.68,552.92,90.16
kate,shoulder,0,7.5876500606536865,0.03,-0.91,0.0,-323,-514,-1513,263.12,541.88,96.6
kate,shoulder,0,7.701479911804199,0.05,-0.9,-0.05,-1048,-4860,-6117,247.48,554.76,93.84
kate,shoulder,0,7.81781792640686,0.05,-0.88,0.03,-214,-6736,-8104,208.84,586.04,75.44
kate,shoulder,0,7.9303669929504395,0.15,-0.89,-0.05,0,-3156,-6607,181.24,610.88,63.48
kate,shoulder,0,8.067600011825562,0.21,-1.03,0.0,-2363,-4658,-2038,143.52,618.24,55.2
kate,shoulder,0,8.192744016647339,0.27,-1.05,-0.05,-969,1070,853,135.24,611.8,69.92
kate,shoulder,0,8.313882112503052,0.28,-1.12,-0.11,-886,-1344,1495,149.04,601.68,79.12
kate,shoulder,0,8.427695035934448,0.3,-1.13,-0.16,-394,-746,738,165.6,596.16,80.04
kate,shoulder,0,8.550165891647339,0.29,-1.13,-0.18,-455,429,243,171.12,591.56,80.04
kate,shoulder,0,8.665266990661621,0.27,-1.11,-0.18,-840,-54,397,173.88,592.48,87.4
kate,shoulder,0,8.787775993347168,0.29,-1.14,-0.24,-1348,1122,-551,168.36,586.04,95.68
kate,shoulder,0,8.933042049407959,0.3,-1.23,-0.25,-1224,2538,-2314,149.04,588.8,108.56
kate,shoulder,0,9.054080963134766,0.3,-1.19,-0.25,302,3704,553,128.8,587.88,113.16
kate,shoulder,0,9.167459964752197,0.28,-1.03,-0.23,2445,5163,7273,124.2,588.8,115.0
kate,shoulder,0,9.29154896736145,0.17,-0.91,-0.11,2931,1460,10060,176.64,579.6,104.88
kate,shoulder,0,9.406229019165039,0.12,-0.84,-0.05,1944,-55,5907,241.04,554.76,98.44
kate,shoulder,0,9.546570062637329,0.06,-0.91,-0.05,1160,1834,2448,264.04,547.4,90.16
kate,shoulder,0,9.661549091339111,0.03,-0.93,-0.01,-538,-357,-949,267.72,540.04,93.84
kate,shoulder,0,9.777678966522217,0.01,-0.87,-0.02,-1033,-4897,-8034,247.48,558.44,83.72
kate,shoulder,0,9.900110960006714,0.05,-0.89,-0.04,-1329,-5140,-9401,186.76,592.48,73.6
kate,shoulder,0,10.039244890213013,0.11,-0.91,-0.04,-2036,-2220,-4767,141.68,606.28,76.36
kate,shoulder,0,10.160365104675293,0.24,-1.0,-0.1,66,1081,-1592,120.52,609.04,78.2
kate,shoulder,0,10.281330108642578,0.29,-1.09,-0.08,882,-2203,486,116.84,611.8,77.28
kate,shoulder,0,10.376458883285522,0.35,-1.15,-0.09,1223,63,429,131.56,609.96,72.68
kate,shoulder,0,10.524024963378906,0.4,-1.19,-0.12,1099,150,-616,133.4,615.48,58.88
kate,shoulder,0,10.626360893249512,0.4,-1.24,-0.11,-1319,1643,-385,125.12,618.24,61.64
kate,shoulder,0,10.747766017913818,0.41,-1.28,-0.13,-2904,309,-1266,114.08,616.4,74.52
kate,shoulder,0,10.890438079833984,0.36,-1.18,-0.16,-253,1769,1641,102.12,610.88,91.08
kate,shoulder,0,11.00659704208374,0.24,-1.04,-0.06,2818,2924,5834,124.2,606.28,90.16
kate,shoulder,0,11.129024982452393,0.23,-0.95,-0.06,1382,3241,9702,185.84,596.16,86.48
kate,shoulder,0,11.259057998657227,0.13,-0.88,-0.04,1493,2085,7777,220.8,581.44,76.36
kate,shoulder,0,11.373946905136108,0.04,-0.93,0.04,-61,982,1980,266.8,559.36,69.0
kate,shoulder,0,11.490186929702759,0.04,-0.9,0.03,-1255,-995,-2458,269.56,552.0,79.12
kate,shoulder,0,11.610426902770996,0.04,-0.89,0.01,-1565,-5588,-7956,241.04,567.64,77.28
kate,shoulder,0,11.725322961807251,0.13,-0.92,-0.08,-2577,-3620,-6558,195.96,589.72,73.6
kate,shoulder,0,11.86138391494751,0.16,-0.95,-0.1,-677,-542,-2454,163.76,598.0,85.56
kate,shoulder,0,11.987586975097656,0.19,-0.99,-0.13,-2374,-1647,114,158.24,598.92,87.4
kate,shoulder,0,12.100346088409424,0.19,-1.05,-0.13,367,-1732,1293,171.12,592.48,92.0
kate,shoulder,0,12.216753959655762,0.23,-1.18,-0.17,1936,-749,509,184.92,594.32,76.36
kate,shoulder,0,12.356653928756714,0.24,-1.2,-0.17,-569,-923,84,185.84,592.48,70.84
kate,shoulder,0,12.492671012878418,0.28,-1.21,-0.19,253,-250,-1557,189.52,593.4,69.0
kate,shoulder,0,12.607600927352905,0.3,-1.24,-0.22,-713,72,-1758,175.72,601.68,70.84
kate,shoulder,0,12.725558042526245,0.27,-1.25,-0.21,646,1658,-601,158.24,605.36,76.36
kate,shoulder,0,12.84024691581726,0.18,-1.19,-0.08,3461,1382,3764,153.64,609.96,63.48
kate,shoulder,0,12.958916902542114,0.14,-1.01,-0.12,2247,3689,7303,195.04,603.52,50.6
kate,shoulder,0,13.08280897140503,0.08,-0.89,0.03,3506,6251,6976,238.28,586.04,53.36
kate,shoulder,0,13.216558933258057,0.13,-0.87,0.02,-155,2829,2598,247.48,571.32,58.88
kate,shoulder,0,13.306469917297363,0.09,-0.9,0.04,138,-154,-957,264.96,563.04,64.4
kate,shoulder,0,13.453967094421387,0.08,-0.9,0.04,-1331,-3342,-5117,246.56,572.24,66.24
kate,shoulder,0,13.573858976364136,0.16,-0.92,0.02,-926,-4748,-6078,214.36,593.4,54.28
kate,shoulder,0,13.696393966674805,0.17,-0.93,-0.01,-1563,-775,-4177,176.64,609.04,47.84
kate,shoulder,0,13.82027792930603,0.22,-1.01,-0.06,-1622,444,-2246,144.44,616.4,56.12
kate,shoulder,0,13.935384035110474,0.2,-1.02,-0.03,-1407,-1616,-1925,130.64,613.64,69.92
kate,shoulder,0,14.076412916183472,0.29,-1.04,-0.1,2088,-3074,236,128.8,617.32,63.48
kate,shoulder,0,14.19543194770813,0.3,-1.13,-0.11,-191,-4023,1569,149.96,617.32,46.0
kate,shoulder,0,14.321393013000488,0.32,-1.15,-0.14,338,795,1717,169.28,610.88,43.24
kate,shoulder,0,14.44162893295288,0.32,-1.16,-0.14,-420,334,1452,178.48,609.04,45.08
kate,shoulder,0,14.553858995437622,0.28,-1.19,-0.15,-1243,109,-841,184.0,605.36,47.84
kate,shoulder,0,14.667473077774048,0.28,-1.25,-0.17,-1399,2695,-2500,169.28,605.36,60.72
kate,shoulder,0,14.790224075317383,0.29,-1.21,-0.17,-143,3425,816,138.0,609.96,74.52
kate,shoulder,0,14.90870189666748,0.27,-1.1,-0.14,2177,2228,6443,147.2,605.36,78.2
kate,shoulder,0,15.055222034454346,0.13,-0.9,-0.04,1062,223,9200,209.76,588.8,65.32
kate,shoulder,0,15.174025058746338,0.07,-0.86,-0.03,2506,4146,8180,270.48,557.52,67.16
kate,shoulder,0,15.26267409324646,0.03,-0.89,0.0,1755,1138,3349,303.6,536.36,66.24
kate,shoulder,0,15.411427974700928,-0.01,-0.92,0.01,144,-2186,283,308.2,533.6,60.72
kate,shoulder,0,15.526689052581787,-0.04,-0.92,0.02,-2109,-3446,-3836,313.72,536.36,49.68
kate,shoulder,0,15.65020489692688,-0.03,-0.86,0.01,-4901,-3709,-8980,236.44,-20961.28,-15301.44
kate,shoulder,0,15.777878046035767,-0.01,-0.91,-0.02,-2697,-4355,-7548,225.4,581.44,60.72
kate,shoulder,0,15.89509892463684,0.14,-1.01,-0.1,-50,-558,-2934,175.72,598.0,66.24
kate,shoulder,0,16.04392099380493,0.16,-1.08,-0.12,-592,-268,908,169.28,609.96,56.12
kate,shoulder,0,16.158133029937744,0.2,-1.09,-0.12,374,1722,1683,182.16,600.76,58.88
kate,shoulder,0,16.25530695915222,0.21,-1.15,-0.14,1082,1231,453,184.92,596.16,58.88
kate,shoulder,0,16.386449098587036,0.25,-1.16,-0.14,1199,-626,-1328,183.08,605.36,49.68
kate,shoulder,0,16.50763201713562,0.28,-1.17,-0.14,236,-1188,-1243,172.04,611.8,45.08
kate,shoulder,0,16.654053926467896,0.3,-1.18,-0.16,-2504,1616,-761,164.68,611.8,47.84
kate,shoulder,0,16.75395703315735,0.29,-1.25,-0.15,-2213,3116,-128,153.64,605.36,69.92
kate,shoulder,0,16.870282888412476,0.27,-1.18,-0.16,125,1704,1905,138.0,598.92,89.24
kate,shoulder,0,16.98783802986145,0.22,-1.02,-0.12,-237,620,7561,159.16,595.24,86.48
kate,shoulder,0,17.131582975387573,0.15,-0.87,-0.12,3566,4449,8230,218.96,574.08,87.4
kate,shoulder,0,17.24662709236145,0.11,-0.84,-0.1,1795,4014,5158,255.76,552.92,89.24
kate,shoulder,0,17.368974924087524,0.07,-0.89,-0.06,865,-158,-226,269.56,546.48,86.48
kate,shoulder,0,17.482814073562622,0.08,-0.91,-0.06,-500,-3124,-2113,268.64,548.32,80.04
kate,shoulder,0,17.618762016296387,0.08,-0.9,-0.07,-1303,-3661,-6240,241.96,471.96,72.68
kate,shoulder,0,17.73254895210266,0.06,-0.88,-0.02,-1472,-4486,-6011,218.96,582.36,73.6
kate,shoulder,0,17.87786602973938,0.19,-0.95,-0.08,556,-2040,-2690,184.0,597.08,69.0
kate,shoulder,0,17.99390411376953,0.15,-1.04,-0.08,-707,-1739,-327,172.04,608.12,61.64
kate,shoulder,0,18.125123023986816,0.15,-1.05,-0.09,-792,-926,392,182.16,601.68,57.96
kate,shoulder,0,18.255111932754517,0.16,-1.09,-0.09,142,114,71,184.92,600.76,61.64
kate,shoulder,0,18.342731952667236,0.26,-1.2,-0.15,1704,-640,317,189.52,598.0,57.04
kate,shoulder,0,18.476638078689575,0.25,-1.19,-0.14,384,-3307,-749,195.04,604.44,39.56
kate,shoulder,0,18.58784794807434,0.26,-1.17,-0.15,-20,1346,-1044,190.44,609.04,37.72
