User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
shaohan,bicep curls,0,0.00017189979553222656,0,0,0,0,0,0,0,0,0
shaohan,bicep curls,0,0.08770895004272461,-0.22,0.96,0.08,-285,263,273,-22.08,-380.88,-176.64
shaohan,bicep curls,0,0.2363448143005371,-0.21,0.96,0.07,190,692,415,-20.24,-376.28,-178.48
shaohan,bicep curls,0,0.35648083686828613,-0.21,0.97,0.07,114,-528,-57,-22.08,-379.04,-175.72
shaohan,bicep curls,0,0.501431941986084,-0.21,0.96,0.07,109,267,46,-24.84,-379.96,-176.64
shaohan,bicep curls,0,0.5860638618469238,-0.2,0.96,0.07,95,618,227,-22.08,-380.88,-173.88
shaohan,bicep curls,0,0.7063188552856445,-0.2,0.96,0.06,78,255,161,-22.08,-380.88,-174.8
shaohan,bicep curls,0,0.8177468776702881,-0.2,0.96,0.07,94,456,592,-25.76,-380.88,-174.8
shaohan,bicep curls,0,0.9587969779968262,-0.26,0.96,0.12,-3427,-2632,-5764,-18.4,-379.96,-182.16
shaohan,bicep curls,0,1.0790488719940186,-0.68,0.97,0.35,-16638,-2999,-23524,124.2,-335.8,-267.72
shaohan,bicep curls,0,1.2227838039398193,-0.85,0.83,0.56,-24949,-2776,-32571,322.92,-78.2,-398.36
shaohan,bicep curls,0,1.3400568962097168,-0.74,0.4,0.51,-22920,-1105,-28797,338.56,295.32,-414.92
shaohan,bicep curls,0,1.4551270008087158,-0.46,-0.02,0.37,-13775,4362,-19743,232.76,534.52,-335.8
shaohan,bicep curls,0,1.605381965637207,-0.2,-0.48,0.12,-2969,4423,-4575,166.52,600.76,-283.36
shaohan,bicep curls,0,1.730198860168457,-0.11,-0.63,0.03,5811,-1854,12341,184.0,598.0,-285.2
shaohan,bicep curls,0,1.834014892578125,-0.23,-0.58,0.07,14888,1373,25840,287.96,505.08,-332.12
shaohan,bicep curls,0,1.960237979888916,-0.69,-0.26,0.33,16033,16,28421,399.28,249.32,-381.8
shaohan,bicep curls,0,2.0815558433532715,-0.66,0.21,0.32,13159,2911,23649,381.8,-57.04,-362.48
shaohan,bicep curls,0,2.226353883743286,-0.75,0.51,0.29,10875,205,19727,258.52,-253.92,-301.76
shaohan,bicep curls,0,2.3437609672546387,-0.57,0.77,0.22,8451,5605,18549,100.28,-350.52,-228.16
shaohan,bicep curls,0,2.473794937133789,-0.52,0.89,0.2,2317,-4375,7326,-21.16,-367.08,-187.68
shaohan,bicep curls,0,2.587535858154297,-0.4,0.94,0.16,-1443,-5364,-3772,-75.44,-361.56,-165.6
shaohan,bicep curls,0,2.7300820350646973,-0.51,1.01,0.23,-10839,474,-18440,11.04,-368.92,-199.64
shaohan,bicep curls,0,2.8575379848480225,-0.68,0.97,0.4,-19402,-7547,-26563,198.72,-277.84,-304.52
shaohan,bicep curls,0,2.97904896736145,-0.81,0.62,0.54,-21241,-3037,-24623,305.44,-22.08,-423.2
shaohan,bicep curls,0,3.107666015625,-0.72,0.18,0.55,-17950,-51,-21416,322.92,269.56,-425.04
shaohan,bicep curls,0,3.229212999343872,-0.53,-0.22,0.42,-15550,31,-16398,246.56,492.2,-364.32
shaohan,bicep curls,0,3.347430944442749,-0.3,-0.54,0.22,-12489,1669,-11194,150.88,610.88,-273.24
shaohan,bicep curls,0,3.4888319969177246,-0.04,-0.72,-0.05,-3945,5820,-2135,296.24,2133.48,-14602.24
shaohan,bicep curls,0,3.6114158630371094,-0.0,-0.76,-0.1,6820,128,11381,154.56,635.72,-222.64
shaohan,bicep curls,0,3.752915859222412,-0.13,-0.74,-0.03,12367,1695,23108,295.32,537.28,-289.8
shaohan,bicep curls,0,3.8675618171691895,-0.38,-0.58,0.1,13073,5781,28238,437.92,295.32,-333.04
shaohan,bicep curls,0,3.9825358390808105,-0.76,-0.12,0.23,10151,1437,28641,442.52,-9.2,-320.16
shaohan,bicep curls,0,4.1238648891448975,-0.84,0.35,0.31,10803,-5634,23356,305.44,-233.68,-292.56
shaohan,bicep curls,0,4.239056825637817,-0.81,0.67,0.26,11269,-2067,19857,210.68,-303.6,-274.16
shaohan,bicep curls,0,4.361339807510376,-0.63,0.82,0.22,3875,2166,8132,47.84,-368.0,-202.4
shaohan,bicep curls,0,4.510133981704712,-0.48,0.87,0.16,1379,-2073,1627,-14.72,-372.6,-176.64
shaohan,bicep curls,0,4.632445812225342,-0.44,0.91,0.2,-2431,-4750,-5270,-27.6,-375.36,-164.68
shaohan,bicep curls,0,4.748766899108887,-0.53,1.0,0.24,-11231,-803,-15718,41.4,-369.84,-200.56
shaohan,bicep curls,0,4.875276803970337,-0.73,0.96,0.31,-16963,6730,-26549,216.2,-286.12,-290.72
shaohan,bicep curls,0,5.027484893798828,-0.89,0.56,0.42,-19022,-5329,-32585,391.92,-19.32,-366.16
shaohan,bicep curls,0,5.14385986328125,-0.7,0.15,0.34,-15629,1714,-24649,379.96,329.36,-372.6
shaohan,bicep curls,0,5.268890857696533,-0.5,-0.21,0.24,-9490,345,-14620,2037.8,15722.8,0.92
shaohan,bicep curls,0,5.386346817016602,-0.3,-0.63,0.01,-4616,-688,-8479,177.56,614.56,-254.84
shaohan,bicep curls,0,5.507719039916992,-0.07,-0.78,-0.06,1152,2669,1480,135.24,635.72,-231.84
shaohan,bicep curls,0,5.633874893188477,-0.07,-0.79,-0.08,7109,-1342,10923,181.24,615.48,-256.68
shaohan,bicep curls,0,5.7765748500823975,-0.17,-0.69,0.03,10903,1092,26358,309.12,504.16,-313.72
shaohan,bicep curls,0,5.902788877487183,-0.59,-0.36,0.25,12652,-2663,29704,423.2,248.4,-361.56
shaohan,bicep curls,0,6.021488904953003,-0.84,0.08,0.38,13533,-2443,24549,391.92,-46.0,-356.96
shaohan,bicep curls,0,6.140002012252808,-0.89,0.4,0.37,12410,2002,21685,259.44,-241.04,-317.4
shaohan,bicep curls,0,6.275208950042725,-0.65,0.71,0.23,7775,5432,17725,109.48,-352.36,-229.08
shaohan,bicep curls,0,6.386157989501953,-0.57,0.83,0.18,2593,-5395,5620,21.16,-368.0,-199.64
shaohan,bicep curls,0,6.523854970932007,-0.51,0.88,0.16,-67,-2804,-1830,-2.76,-370.76,-184.0
shaohan,bicep curls,0,6.637832880020142,-0.48,0.91,0.15,-3602,159,-7538,13.8,-374.44,-189.52
shaohan,bicep curls,0,6.781550884246826,-0.56,0.96,0.17,-8032,-605,-18665,103.96,-357.88,-223.56
shaohan,bicep curls,0,6.916507959365845,-0.76,0.83,0.31,-14566,-6919,-26786,260.36,-255.76,-297.16
shaohan,bicep curls,0,7.037547826766968,-0.83,0.5,0.41,-16564,3545,-26170,383.64,-16.56,-376.28
shaohan,bicep curls,0,7.150271892547607,-0.71,0.04,0.32,-14246,385,-24299,408.48,290.72,-359.72
shaohan,bicep curls,0,7.276558876037598,-0.51,-0.29,0.19,-8851,-1104,-14523,311.88,503.24,-306.36
shaohan,bicep curls,0,7.401659965515137,-0.29,-0.63,0.01,-4305,-314,-6741,215.28,595.24,-264.04
shaohan,bicep curls,0,7.520089864730835,-0.16,-0.77,-0.06,2055,1084,2871,182.16,615.48,-247.48
shaohan,bicep curls,0,7.659914016723633,-0.18,-0.76,-0.03,9284,83,14476,233.68,583.28,-274.16
shaohan,bicep curls,0,7.785063028335571,-0.39,-0.63,0.09,13151,2159,22912,351.44,440.68,-334.88
shaohan,bicep curls,0,7.89900803565979,-0.58,-0.36,0.24,11093,4799,26848,447.12,184.92,-343.16
shaohan,bicep curls,0,8.046681880950928,-0.69,0.06,0.28,10373,-3319,23199,410.32,-77.28,-326.6
shaohan,bicep curls,0,8.191439867019653,-0.78,0.43,0.33,14457,-8630,19409,239.2,-253.92,-312.8
shaohan,bicep curls,0,8.288969993591309,-0.52,0.78,0.26,11087,6443,18324,50.6,-361.56,-217.12
shaohan,bicep curls,0,8.40509581565857,-0.5,0.88,0.24,3033,-321,7703,-48.76,-366.16,-169.28
shaohan,bicep curls,0,8.5553138256073,-0.44,0.93,0.19,-1139,-3575,-2807,-73.6,-363.4,-159.16
shaohan,bicep curls,0,8.670272827148438,-0.45,0.95,0.24,-8206,-1461,-14349,11.04,-365.24,-192.28
shaohan,bicep curls,0,8.791430950164795,-0.72,0.98,0.39,-18295,-3928,-26794,196.88,-276.0,-301.76
shaohan,bicep curls,0,8.91169285774231,-0.82,0.71,0.53,-22324,-4825,-29039,334.88,0.0,-410.32
shaohan,bicep curls,0,9.055308818817139,-0.71,0.26,0.49,-19680,2330,-23416,335.8,322.0,-406.64
shaohan,bicep curls,0,9.168892860412598,-0.48,-0.12,0.33,-11980,3814,-16558,307.28,439.76,-366.16
shaohan,bicep curls,0,9.305147886276245,-0.27,-0.55,0.12,-5601,244,-9700,222.64,568.56,-296.24
shaohan,bicep curls,0,9.470327854156494,-0.03,-0.76,-0.01,1147,252,-678,156.4,613.64,-269.56
shaohan,bicep curls,0,9.558974027633667,-0.03,-0.76,0.0,8202,-1822,11358,159.16,601.68,-284.28
shaohan,bicep curls,0,9.672693014144897,-0.24,-0.65,0.15,14786,1163,24028,257.6,508.76,-348.68
shaohan,bicep curls,0,9.817767858505249,-0.62,-0.4,0.42,14496,87,25282,368.92,276.92,-399.28
shaohan,bicep curls,0,9.932590007781982,-0.73,-0.08,0.42,14973,3377,21252,362.48,16.56,-398.36
shaohan,bicep curls,0,10.05519986152649,-0.78,0.31,0.45,14450,4711,23475,290.72,-212.52,-322.92
shaohan,bicep curls,0,10.194989919662476,-0.59,0.7,0.29,10136,1850,18844,121.44,-345.0,-221.72
shaohan,bicep curls,0,10.316771984100342,-0.52,0.85,0.21,3532,-1935,7916,-2.76,-367.08,-170.2
shaohan,bicep curls,0,10.425096988677979,-0.45,0.9,0.17,426,-1280,590,-49.68,-365.24,-150.88
shaohan,bicep curls,0,10.570220947265625,-0.41,0.96,0.17,-7050,-3341,-10322,-15.64,-370.76,-167.44
shaohan,bicep curls,0,10.687538862228394,-0.63,1.04,0.3,-19437,907,-23090,296.24,2133.48,-14602.24
shaohan,bicep curls,0,10.803948879241943,-0.81,0.8,0.51,-23252,-4035,-28565,303.6,-93.84,-391.92
shaohan,bicep curls,0,10.953823804855347,-0.8,0.36,0.52,-20977,4405,-26153,353.28,248.4,-415.84
shaohan,bicep curls,0,11.068934917449951,-0.59,-0.02,0.37,-13145,4206,-19669,310.04,488.52,-326.6
shaohan,bicep curls,0,11.218770027160645,-0.36,-0.41,0.16,-7377,-1611,-12541,198.72,602.6,-264.96
shaohan,bicep curls,0,11.332664012908936,-0.13,-0.71,-0.03,-1986,2749,-3695,133.4,637.56,-231.84
shaohan,bicep curls,0,11.471436023712158,-0.07,-0.81,-0.07,2754,-1968,3032,138.0,633.88,-238.28
shaohan,bicep curls,0,11.586344957351685,-0.11,-0.77,-0.05,10162,-2080,13362,195.04,591.56,-286.12
shaohan,bicep curls,0,11.713559865951538,-0.32,-0.65,0.15,15176,-2693,23694,260.36,523.48,-330.28
shaohan,bicep curls,0,11.83007001876831,-0.6,-0.44,0.36,13772,3705,22556,359.72,301.76,-399.28
shaohan,bicep curls,0,11.975406885147095,-0.84,-0.03,0.44,12146,-272,21645,382.72,51.52,-391.0
shaohan,bicep curls,0,12.082664012908936,-0.81,0.33,0.4,13665,1370,18363,304.52,-158.24,-358.8
