User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
shaohan,tricep,0,0.0001671314239501953,-0.03,0.99,0.11,93,-296,-14,141.68,-253.0,-286.12
shaohan,tricep,0,0.09406495094299316,-0.02,0.99,0.11,-73,-8,55,140.76,-253.92,-285.2
shaohan,tricep,0,0.23886704444885254,-0.03,1.0,0.11,-82,-38,56,141.68,-252.08,-284.28
shaohan,tricep,0,0.3612399101257324,-0.02,0.99,0.11,-85,214,129,140.76,-253.92,-286.12
shaohan,tricep,0,0.4775979518890381,-0.02,0.99,0.11,-73,163,121,142.6,-252.08,-287.04
shaohan,tricep,0,0.596311092376709,-0.02,0.99,0.11,-16,-100,20,143.52,-253.92,-281.52
shaohan,tricep,0,0.7276649475097656,0.07,1.01,0.14,913,-3636,2050,132.48,-254.84,-287.04
shaohan,tricep,0,0.8490970134735107,0.3,0.96,0.12,2003,3724,15275,103.04,-266.8,-279.68
shaohan,tricep,0,0.9715330600738525,0.54,1.03,0.27,-6378,13122,23823,2.76,-272.32,-268.64
shaohan,tricep,0,1.0837609767913818,0.72,0.93,0.41,-15033,4526,18880,-112.24,-176.64,-341.32
shaohan,tricep,0,1.2054810523986816,0.73,0.7,0.38,-13294,1442,11196,-177.56,5.52,-420.44
shaohan,tricep,0,1.326383113861084,0.74,0.45,0.33,-6027,476,2839,-188.6,140.76,-453.56
shaohan,tricep,0,1.4514930248260498,0.69,0.29,0.31,1467,-2923,-2116,-201.48,178.48,-455.4
shaohan,tricep,0,1.5726571083068848,0.8,0.25,0.3,7525,-5640,-5788,-222.64,129.72,-435.16
shaohan,tricep,0,1.7174570560455322,0.69,0.41,0.35,11876,622,-15857,-224.48,3.68,-399.28
shaohan,tricep,0,1.8425750732421875,0.83,0.58,0.31,13653,810,-18849,-129.72,-176.64,-334.88
shaohan,tricep,0,1.9627540111541748,0.51,0.93,0.3,8695,-5081,-21662,26.68,-280.6,-270.48
shaohan,tricep,0,2.0803239345550537,0.32,1.01,0.25,4043,-7179,-13435,155.48,-288.88,-232.76
shaohan,tricep,0,2.2176990509033203,0.23,1.01,0.13,478,1071,-2701,213.44,-272.32,-223.56
shaohan,tricep,0,2.3178629875183105,0.03,0.98,0.04,-440,596,797,225.4,-270.48,-223.56
shaohan,tricep,0,2.453821897506714,0.0,1.0,-0.0,-919,-554,699,219.88,-268.64,-224.48
shaohan,tricep,0,2.5724129676818848,-0.04,1.04,0.05,-576,-2886,3447,212.52,-273.24,-233.68
shaohan,tricep,0,2.7101380825042725,0.17,1.06,0.12,-4441,7026,14192,162.84,-285.2,-240.12
shaohan,tricep,0,2.8336739540100098,0.39,1.12,0.28,-13354,3319,23051,60.72,-278.76,-270.48
shaohan,tricep,0,2.961236000061035,0.55,1.05,0.37,-16141,-919,22196,-112.24,-161.0,-356.04
shaohan,tricep,0,3.0802180767059326,0.63,0.74,0.37,-11611,5027,13005,-198.72,43.24,-422.28
shaohan,tricep,0,3.1987569332122803,0.71,0.42,0.38,-5378,3058,4088,-160.08,162.84,-461.84
shaohan,tricep,0,3.342679977416992,0.71,0.21,0.38,-1282,-722,167,-157.32,207.92,-464.6
shaohan,tricep,0,3.4652440547943115,0.75,0.08,0.39,5424,-3595,-4121,-170.2,182.16,-460.0
shaohan,tricep,0,3.5963239669799805,0.66,0.24,0.43,11371,-2999,-11707,-184.0,84.64,-442.52
shaohan,tricep,0,3.711277961730957,0.79,0.43,0.41,13871,1063,-14210,-151.8,-80.96,-393.76
shaohan,tricep,0,3.8261849880218506,0.62,0.78,0.42,11931,-2291,-19445,-56.12,-226.32,-318.32
shaohan,tricep,0,3.9699759483337402,0.49,0.98,0.36,7620,-10759,-16797,59.8,-288.88,-257.6
shaohan,tricep,0,4.088701963424683,0.29,1.02,0.17,3779,-2118,-12626,158.24,-287.96,-229.08
shaohan,tricep,0,4.207551956176758,0.19,1.05,0.06,-120,3006,-5793,193.2,-279.68,-228.16
shaohan,tricep,0,4.317729949951172,0.01,1.0,0.01,-173,1606,1524,235.52,-265.88,-224.48
shaohan,tricep,0,4.456336975097656,-0.07,0.97,-0.01,-538,-1633,1723,226.32,-269.56,-225.4
shaohan,tricep,0,4.5763139724731445,-0.01,0.98,0.02,-1463,-1162,6268,203.32,-274.16,-230.92
shaohan,tricep,0,4.719933032989502,0.22,1.08,0.07,-4077,4000,17470,133.4,-287.04,-241.04
shaohan,tricep,0,4.836483001708984,0.48,1.18,0.17,-8264,1764,24149,-14.72,-273.24,-268.64
shaohan,tricep,0,4.962626934051514,0.63,1.0,0.25,-11153,597,20513,-234.6,-20961.28,-2347.84
shaohan,tricep,0,5.0849769115448,0.69,0.72,0.27,-9695,1494,14282,-268.64,30.36,-366.16
shaohan,tricep,0,5.205173015594482,0.66,0.46,0.24,-6066,6484,5271,-262.2,161.0,-399.28
shaohan,tricep,0,5.347723960876465,0.73,0.22,0.28,-990,1122,-1090,-230.0,202.4,-428.72
shaohan,tricep,0,5.471254110336304,0.8,0.14,0.29,3382,-3463,-3819,-250.24,180.32,-414.0
shaohan,tricep,0,5.593838930130005,0.84,0.16,0.28,7339,491,-8277,-258.52,103.96,-399.28
shaohan,tricep,0,5.711293935775757,0.72,0.33,0.24,13147,-2392,-17814,-225.4,-63.48,-359.72
shaohan,tricep,0,5.831303119659424,0.6,0.73,0.28,10416,-8487,-23017,-127.88,-232.76,-280.6
shaohan,tricep,0,5.96904993057251,0.69,0.95,0.11,7564,4629,-22217,72.68,-305.44,-224.48
shaohan,tricep,0,6.085082054138184,0.36,1.1,0.06,3156,2960,-14638,151.8,-298.08,-216.2
shaohan,tricep,0,6.208629131317139,0.04,1.06,-0.0,1801,3131,-1304,241.04,-273.24,-195.96
shaohan,tricep,0,6.356442928314209,-0.02,1.0,-0.08,-2208,1454,1,260.36,-273.24,-179.4
shaohan,tricep,0,6.464030027389526,-0.14,0.98,-0.09,-529,-4184,431,259.44,-268.64,-194.12
shaohan,tricep,0,6.57881498336792,-0.06,1.05,-0.1,-764,-1317,3582,244.72,-271.4,-207.0
shaohan,tricep,0,6.700300931930542,0.13,1.04,0.03,-4450,1272,19304,183.08,-293.48,-213.44
shaohan,tricep,0,6.85150408744812,0.36,1.21,0.16,-11484,1142,30544,-7.36,-290.72,-250.24
shaohan,tricep,0,6.965097904205322,0.6,1.11,0.26,-14092,2539,25750,-209.76,-117.76,-333.04
shaohan,tricep,0,7.086369037628174,0.8,0.65,0.22,-8433,-2163,16167,-292.56,101.2,-367.08
shaohan,tricep,0,7.231247901916504,0.69,0.33,0.14,-4140,1456,5429,-319.24,230.0,-355.12
shaohan,tricep,0,7.356261968612671,0.71,0.14,0.13,1172,704,-2356,-311.88,249.32,-365.24
shaohan,tricep,0,7.459906101226807,0.8,0.12,0.14,4981,-2552,-8557,-324.76,194.12,-354.2
shaohan,tricep,0,7.578824043273926,0.88,0.2,0.1,10237,-6131,-14115,-339.48,56.12,-314.64
shaohan,tricep,0,7.7187089920043945,0.79,0.49,0.1,10686,-361,-20722,-272.32,-131.56,-258.52
shaohan,tricep,0,7.842597007751465,0.58,0.83,0.12,5980,2510,-20723,-125.12,-275.08,-208.84
shaohan,tricep,0,7.988884925842285,0.82,1.02,-0.14,6969,2743,-15127,-57.96,-311.88,-179.4
shaohan,tricep,0,8.095232009887695,0.45,1.11,-0.2,724,633,-13280,75.44,-330.28,-157.32
shaohan,tricep,0,8.214998960494995,0.37,1.08,-0.25,599,8706,-5485,179.4,-305.44,-156.4
shaohan,tricep,0,8.336312055587769,0.14,1.02,-0.21,-461,2762,1627,217.12,-300.84,-143.52
shaohan,tricep,0,8.48516297340393,0.07,0.99,-0.21,-2156,609,2929,204.24,-306.36,-142.6
shaohan,tricep,0,8.606547117233276,0.23,1.02,-0.19,-2740,4226,8760,175.72,-316.48,-153.64
shaohan,tricep,0,8.730123043060303,0.48,1.09,-0.06,-9291,-2123,22155,66.24,-328.44,-181.24
shaohan,tricep,0,8.853811025619507,0.6,1.15,0.06,-12805,-1312,24352,-157.32,-247.48,-239.2
