User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
shaohan,shoulder,0,0.0001289844512939453,0,0,0,0,0,0,0,0,0
shaohan,shoulder,0,0.1342909336090088,-0.03,-1.01,-0.17,885,-957,-473,307.28,560.28,0.92
shaohan,shoulder,0,0.2575948238372803,-0.03,-1.03,-0.17,-2568,-1089,1163,309.12,560.28,6.44
shaohan,shoulder,0,0.38028788566589355,-0.03,-1.01,-0.2,-1983,-209,537,320.16,543.72,18.4
shaohan,shoulder,0,0.5241298675537109,-0.04,-1.03,-0.22,360,911,189,319.24,541.88,21.16
shaohan,shoulder,0,0.6051819324493408,-0.03,-1.03,-0.2,683,13,125,320.16,540.96,24.84
shaohan,shoulder,0,0.7328019142150879,-0.01,-1.26,-0.3,-521,4846,-4844,311.88,546.48,23.0
shaohan,shoulder,0,0.8526380062103271,0.18,-1.39,-0.24,-1501,16466,-7793,222.64,583.28,60.72
shaohan,shoulder,0,0.9792277812957764,0.21,-1.24,-0.21,-4545,12498,1673,108.56,593.4,115.92
shaohan,shoulder,0,1.0977869033813477,0.19,-0.93,-0.19,-8596,3334,10027,101.2,556.6,172.96
shaohan,shoulder,0,1.244182825088501,0.12,-0.71,-0.22,-3159,8470,11215,140.76,480.24,230.92
shaohan,shoulder,0,1.360489845275879,0.06,-0.73,-0.26,762,313,9318,159.16,464.6,240.12
shaohan,shoulder,0,1.4767627716064453,0.08,-0.8,-0.26,530,-9088,-3357,212.52,465.52,217.12
shaohan,shoulder,0,1.6240489482879639,-0.0,-0.71,-0.2,2674,-10500,-10838,225.4,504.16,172.04
shaohan,shoulder,0,1.7456398010253906,0.02,-0.65,-0.17,3474,-4734,-12019,173.88,566.72,134.32
shaohan,shoulder,0,1.8516709804534912,0.07,-0.89,-0.12,-629,-3046,-5056,126.04,591.56,119.6
shaohan,shoulder,0,1.9914379119873047,0.19,-1.09,-0.19,425,-4499,2967,128.8,591.56,114.08
shaohan,shoulder,0,2.1153128147125244,0.24,-1.14,-0.24,982,-6824,7054,183.08,581.44,101.2
shaohan,shoulder,0,2.2279469966888428,0.19,-1.22,-0.34,115,-4941,4746,273.24,552.0,69.0
shaohan,shoulder,0,2.3478708267211914,0.1,-1.2,-0.28,821,1970,-805,306.36,540.04,48.76
shaohan,shoulder,0,2.487905979156494,0.12,-1.23,-0.3,783,3591,-5627,283.36,550.16,55.2
shaohan,shoulder,0,2.601808786392212,0.25,-1.35,-0.29,-599,5864,-9890,198.72,591.56,74.52
shaohan,shoulder,0,2.7166149616241455,0.29,-1.27,-0.24,-3697,4373,-1185,114.08,602.6,96.6
shaohan,shoulder,0,2.8367347717285156,0.25,-1.02,-0.21,-5853,3068,9034,127.88,572.24,141.68
shaohan,shoulder,0,2.9568228721618652,0.06,-0.79,-0.21,-3314,4235,13359,193.2,510.6,185.84
shaohan,shoulder,0,3.0981178283691406,0.03,-0.81,-0.23,660,9452,8331,200.56,469.2,218.04
shaohan,shoulder,0,3.2194859981536865,0.1,-0.88,-0.28,1863,3448,5395,195.04,457.24,229.08
shaohan,shoulder,0,3.3416879177093506,0.09,-0.88,-0.28,-1133,-4289,-3300,205.16,454.48,227.24
shaohan,shoulder,0,3.462847948074341,0.03,-0.67,-0.22,2393,-7038,-14851,199.64,471.04,217.12
shaohan,shoulder,0,3.5805869102478027,0.12,-0.71,-0.23,4937,-9431,-10731,150.88,533.6,179.4
shaohan,shoulder,0,3.7269649505615234,0.11,-0.91,-0.23,4805,-9302,-3583,142.6,580.52,121.44
shaohan,shoulder,0,3.8552708625793457,0.12,-1.09,-0.23,3248,-3665,1844,166.52,598.92,76.36
shaohan,shoulder,0,3.975468873977661,0.24,-1.16,-0.23,2952,1610,7621,213.44,597.08,46.0
shaohan,shoulder,0,4.095793962478638,0.25,-1.29,-0.27,-2329,5903,3373,265.88,564.88,47.84
shaohan,shoulder,0,4.217756986618042,0.22,-1.26,-0.22,-990,161,-3745,249.32,565.8,69.0
shaohan,shoulder,0,4.337989807128906,0.26,-1.31,-0.24,-1795,-560,-7717,197.8,589.72,70.84
shaohan,shoulder,0,4.45405387878418,0.29,-1.26,-0.25,-3535,1661,-2556,146.28,594.32,98.44
shaohan,shoulder,0,4.576507806777954,0.25,-1.1,-0.27,-6246,-183,6135,139.84,584.2,115.0
shaohan,shoulder,0,4.706647872924805,0.1,-0.91,-0.27,-3069,4439,12842,189.52,538.2,156.4
shaohan,shoulder,0,4.829099893569946,-0.1,-0.78,-0.22,1308,14255,15696,246.56,473.8,189.52
shaohan,shoulder,0,4.949122905731201,0.12,-0.85,-0.31,2765,-535,-1485,233.68,444.36,218.04
shaohan,shoulder,0,5.095547914505005,0.18,-0.85,-0.34,-1244,-10616,-7465,230.0,463.68,206.08
shaohan,shoulder,0,5.213018894195557,0.09,-0.76,-0.26,1713,-6219,-10829,235.52,500.48,173.88
shaohan,shoulder,0,5.32671594619751,0.15,-0.8,-0.2,4017,-2956,-8942,192.28,557.52,136.16
shaohan,shoulder,0,5.451870918273926,0.21,-0.92,-0.22,2036,-2324,-1298,149.96,594.32,107.64
shaohan,shoulder,0,5.570358991622925,0.19,-1.06,-0.23,1219,-4423,3238,181.24,593.4,82.8
shaohan,shoulder,0,5.701645851135254,0.08,-1.14,-0.17,6691,-2524,7877,237.36,589.72,44.16
shaohan,shoulder,0,5.821548938751221,0.13,-1.35,-0.21,2450,-3601,4560,309.12,560.28,-6.44
shaohan,shoulder,0,5.937881946563721,0.06,-1.29,-0.12,398,701,-1441,318.32,558.44,-12.88
shaohan,shoulder,0,6.07650899887085,0.09,-1.31,-0.1,-3200,1907,-5173,280.6,576.84,10.12
shaohan,shoulder,0,6.1880879402160645,0.16,-1.34,-0.17,-5406,4922,-6437,250.24,589.72,24.84
shaohan,shoulder,0,6.33319091796875,0.22,-1.2,-0.2,-5564,4331,801,181.24,593.4,78.2
shaohan,shoulder,0,6.457897901535034,0.16,-0.98,-0.22,-5891,1220,9019,182.16,558.44,131.56
shaohan,shoulder,0,6.564211845397949,0.02,-0.8,-0.26,-234,4677,12061,241.04,500.48,167.44
shaohan,shoulder,0,6.709360837936401,0.0,-0.68,-0.28,4608,13342,12018,270.48,452.64,189.52
shaohan,shoulder,0,6.8343329429626465,0.02,-0.78,-0.29,-747,-2049,-2561,251.16,448.04,207.0
shaohan,shoulder,0,6.950417995452881,-0.03,-0.63,-0.22,-1392,-8888,-12515,258.52,466.44,193.2
shaohan,shoulder,0,7.0890138149261475,-0.04,-0.65,-0.21,1688,-8604,-11473,221.72,523.48,160.08
shaohan,shoulder,0,7.187992811203003,0.06,-0.8,-0.24,3116,-2833,-3366,190.44,563.04,128.8
shaohan,shoulder,0,7.32686185836792,0.12,-1.09,-0.33,670,-5920,1870,211.6,572.24,102.12
shaohan,shoulder,0,7.4492387771606445,0.12,-1.13,-0.33,1247,-687,2913,244.72,558.44,91.08
shaohan,shoulder,0,7.577871799468994,0.17,-1.18,-0.33,3718,-3314,6013,290.72,546.48,60.72
shaohan,shoulder,0,7.695251941680908,0.07,-1.19,-0.31,-948,1578,-575,310.04,533.6,47.84
shaohan,shoulder,0,7.8154168128967285,0.11,-1.24,-0.33,-6,1536,-5292,296.24,540.04,56.12
shaohan,shoulder,0,7.9403159618377686,0.15,-1.4,-0.3,-2225,4373,-9648,231.84,577.76,70.84
shaohan,shoulder,0,8.052925825119019,0.21,-1.26,-0.27,-4629,4117,-716,149.04,592.48,105.8
shaohan,shoulder,0,8.213059902191162,0.07,-0.95,-0.27,-2943,1964,8818,143.52,566.72,148.12
shaohan,shoulder,0,8.305542945861816,0.15,-0.71,-0.27,-1992,6307,13487,202.4,517.96,175.72
shaohan,shoulder,0,8.420506000518799,0.13,-0.62,-0.21,3249,17652,13690,232.76,471.96,202.4
shaohan,shoulder,0,8.560349941253662,0.02,-0.79,-0.25,-713,-2052,-2430,222.64,470.12,207.92
shaohan,shoulder,0,8.676565885543823,0.1,-0.78,-0.27,-2258,-9145,-4555,240.12,470.12,200.56
shaohan,shoulder,0,8.797966957092285,0.02,-0.66,-0.21,433,-7013,-11715,234.6,504.16,168.36
shaohan,shoulder,0,8.934197902679443,0.0,-0.73,-0.19,1688,-7564,-7169,206.08,549.24,133.4
shaohan,shoulder,0,9.062962770462036,0.07,-1.02,-0.28,1064,-6097,346,219.88,564.88,113.16
shaohan,shoulder,0,9.183889865875244,-0.02,-1.11,-0.32,4298,-5553,4111,243.8,561.2,93.84
shaohan,shoulder,0,9.306717872619629,0.05,-1.28,-0.3,7844,-3520,4479,303.6,554.76,33.12
shaohan,shoulder,0,9.420560836791992,0.09,-1.3,-0.23,-342,4795,-3848,328.44,548.32,-7.36
shaohan,shoulder,0,9.544080972671509,0.09,-1.21,-0.22,-842,1732,-4137,287.04,572.24,7.36
shaohan,shoulder,0,9.683931827545166,0.2,-1.32,-0.2,-3004,3799,-6173,236.44,594.32,27.6
shaohan,shoulder,0,9.798020839691162,0.26,-1.33,-0.25,-4181,2496,-3628,175.72,603.52,65.32
shaohan,shoulder,0,9.915502786636353,0.2,-1.12,-0.23,-4340,912,4170,156.4,591.56,107.64
