User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
lisa,bicep curls,0,0.000166893,0.54,0.43,-0.68,25,-54,-63,-323.84,150.88,245.64
lisa,bicep curls,0,0.23526001,0.54,0.43,-0.68,28,-85,-4,-322,152.72,247.48
lisa,bicep curls,0,0.37887907,0.54,0.42,-0.68,31,-62,53,-321.08,154.56,243.8
lisa,bicep curls,0,0.53401804,0.54,0.42,-0.68,41,-6,63,-323.84,153.64,245.64
lisa,bicep curls,0,0.634687901,0.54,0.42,-0.68,-2,-127,141,-322,152.72,247.48
lisa,bicep curls,0,0.733136892,0.53,0.42,-0.69,60,-134,112,-318.32,153.64,246.56
lisa,bicep curls,0,0.856367111,0.53,0.42,-0.69,-72,-90,123,-319.24,152.72,245.64
lisa,bicep curls,0,0.971462965,0.53,0.42,-0.69,24,-76,87,-320.16,155.48,246.56
lisa,bicep curls,0,1.133928061,0.54,0.42,-0.7,585,-1304,-161,-320.16,154.56,248.4
lisa,bicep curls,0,1.234688044,0.51,0.42,-0.72,1946,-3286,429,-306.36,157.32,257.6
lisa,bicep curls,0,1.334909916,0.56,0.36,-0.79,4911,-8217,4437,-277.84,177.56,272.32
lisa,bicep curls,0,1.463952065,0.41,0.28,-0.82,9374,-21613,5346,-173.88,247.48,313.72
lisa,bicep curls,0,1.633760929,0.05,0.16,-0.66,9533,-32768,3130,93.84,335.8,317.4
lisa,bicep curls,0,1.734942913,-0.47,0.13,-0.36,6223,-28135,4307,391.92,376.28,145.36
lisa,bicep curls,0,1.834868908,-0.85,0.1,-0.18,3199,-4671,-213,474.72,368.92,0
lisa,bicep curls,0,1.936342955,-1.03,-0.02,-0.09,1027,-1969,-9505,463.68,411.24,-30.36
lisa,bicep curls,0,2.069941044,-1.04,-0.17,-0.03,1129,-367,-17190,383.64,518.88,-39.56
lisa,bicep curls,0,2.234963894,-0.88,-0.36,0.02,-28,942,-19505,242.88,626.52,-40.48
lisa,bicep curls,0,2.3348701,-0.65,-0.54,0.03,-1583,544,-16922,72.68,670.68,-33.12
lisa,bicep curls,0,2.455053091,-0.43,-0.7,0.03,-2544,-125,-12177,-61.64,656.88,-11.96
lisa,bicep curls,0,2.578634024,-0.19,-0.85,-0.03,-1436,2805,-8651,-115,641.24,-4.6
lisa,bicep curls,0,2.734761,0.03,-0.95,-0.06,-708,1396,-4253,-189.52,609.04,-5.52
lisa,bicep curls,0,2.834805965,0.15,-0.98,-0.09,323,51,2762,-216.2,595.24,-5.52
lisa,bicep curls,0,2.946378946,0.13,-1,-0.08,1071,-765,9001,-184,614.56,-9.2
lisa,bicep curls,0,3.065016985,0,-0.97,-0.05,1776,-2559,13136,-88.32,653.2,-13.8
lisa,bicep curls,0,3.185148001,-0.21,-0.89,-0.02,2385,-374,15178,47.84,673.44,-25.76
lisa,bicep curls,0,3.333909035,-0.43,-0.75,0.03,2281,-3231,15832,195.04,646.76,-49.68
lisa,bicep curls,0,3.456515074,-0.66,-0.55,0.09,3125,-2552,15765,332.12,578.68,-80.96
lisa,bicep curls,0,3.576469898,-0.82,-0.32,0.15,2759,860,13810,429.64,477.48,-103.96
lisa,bicep curls,0,3.73486495,-0.94,-0.14,0.17,1455,101,10525,486.68,379.04,-107.64
lisa,bicep curls,0,3.834789038,-0.99,0.04,0.18,1115,-1039,6906,517.96,304.52,-114.08
lisa,bicep curls,0,3.936434031,-1.09,0.12,0.21,-455,-952,-1127,525.32,292.56,-124.2
lisa,bicep curls,0,4.05994606,-1.11,0.14,0.22,-1306,-730,-9219,516.12,310.96,-126.96
lisa,bicep curls,0,4.20133996,-1.11,0.05,0.24,-2445,10,-15718,477.48,397.44,-128.8
lisa,bicep curls,0,4.334738016,-1.01,-0.16,0.22,-3318,2780,-19810,384.56,530.84,-112.24
lisa,bicep curls,0,4.448940039,-0.81,-0.38,0.16,-2710,4789,-19250,222.64,638.48,-74.52
lisa,bicep curls,0,4.56618309,-0.55,-0.59,0.11,-1933,3459,-15960,51.52,673.44,-49.68
lisa,bicep curls,0,4.733848095,-0.32,-0.75,0.07,-2028,156,-11695,-86.48,655.04,-35.88
lisa,bicep curls,0,4.834808111,-0.08,-0.89,-0.01,-1753,1829,-7595,-182.16,617.32,-23.92
lisa,bicep curls,0,4.963749886,0.14,-0.97,-0.06,-858,2056,-3135,-241.04,586.04,-27.6
lisa,bicep curls,0,5.080040932,0.23,-0.98,-0.09,392,-1113,5086,-245.64,582.36,-26.68
lisa,bicep curls,0,5.234798908,0.18,-0.99,-0.08,1447,-407,11679,-172.04,623.76,-27.6
lisa,bicep curls,0,5.334805012,0,-0.96,-0.06,721,-1440,16261,-39.56,660.56,-37.72
lisa,bicep curls,0,5.454070091,-0.22,-0.81,-0.03,676,-3357,19689,129.72,657.8,-44.16
lisa,bicep curls,0,5.580050945,-0.53,-0.56,0.05,2111,-6532,19183,308.2,586.04,-69
lisa,bicep curls,0,5.734744072,-0.76,-0.3,0.11,2813,131,17192,430.56,471.96,-96.6
lisa,bicep curls,0,5.834244013,-0.93,-0.07,0.14,1451,-1771,14196,471.96,405.72,-102.12
lisa,bicep curls,0,5.946485043,-1.05,0.09,0.17,562,-1124,7446,520.72,291.64,-114.08
lisa,bicep curls,0,6.06010294,-1.11,0.19,0.19,-339,-976,-1903,540.04,244.72,-122.36
lisa,bicep curls,0,6.207540035,-1.14,0.22,0.23,-1424,-1472,-11767,519.8,286.12,-129.72
lisa,bicep curls,0,6.333903074,-1.11,0.08,0.25,-3594,322,-19758,471.04,410.32,-132.48
