User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
lisa,bicep curls,0,0.000159025,0.64,0.32,0.82,51,-19,60,-299,183.08,-351.44
lisa,bicep curls,0,0.243824005,0.64,0.32,0.82,-13,-89,78,-298.08,183.08,-352.36
lisa,bicep curls,0,0.362601042,0.64,0.32,0.82,26,99,74,-299.92,185.84,-351.44
lisa,bicep curls,0,0.494916916,0.64,0.32,0.82,28,-10,23,-301.76,183.08,-351.44
lisa,bicep curls,0,0.637138128,0.64,0.32,0.82,22,19,97,-299,184,-350.52
lisa,bicep curls,0,0.737180948,0.64,0.32,0.82,-27,2,110,-298.08,184,-353.28
lisa,bicep curls,0,0.838966131,0.64,0.32,0.83,117,566,454,-299,182.16,-352.36
lisa,bicep curls,0,0.958739042,0.61,0.28,0.87,-872,4942,1789,-289.8,188.6,-357.88
lisa,bicep curls,0,1.088829994,0.61,0.24,0.85,-1633,3474,1363,-265.88,202.4,-379.96
lisa,bicep curls,0,1.236793995,0.62,0.22,0.88,-1539,2495,3820,-241.04,220.8,-389.16
lisa,bicep curls,0,1.33702302,0.68,0.17,1.02,-7737,-167,8315,-230,278.76,-397.44
lisa,bicep curls,0,1.462697983,0.7,0.03,1.07,-14290,-5920,10165,-233.68,408.48,-355.12
lisa,bicep curls,0,1.587476015,0.64,-0.16,0.98,-18250,-4796,12564,-205.16,551.08,-239.2
lisa,bicep curls,0,1.737200022,0.53,-0.35,0.74,-16029,-4064,10579,-115.92,637.56,-90.16
lisa,bicep curls,0,1.835879087,0.44,-0.54,0.48,-11128,-2596,7557,-28.52,639.4,29.44
lisa,bicep curls,0,1.94879508,0.37,-0.77,0.28,-6508,-3205,4751,38.64,617.32,101.2
lisa,bicep curls,0,2.067596912,0.26,-0.9,0.09,-2695,-5456,2515,91.08,596.16,136.16
lisa,bicep curls,0,2.23716712,0.17,-0.95,0,-217,176,426,112.24,586.96,147.2
lisa,bicep curls,0,2.336234093,0.15,-0.96,-0.04,5366,699,-3176,105.8,591.56,139.84
lisa,bicep curls,0,2.437371016,0.2,-0.94,0.03,11188,2813,-7134,62.56,626.52,83.72
lisa,bicep curls,0,2.57010293,0.24,-0.88,0.25,12392,3290,-11666,-15.64,655.96,-18.4
lisa,bicep curls,0,2.737323999,0.39,-0.7,0.45,13951,10099,-8989,-116.84,632.96,-135.24
lisa,bicep curls,0,2.836704016,0.5,-0.52,0.73,15886,7075,-6786,-157.32,557.52,-272.32
lisa,bicep curls,0,2.94739604,0.54,-0.3,0.91,13881,-664,-5117,-175.72,438.84,-373.52
lisa,bicep curls,0,3.072583914,0.52,-0.09,1.01,11385,-261,-3329,-182.16,315.56,-419.52
lisa,bicep curls,0,3.237179041,0.51,0.07,1.04,4047,2917,-1251,-168.36,227.24,-443.44
lisa,bicep curls,0,3.33713007,0.52,0.14,1.07,-3663,606,2176,-149.96,218.96,-448.04
lisa,bicep curls,0,3.452563047,0.51,0.09,1.18,-14054,2233,5553,-144.44,315.56,-438.84
lisa,bicep curls,0,3.572678089,0.52,-0.07,1.16,-21772,-2976,6318,-130.64,491.28,-361.56
lisa,bicep curls,0,3.737174034,0.46,-0.26,0.97,-20957,-8386,6478,-115,617.32,-195.96
lisa,bicep curls,0,3.836740971,0.39,-0.46,0.75,-18075,-3176,6288,-60.72,653.2,-31.28
lisa,bicep curls,0,3.939990044,0.36,-0.64,0.42,-13370,-3102,5150,0.92,620.08,95.68
lisa,bicep curls,0,4.081348896,0.28,-0.81,0.14,-7884,-5182,3673,296.24,2133.48,-14602.24
lisa,bicep curls,0,4.237174034,0.19,-0.89,-0.07,-3399,-1959,2502,77.28,553.84,195.04
lisa,bicep curls,0,4.34137392,0.13,-0.9,-0.16,3271,-909,-768,103.04,539.12,203.32
lisa,bicep curls,0,4.455070019,0.15,-0.9,-0.14,9257,290,-4742,89.24,571.32,169.28
lisa,bicep curls,0,4.577444077,0.2,-0.89,0,14309,2940,-8055,45.08,628.36,84.64
lisa,bicep curls,0,4.736243963,0.28,-0.84,0.26,16242,7378,-8556,-46.92,656.88,-43.24
lisa,bicep curls,0,4.836518049,0.41,-0.7,0.52,15299,5507,-6773,-115,621.92,-188.6
lisa,bicep curls,0,4.940320969,0.49,-0.52,0.73,15077,-442,-7348,-161.92,538.2,-298.08
lisa,bicep curls,0,5.065038919,0.53,-0.3,0.93,12944,3566,-5967,-186.76,417.68,-381.8
lisa,bicep curls,0,5.216315031,0.55,-0.1,1,8590,-277,-3813,-176.64,309.12,-429.64
lisa,bicep curls,0,5.337101936,0.55,0.04,1.03,3842,710,-1292,-177.56,239.2,-437.92
lisa,bicep curls,0,5.449105978,0.57,0.07,1.11,-5358,1788,2994,-161,256.68,-442.52
lisa,bicep curls,0,5.571451902,0.57,0.03,1.18,-14268,-340,6734,-161.92,306.36,-437.92
lisa,bicep curls,0,5.736198902,0.54,-0.12,1.12,-20670,-3576,8225,-156.4,463.68,-373.52
lisa,bicep curls,0,5.837121964,0.51,-0.35,0.94,-20385,-5195,7811,-123.28,601.68,-227.24
lisa,bicep curls,0,5.959929943,0.44,-0.55,0.68,-18110,-5276,7066,-63.48,652.28,-59.8
lisa,bicep curls,0,6.080060005,0.33,-0.67,0.36,-13485,-4951,5500,11.96,626.52,87.4
lisa,bicep curls,0,6.236146927,0.24,-0.78,0.07,-7836,-1631,3604,70.84,563.04,184
lisa,bicep curls,0,6.335958004,0.2,-0.86,-0.15,-2358,-117,1043,92,520.72,223.56
lisa,bicep curls,0,6.447679043,0.16,-0.89,-0.22,3648,-1168,-1769,96.6,522.56,221.72
lisa,bicep curls,0,6.572549105,0.18,-0.88,-0.18,9543,108,-5419,76.36,567.64,177.56
lisa,bicep curls,0,6.737015963,0.24,-0.87,-0.04,14535,2765,-8317,14.72,623.76,86.48
lisa,bicep curls,0,6.837067127,0.36,-0.83,0.24,15358,7803,-9276,-75.44,644.92,-52.44
lisa,bicep curls,0,6.940148115,0.48,-0.7,0.5,14249,4424,-8451,-154.56,603.52,-184
lisa,bicep curls,0,7.057713032,0.58,-0.54,0.7,13055,1734,-8105,-183.08,564.88,-241.04
lisa,bicep curls,0,7.183840036,0.6,-0.34,0.84,11109,6441,-5426,-217.12,467.36,-329.36
lisa,bicep curls,0,7.337363958,0.6,-0.14,0.95,8855,-1066,-4641,-199.64,361.56,-398.36
lisa,bicep curls,0,7.457597017,0.59,-0.01,1.03,2801,1874,-2055,-201.48,276.92,-416.76
lisa,bicep curls,0,7.581241131,0.61,0.03,1.09,-4377,623,2431,-184.92,262.2,-423.2
lisa,bicep curls,0,7.737137079,0.6,0,1.15,-13192,489,6781,-185.84,339.48,-413.08
lisa,bicep curls,0,7.837167025,0.57,-0.15,1.12,-19379,-3359,8144,-170.2,485.76,-342.24
lisa,bicep curls,0,7.945199013,0.53,-0.36,0.88,-20100,-7218,8684,-135.24,614.56,-192.28
lisa,bicep curls,0,8.057826042,0.41,-0.53,0.65,-16390,-4503,6902,-63.48,647.68,-29.44
lisa,bicep curls,0,8.190164089,0.35,-0.68,0.37,-12183,-3260,5153,-1.84,622.84,95.68
lisa,bicep curls,0,8.337100029,0.32,-0.82,0.07,-6807,-7174,3241,55.2,567.64,173.88
lisa,bicep curls,0,8.447621107,0.17,-0.89,-0.07,-832,-7136,1420,119.6,542.8,195.96
lisa,bicep curls,0,8.559772968,0.14,-0.9,-0.14,4350,3951,-2920,112.24,557.52,182.16
lisa,bicep curls,0,8.682464123,0.2,-0.9,-0.09,10848,1757,-6659,55.2,608.12,123.28
lisa,bicep curls,0,8.837054014,0.29,-0.87,0.06,15299,635,-11253,13.8,631.12,65.32
lisa,bicep curls,0,8.947667122,0.41,-0.77,0.3,14267,6337,-12373,-88.32,644.92,-62.56
lisa,bicep curls,0,9.063995123,0.58,-0.57,0.58,13225,12029,-8465,-176.64,587.88,-202.4
lisa,bicep curls,0,9.18373704,0.63,-0.37,0.78,13330,-737,-6955,-197.8,488.52,-320.16
lisa,bicep curls,0,9.337084055,0.64,-0.17,0.9,9949,3190,-5338,-219.88,373.52,-384.56
lisa,bicep curls,0,9.457350969,0.64,0.01,0.97,6146,-425,-3469,-213.44,271.4,-416.76
lisa,bicep curls,0,9.573909998,0.66,0.07,1.05,-1422,1974,1290,-197.8,232.76,-425.04
lisa,bicep curls,0,9.736088991,0.66,0.05,1.13,-12121,252,6905,-184.92,300.84,-420.44
lisa,bicep curls,0,9.836357117,0.63,-0.08,1.14,-20498,-4427,10121,-186.76,463.68,-349.6
lisa,bicep curls,0,9.94382906,0.61,-0.3,0.97,-22656,-6958,10873,-136.16,611.8,-184
lisa,bicep curls,0,10.06132412,0.47,-0.47,0.66,-19946,-2443,7239,-55.2,643.08,2.76
lisa,bicep curls,0,10.19025612,0.41,-0.63,0.33,-12959,-2594,4210,0,591.56,133.4
lisa,bicep curls,0,10.33694005,0.33,-0.78,0.03,-5844,-5968,2158,53.36,544.64,201.48
lisa,bicep curls,0,10.43696594,0.22,-0.83,-0.16,184,-64,-579,68.08,527.16,215.28
lisa,bicep curls,0,10.55396891,0.24,-0.84,-0.18,8160,531,-3845,61.64,541.88,202.4
lisa,bicep curls,0,10.6749351,0.28,-0.85,-0.07,13350,1562,-7784,23.92,595.24,137.08
lisa,bicep curls,0,10.83694005,0.35,-0.83,0.14,15789,9017,-9138,-58.88,635.72,17.48
lisa,bicep curls,0,10.93690395,0.49,-0.7,0.44,15453,9601,-8134,-147.2,619.16,-137.08
lisa,bicep curls,0,11.04896903,0.55,-0.54,0.69,13955,3165,-7094,-195.04,541.88,-264.96
lisa,bicep curls,0,11.19527602,0.56,-0.32,0.82,12183,2896,-5884,-205.16,438.84,-352.36
lisa,bicep curls,0,11.33605504,0.55,-0.09,0.95,8737,2019,-5213,-200.56,325.68,-404.8
lisa,bicep curls,0,11.43621302,0.6,-0.03,1.05,437,251,-974,-187.68,264.96,-419.52
lisa,bicep curls,0,11.54889393,0.6,-0.01,1.14,-8120,863,4492,-189.52,302.68,-412.16
lisa,bicep curls,0,11.69866991,0.62,-0.12,1.17,-19089,-2222,8269,-179.4,450.8,-361.56
lisa,bicep curls,0,11.83694696,0.59,-0.3,1.03,-23827,-8926,9615,-154.56,599.84,-194.12
lisa,bicep curls,0,11.93643308,0.51,-0.47,0.77,-21255,-9715,8795,-122.36,633.88,-88.32
lisa,bicep curls,0,12.04375005,0.38,-0.58,0.43,-15548,-7960,6592,-24.84,618.24,93.84
lisa,bicep curls,0,12.19881392,0.25,-0.7,0.07,-9264,-2850,4709,57.04,541.88,206.08
lisa,bicep curls,0,12.33691096,0.18,-0.79,-0.24,-3388,101,1304,97.52,480.24,257.6
lisa,bicep curls,0,12.43694401,0.13,-0.82,-0.33,3761,-107,-3864,100.28,467.36,264.04
lisa,bicep curls,0,12.5562861,0.2,-0.81,-0.28,10257,949,-8461,57.96,515.2,229.08
lisa,bicep curls,0,12.67385411,0.28,-0.82,-0.14,15749,4750,-10842,-16.56,591.56,138.92
lisa,bicep curls,0,12.836411,0.44,-0.74,0.14,16410,10422,-10790,-134.32,621.92,-5.52
lisa,bicep curls,0,12.93645501,0.59,-0.61,0.45,15579,7379,-8094,-208.84,577.76,-165.6
lisa,bicep curls,0,13.05131412,0.64,-0.41,0.72,14435,5121,-7882,-241.04,481.16,-291.64
lisa,bicep curls,0,13.19885206,0.65,-0.2,0.84,10677,4566,-6436,-235.52,358.8,-375.36
lisa,bicep curls,0,13.33696508,0.65,-0.02,0.97,6707,446,-4528,-221.72,256.68,-405.72
lisa,bicep curls,0,13.43753195,0.66,0.03,1.05,-5396,425,4090,-207.92,259.44,-410.32
lisa,bicep curls,0,13.55883002,0.65,-0.01,1.12,-13837,512,8662,-209.76,310.96,-402.96
lisa,bicep curls,0,13.67245007,0.61,-0.17,1.11,-20797,-3323,9393,-194.12,467.36,-345.92
lisa,bicep curls,0,13.83690596,0.55,-0.36,0.89,-21497,-6890,8230,-153.64,603.52,-191.36
lisa,bicep curls,0,13.95755291,0.44,-0.51,0.61,-17340,-7458,6190,-88.32,640.32,-11.96
lisa,bicep curls,0,14.069103,0.37,-0.65,0.3,-12567,-3560,3979,-20.24,597.08,127.88
lisa,bicep curls,0,14.23685598,0.32,-0.79,-0.06,-6101,-4591,1113,25.76,535.44,208.84
lisa,bicep curls,0,14.33692193,0.24,-0.84,-0.21,2056,-443,-1405,47.84,509.68,236.44
lisa,bicep curls,0,14.43696308,0.25,-0.84,-0.2,8755,2321,-3898,31.28,540.04,205.16
lisa,bicep curls,0,14.55268407,0.3,-0.81,-0.1,14736,4375,-7241,-28.52,598.92,125.12
lisa,bicep curls,0,14.6712029,0.4,-0.76,0.21,18340,7495,-9684,-115.92,632.96,-19.32
lisa,bicep curls,0,14.83691502,0.52,-0.64,0.56,17450,11191,-7496,-188.6,586.96,-193.2
lisa,bicep curls,0,14.94764209,0.57,-0.45,0.82,15072,2047,-7030,-211.6,482.08,-322
lisa,bicep curls,0,15.06290412,0.6,-0.27,0.99,8424,2544,-5587,-217.12,369.84,-386.4
lisa,bicep curls,0,15.23611808,0.62,-0.15,1.06,871,-173,-1761,-210.68,314.64,-399.28
lisa,bicep curls,0,15.33687305,0.64,-0.13,1.13,-8250,402,4807,-214.36,323.84,-396.52
lisa,bicep curls,0,15.43705297,0.63,-0.21,1.13,-16967,-3648,7702,-203.32,422.28,-363.4
lisa,bicep curls,0,15.54523897,0.59,-0.37,0.98,-20537,-7016,8026,-193.2,556.6,-244.72
lisa,bicep curls,0,15.69482899,0.53,-0.54,0.72,-19424,-7863,7787,-136.16,628.36,-68.08
