User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
lisa,tricep,0,0.00013494491577148438,0.13,0.87,-0.39,-48,-210,98,22.08,-114.08,302.68
lisa,tricep,0,0.23264813423156738,0.13,0.87,-0.4,97,74,-28,20.24,-113.16,302.68
lisa,tricep,0,0.3577880859375,0.13,0.87,-0.4,53,-127,-5,25.76,-115.0,300.84
lisa,tricep,0,0.46859097480773926,0.13,0.87,-0.4,-130,134,-1,23.0,-115.0,304.52
lisa,tricep,0,0.6340711116790771,0.13,0.87,-0.39,-54,-151,110,25.76,-116.84,303.6
lisa,tricep,0,0.7340619564056396,0.13,0.87,-0.39,-62,-98,135,26.68,-116.84,299.92
lisa,tricep,0,0.8340640068054199,0.13,0.87,-0.39,-97,30,106,26.68,-117.76,303.6
lisa,tricep,0,0.9463729858398438,0.13,0.87,-0.39,1,-112,110,22.08,-118.68,302.68
lisa,tricep,0,1.0703210830688477,0.13,0.87,-0.39,-84,-131,138,24.84,-119.6,308.2
lisa,tricep,0,1.2339651584625244,0.13,0.86,-0.37,-896,-54,344,25.76,-120.52,297.16
lisa,tricep,0,1.33384108543396,0.16,0.84,-0.27,-6528,1285,1817,17.48,-134.32,293.48
lisa,tricep,0,1.4340851306915283,0.2,0.94,-0.13,-12931,1710,2886,-11.96,-200.56,257.6
lisa,tricep,0,1.5387449264526367,0.21,1.05,0.04,-15028,334,2608,-53.36,-282.44,178.48
lisa,tricep,0,1.6824841499328613,0.28,1.03,0.21,-14102,-1936,2655,-93.84,-340.4,69.0
lisa,tricep,0,1.8338289260864258,0.31,0.96,0.39,-13713,-1965,2673,-126.04,-354.2,-43.24
lisa,tricep,0,1.9342360496520996,0.32,0.85,0.54,-12088,1369,1473,-143.52,-328.44,-161.0
lisa,tricep,0,2.058701992034912,0.37,0.7,0.65,-8179,385,738,-139.84,-278.76,-253.92
lisa,tricep,0,2.177370071411133,0.37,0.56,0.73,-4204,-2488,539,-144.44,-245.64,-288.88
lisa,tricep,0,2.334080934524536,0.38,0.47,0.77,-494,-149,326,-150.88,-230.92,-299.92
lisa,tricep,0,2.4337611198425293,0.4,0.45,0.77,5868,-967,-510,-149.96,-247.48,-278.76
lisa,tricep,0,2.559889078140259,0.38,0.56,0.72,11368,-3937,-1910,-155.48,-273.24,-248.4
