User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
lisa,shoulder,0,0.0001881122589111328,0.12,-0.9,-0.45,504,-373,402,-27.6,672.52,-64.4
lisa,shoulder,0,0.25810694694519043,0.14,-0.93,-0.4,819,-995,1471,-8.28,674.36,-70.84
lisa,shoulder,0,0.38107895851135254,0.11,-0.95,-0.39,-776,-810,756,0.92,673.44,-69.0
lisa,shoulder,0,0.5340960025787354,0.1,-0.94,-0.39,104,950,315,0.0,676.2,-68.08
lisa,shoulder,0,0.6337449550628662,0.1,-0.94,-0.42,847,-456,-13,2.76,676.2,-71.76
lisa,shoulder,0,0.7394070625305176,0.09,-0.94,-0.41,-683,-665,-389,2.76,677.12,-73.6
lisa,shoulder,0,0.8607029914855957,0.1,-0.93,-0.41,-158,286,-304,-1.84,672.52,-65.32
lisa,shoulder,0,0.9718139171600342,0.09,-0.93,-0.41,-60,132,-315,-4.6,674.36,-69.92
lisa,shoulder,0,1.1342101097106934,0.1,-0.93,-0.42,242,653,-486,-8.28,671.6,-68.08
lisa,shoulder,0,1.2337090969085693,0.13,-0.95,-0.43,-143,1487,-999,-15.64,673.44,-67.16
lisa,shoulder,0,1.3359489440917969,0.22,-1.02,-0.44,2232,2809,-2860,-24.84,670.68,-70.84
lisa,shoulder,0,1.4492170810699463,0.26,-1.06,-0.4,2976,3316,-4904,-54.28,666.08,-95.68
lisa,shoulder,0,1.598294973373413,0.35,-1.06,-0.36,3123,6127,-2856,-86.48,652.28,-127.88
lisa,shoulder,0,1.7341220378875732,0.39,-1.07,-0.29,634,2125,1880,-95.68,646.76,-158.24
lisa,shoulder,0,1.8471779823303223,0.35,-1.0,-0.24,-4030,4341,7508,-59.8,655.04,-156.4
lisa,shoulder,0,1.963428020477295,0.28,-0.81,-0.23,-5385,8468,10290,33.12,669.76,-115.0
lisa,shoulder,0,2.0757319927215576,0.27,-0.74,-0.22,-893,1607,3663,114.08,666.08,-76.36
lisa,shoulder,0,2.233802080154419,0.2,-0.81,-0.24,2097,-4129,-1592,124.2,663.32,-85.56
lisa,shoulder,0,2.3408079147338867,0.18,-0.83,-0.22,2237,-50,-3546,101.2,667.0,-109.48
lisa,shoulder,0,2.4517250061035156,0.2,-0.83,-0.21,2249,-1336,-5229,57.04,671.6,-125.12
lisa,shoulder,0,2.5708041191101074,0.23,-0.84,-0.19,1597,-3533,-6163,-3.68,665.16,-152.72
lisa,shoulder,0,2.7336161136627197,0.26,-0.91,-0.23,-1472,-2557,-5189,-64.4,658.72,-139.84
lisa,shoulder,0,2.8332951068878174,0.37,-1.0,-0.24,-2156,-3883,-1585,-92.92,655.96,-121.44
lisa,shoulder,0,2.9581849575042725,0.52,-1.06,-0.29,-3135,-5370,-881,-100.28,653.2,-105.8
lisa,shoulder,0,3.0956790447235107,0.52,-1.06,-0.37,2601,-1157,1281,-103.04,657.8,-82.8
lisa,shoulder,0,3.233981132507324,0.46,-1.02,-0.33,1952,2977,717,-93.84,659.64,-99.36
lisa,shoulder,0,3.3339319229125977,0.51,-1.08,-0.32,1878,2860,-691,-85.56,660.56,-124.2
lisa,shoulder,0,3.4758639335632324,0.54,-1.17,-0.31,2350,3822,-1774,-94.76,653.2,-147.2
lisa,shoulder,0,3.6332290172576904,0.5,-1.17,-0.27,527,4094,3013,-86.48,644.92,-173.88
lisa,shoulder,0,3.7332611083984375,0.35,-0.99,-0.22,-3926,4191,8640,-34.04,659.64,-164.68
lisa,shoulder,0,3.8333261013031006,0.28,-0.79,-0.19,-5459,4219,11530,71.76,670.68,-122.36
lisa,shoulder,0,3.9493050575256348,0.22,-0.78,-0.18,-1840,-789,3683,153.64,658.72,-83.72
lisa,shoulder,0,4.099724054336548,0.18,-0.86,-0.2,1521,-3528,-1753,155.48,661.48,-92.0
lisa,shoulder,0,4.234129905700684,0.15,-0.84,-0.19,2767,-136,-5214,122.36,664.24,-114.08
lisa,shoulder,0,4.336889982223511,0.19,-0.78,-0.18,3652,-3817,-7905,57.04,666.08,-147.2
lisa,shoulder,0,4.453115940093994,0.25,-0.85,-0.15,3302,-2588,-5963,-21.16,658.72,-177.56
