User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Dan,tricep,0,0.00021004676818847656,-0.22,0.96,-0.04,-1184,-626,91,149.96,-285.2,177.56
Dan,tricep,0,0.23881220817565918,-0.2,0.93,-0.02,1651,-86,-157,155.48,-285.2,170.2
Dan,tricep,0,0.37621116638183594,-0.2,0.96,-0.02,342,-270,-650,163.76,-280.6,175.72
Dan,tricep,0,0.5360920429229736,-0.21,0.94,-0.02,267,-127,-491,167.44,-278.76,180.32
Dan,tricep,0,0.6364841461181641,-0.22,0.97,-0.03,510,-469,-574,173.88,-274.16,182.16
Dan,tricep,0,0.7360360622406006,-0.29,0.97,-0.06,779,-1170,-1832,184.0,-266.8,187.68
Dan,tricep,0,0.8526761531829834,-0.28,0.94,-0.06,992,-228,-3099,207.92,-254.84,191.36
Dan,tricep,0,0.9925110340118408,-0.19,0.93,-0.06,-173,402,1680,217.12,-250.24,192.28
Dan,tricep,0,1.1359851360321045,-0.14,1.01,-0.08,-612,3408,10121,197.8,-258.52,192.28
Dan,tricep,0,1.237598180770874,0.02,1.01,-0.05,-838,2997,15227,99.36,-278.76,194.12
Dan,tricep,0,1.3687660694122314,0.28,0.97,-0.03,-3128,1751,19451,-27.6,-275.08,186.76
Dan,tricep,0,1.5347142219543457,0.5,0.98,0.02,-4986,6243,21498,-178.48,-218.96,158.24
Dan,tricep,0,1.635944128036499,0.73,0.91,0.09,-5276,1049,19115,-319.24,-109.48,94.76
Dan,tricep,0,1.7461621761322021,0.84,0.56,0.16,-4786,-1181,16731,-381.8,27.6,69.92
Dan,tricep,0,1.8687520027160645,0.92,0.31,0.11,-5308,181,12990,-400.2,151.8,69.92
Dan,tricep,0,2.0362370014190674,0.76,0.07,0.11,2340,-4531,-3581,-399.28,195.96,62.56
Dan,tricep,0,2.1364991664886475,0.91,-0.02,0.1,4215,1542,-11655,-394.68,136.16,78.2
Dan,tricep,0,2.2363600730895996,0.93,0.2,0.11,6452,-4241,-15306,-375.36,27.6,97.52
Dan,tricep,0,2.3399391174316406,0.85,0.45,0.14,6815,-2257,-18375,-305.44,-89.24,132.48
