User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Dan,shoulder,0,0.00016808509826660156,0.29,-0.97,-0.26,-105,82,626,5.52,654.12,-120.52
Dan,shoulder,0,0.28017115592956543,0.29,-0.98,-0.28,-184,-393,-27,9.2,652.28,-119.6
Dan,shoulder,0,0.4327361583709717,0.28,-0.97,-0.27,-177,185,506,12.88,652.28,-118.68
Dan,shoulder,0,0.5318801403045654,0.28,-0.99,-0.27,-100,-98,112,18.4,655.04,-118.68
Dan,shoulder,0,0.6322901248931885,0.28,-0.99,-0.27,187,502,-363,13.8,654.12,-115.0
Dan,shoulder,0,0.7317550182342529,0.27,-1.01,-0.28,323,799,-486,9.2,655.04,-119.6
Dan,shoulder,0,0.844663143157959,0.32,-1.07,-0.28,1707,2541,-2126,0.92,655.04,-127.88
Dan,shoulder,0,0.9735269546508789,0.38,-1.11,-0.24,2771,3742,-4039,-12.88,647.68,-141.68
Dan,shoulder,0,1.1324169635772705,0.42,-1.11,-0.2,2914,2137,-3263,-45.08,643.08,-165.6
Dan,shoulder,0,1.2330551147460938,0.49,-1.11,-0.12,1123,814,39,-66.24,631.12,-184.92
Dan,shoulder,0,1.3412470817565918,0.47,-1.05,-0.12,-1817,359,4911,-47.84,636.64,-184.0
Dan,shoulder,0,1.4623370170593262,0.36,-0.92,-0.18,-3367,1553,9296,13.8,655.04,-164.68
Dan,shoulder,0,1.5911340713500977,0.22,-0.85,-0.14,-2481,-5511,9370,101.2,660.56,-134.32
Dan,shoulder,0,1.733180046081543,0.11,-0.81,-0.12,-1628,-1852,3063,167.44,649.52,-117.76
Dan,shoulder,0,1.8473401069641113,0.15,-0.86,-0.12,485,1474,-3107,163.76,652.28,-117.76
Dan,shoulder,0,1.9800140857696533,0.2,-0.85,-0.13,3784,574,-7157,113.16,657.8,-133.4
Dan,shoulder,0,2.1331491470336914,0.23,-0.86,-0.16,3784,1332,-7149,41.4,656.88,-171.12
Dan,shoulder,0,2.23376202583313,0.28,-0.95,-0.1,4243,-1524,-6294,-21.16,640.32,-208.84
Dan,shoulder,0,2.3511300086975098,0.36,-1.01,-0.06,2086,845,-3678,-57.96,622.84,-230.0
Dan,shoulder,0,2.47993803024292,0.44,-1.0,-0.03,920,-762,-3964,-78.2,614.56,-233.68
Dan,shoulder,0,2.632478952407837,0.56,-0.99,-0.05,-304,-4020,-1590,-111.32,602.6,-236.44
Dan,shoulder,0,2.734900951385498,0.66,-1.03,-0.07,-1063,-6181,1387,-135.24,598.92,-218.96
Dan,shoulder,0,2.8661410808563232,0.7,-1.1,-0.04,-81,2345,1282,-142.6,604.44,-197.8
Dan,shoulder,0,3.033220052719116,0.53,-0.96,-0.08,1,2857,-1269,-120.52,610.88,-207.92
