User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Sandra,bicep curls,0,0.000168085,0.18,-1.04,-0.12,-78,340,76,-197.8,544.64,74.52
Sandra,bicep curls,0,0.230072021,0.2,-1.04,-0.13,-76,122,-207,-200.56,543.72,70.84
Sandra,bicep curls,0,0.362456083,0.22,-1.03,-0.13,-184,172,-155,-204.24,543.72,71.76
Sandra,bicep curls,0,0.481385946,0.22,-1.03,-0.12,-279,57,-857,-206.08,538.2,73.6
Sandra,bicep curls,0,0.634820938,0.22,-1.03,-0.13,-332,1221,-1549,-214.36,533.6,70.84
Sandra,bicep curls,0,0.734807014,0.28,-1.02,-0.14,-739,3560,-4535,-243.8,516.12,58.88
Sandra,bicep curls,0,0.851401091,0.45,-1.01,-0.13,-693,4920,-9358,-299.92,460,35.88
Sandra,bicep curls,0,0.967456102,0.61,-0.97,-0.11,-671,2572,-15268,-364.32,359.72,11.96
Sandra,bicep curls,0,1.09118104,0.82,-0.82,-0.09,251,1864,-20782,-391.92,277.84,-6.44
Sandra,bicep curls,0,1.233521938,0.99,-0.55,-0.03,2689,2812,-23163,-395.6,68.08,-31.28
Sandra,bicep curls,0,1.334695101,1.02,-0.22,-0.01,3461,993,-22230,-314.64,-137.08,-48.76
Sandra,bicep curls,0,1.475278139,0.91,0.13,0.03,2489,312,-19085,-164.68,-282.44,-34.04
Sandra,bicep curls,0,1.633759022,0.76,0.4,0.01,2734,9,-14864,-15.64,-349.6,-14.72
Sandra,bicep curls,0,1.734272003,0.59,0.61,-0.03,2301,-1442,-11648,106.72,-353.28,11.04
Sandra,bicep curls,0,1.836179018,0.4,0.76,-0.08,1715,-1575,-9200,200.56,-330.28,28.52
Sandra,bicep curls,0,1.965095043,0.19,0.81,-0.12,1377,-1127,-2857,265.88,-306.36,37.72
Sandra,bicep curls,0,2.089918137,0.12,0.8,-0.14,-1268,-207,10253,240.12,-313.72,39.56
Sandra,bicep curls,0,2.23378706,0.25,0.75,-0.12,-974,3393,21813,102.12,-348.68,25.76
Sandra,bicep curls,0,2.334609985,0.49,0.62,-0.02,-1929,2497,26708,-116.84,-303.6,6.44
Sandra,bicep curls,0,2.446182013,0.78,0.32,-0.17,-1742,524,25831,-299,-142.6,3.68
Sandra,bicep curls,0,2.56983304,0.98,-0.15,-0.08,1524,3263,25000,-359.72,-31.28,6.44
Sandra,bicep curls,0,2.734872103,0.77,-0.43,-0.04,-2239,-4654,24279,-393.76,206.08,5.52
Sandra,bicep curls,0,2.834769011,0.64,-0.84,-0.07,-2784,-2423,24145,-323.84,424.12,37.72
Sandra,bicep curls,0,2.946290016,0.56,-0.94,-0.1,478,2074,8804,-227.24,532.68,52.44
Sandra,bicep curls,0,3.066152096,0.52,-0.98,-0.11,274,1279,-3009,-192.28,563.04,41.4
Sandra,bicep curls,0,3.234650135,0.65,-1.05,-0.09,1825,2840,-21602,-264.04,507.84,20.24
Sandra,bicep curls,0,3.334037066,0.89,-1.04,-0.06,2160,1756,-31947,-383.64,300.84,-11.04
Sandra,bicep curls,0,3.443953991,0.98,-0.72,-0.04,2123,-1603,-32398,-370.76,-12.88,-21.16
Sandra,bicep curls,0,3.56379199,0.92,-0.3,0,1940,-1221,-29044,-201.48,-253,-9.2
Sandra,bicep curls,0,3.703675032,0.76,0.1,-0.04,2033,-2684,-22135,17.48,-348.68,11.96
Sandra,bicep curls,0,3.834697008,0.51,0.43,-0.07,1263,-3189,-15133,180.32,-337.64,25.76
Sandra,bicep curls,0,3.96638298,0.27,0.67,-0.1,71,-437,-9594,283.36,-297.16,23
Sandra,bicep curls,0,4.13362813,0.03,0.77,-0.12,575,540,-276,310.96,-277.84,30.36
Sandra,bicep curls,0,4.234216928,0.02,0.8,-0.14,-391,-877,12573,295.32,-287.96,32.2
Sandra,bicep curls,0,4.333745956,0.14,0.77,-0.14,110,1416,22463,181.24,-337.64,21.16
Sandra,bicep curls,0,4.445007086,0.42,0.6,-0.11,1018,2802,28036,-31.28,-332.12,23
Sandra,bicep curls,0,4.571238995,0.75,0.22,-0.16,1747,3978,28494,-257.6,-192.28,20.24
Sandra,bicep curls,0,4.734827995,0.87,-0.09,-0.05,-92,-831,28424,-378.12,46,28.52
Sandra,bicep curls,0,4.83477211,0.93,-0.58,-0.1,345,1521,23354,-377.2,289.8,37.72
Sandra,bicep curls,0,4.934351921,0.74,-0.88,-0.13,-980,-1527,20119,-277.84,472.88,46
Sandra,bicep curls,0,5.045161009,0.59,-0.95,-0.13,626,796,8213,-213.44,544.64,42.32
Sandra,bicep curls,0,5.179944992,0.52,-0.99,-0.15,202,1206,584,-194.12,559.36,41.4
