User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Sandra,bicep curls,0,0.000240803,0.19,-1.04,-0.14,-1,252,195,-206.08,540.96,74.52
Sandra,bicep curls,0,0.229948997,0.19,-1.03,-0.15,-9,-59,137,-206.08,543.72,74.52
Sandra,bicep curls,0,0.34638381,0.19,-1.03,-0.15,34,-206,13,-204.24,542.8,77.28
Sandra,bicep curls,0,0.455110788,0.18,-1.03,-0.15,171,-367,-67,-207,541.88,75.44
Sandra,bicep curls,0,0.572566986,0.18,-1.03,-0.15,-116,91,-311,-204.24,538.2,73.6
Sandra,bicep curls,0,0.731770992,0.21,-1.03,-0.15,-237,243,-438,-206.08,536.36,74.52
Sandra,bicep curls,0,0.831216812,0.24,-1.02,-0.17,-885,1941,-2599,-219.88,528.08,71.76
Sandra,bicep curls,0,0.956236839,0.32,-1.02,-0.17,-1878,3749,-7807,-257.6,495.88,65.32
Sandra,bicep curls,0,1.09107399,0.51,-1.01,-0.15,-1757,6271,-14859,-327.52,413.08,34.96
Sandra,bicep curls,0,1.231775999,0.78,-0.9,-0.14,-1167,5022,-23937,-392.84,241.04,-7.36
Sandra,bicep curls,0,1.331421852,0.95,-0.59,-0.1,1470,2022,-27290,-370.76,-13.8,-47.84
Sandra,bicep curls,0,1.472640991,0.96,-0.22,-0.08,1203,-1271,-25132,-235.52,-231.84,-54.28
Sandra,bicep curls,0,1.631766796,0.85,0.12,-0.05,571,-1352,-19544,-20961.28,-14602.24,296.24
Sandra,bicep curls,0,1.730769873,0.66,0.43,-0.03,161,-1691,-14260,88.32,-363.4,-35.88
Sandra,bicep curls,0,1.850044012,0.45,0.66,-0.04,-215,-2375,-10322,196.88,-343.16,-34.04
Sandra,bicep curls,0,1.976069927,0.24,0.76,-0.07,585,-2594,176,245.64,-328.44,-42.32
Sandra,bicep curls,0,2.131765842,0.18,0.79,-0.05,972,-205,13479,218.96,-340.4,-47.84
Sandra,bicep curls,0,2.231642008,0.3,0.74,-0.04,2012,1547,22792,87.4,-366.16,-42.32
Sandra,bicep curls,0,2.37001586,0.61,0.47,-0.12,4174,3044,26805,-119.6,-312.8,-25.76
Sandra,bicep curls,0,2.531744003,0.86,0.14,-0.13,3175,1268,26987,-305.44,-133.4,-1.84
Sandra,bicep curls,0,2.631635904,0.88,-0.29,-0.19,1821,-4061,27017,-386.4,112.24,23.92
Sandra,bicep curls,0,2.731642008,0.76,-0.78,-0.16,1368,2512,28414,-345.92,371.68,41.4
Sandra,bicep curls,0,2.832520962,0.62,-0.93,-0.19,1197,4162,10412,-238.28,526.24,25.76
Sandra,bicep curls,0,2.948719978,0.56,-0.97,-0.19,-333,-981,2045,-190.44,566.72,19.32
Sandra,bicep curls,0,3.096204996,0.57,-1.03,-0.18,-402,-1619,-14480,-233.68,532.68,25.76
Sandra,bicep curls,0,3.229995012,0.71,-1.11,-0.17,-1641,1360,-27855,-350.52,369.84,22.08
Sandra,bicep curls,0,3.335884809,0.88,-0.85,-0.12,-438,4126,-32736,296.24,2133.48,-14602.24
Sandra,bicep curls,0,3.475943804,0.93,-0.44,-0.04,2022,2391,-30687,-247.48,-219.88,-37.72
Sandra,bicep curls,0,3.630836964,0.78,0.01,-0.03,1397,-1360,-24985,-34.04,-345,-30.36
Sandra,bicep curls,0,3.730807781,0.56,0.36,-0.04,1008,-3111,-17871,63.48,-358.8,-20.24
Sandra,bicep curls,0,3.843895912,0.3,0.61,-0.08,224,-1474,-9447,210.68,-332.12,-11.96
Sandra,bicep curls,0,3.961310863,0.09,0.74,-0.12,-1686,-1498,942,278.76,-306.36,-14.72
Sandra,bicep curls,0,4.099023819,0.11,0.78,-0.09,186,-153,13670,247.48,-322.92,-24.84
Sandra,bicep curls,0,4.231231928,0.29,0.73,-0.1,1430,84,23592,106.72,-357.88,-31.28
