User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Sandra,tricep,0,0.00016617774963378906,0.43,-0.99,0.01,-194,-399,-951,-284.28,482.08,-130.64
Sandra,tricep,0,0.24776220321655273,0.43,-0.98,-0.01,-223,-380,-378,-293.48,472.88,-123.28
Sandra,tricep,0,0.3675851821899414,0.45,-0.97,-0.01,-225,16,-189,-297.16,469.2,-121.44
Sandra,tricep,0,0.5075139999389648,0.47,-0.97,-0.02,-121,-114,-214,-297.16,470.12,-119.6
Sandra,tricep,0,0.6367971897125244,0.46,-0.98,-0.01,-547,-208,-861,-299.92,463.68,-118.68
Sandra,tricep,0,0.7938840389251709,0.4,-0.99,-0.01,-978,521,1623,-302.68,461.84,-115.92
Sandra,tricep,0,0.9367971420288086,0.33,-1.01,-0.01,-849,1807,8070,-277.84,492.2,-122.36
Sandra,tricep,0,1.0368921756744385,0.25,-1.06,-0.05,-1615,1473,13659,-203.32,553.84,-119.6
Sandra,tricep,0,1.1358799934387207,0.06,-1.11,-0.09,-1138,-1650,15385,-88.32,621.0,-99.36
Sandra,tricep,0,1.2727000713348389,-0.15,-1.09,-0.1,-863,404,13460,37.72,648.6,-84.64
Sandra,tricep,0,1.435948133468628,-0.33,-0.99,-0.1,-537,2543,11132,97.52,648.6,-76.36
Sandra,tricep,0,1.5363531112670898,-0.48,-0.88,-0.14,-363,406,9669,200.56,628.36,-65.32
Sandra,tricep,0,1.636707067489624,-0.59,-0.74,-0.16,-814,-2471,9469,287.04,593.4,-59.8
Sandra,tricep,0,1.7538301944732666,-0.61,-0.58,-0.17,-557,-2451,4890,353.28,543.72,-64.4
Sandra,tricep,0,1.8876311779022217,-0.64,-0.48,-0.12,-59,149,-1291,373.52,529.0,-69.0
Sandra,tricep,0,2.0367841720581055,-0.65,-0.48,-0.14,277,777,-7960,351.44,548.32,-65.32
Sandra,tricep,0,2.1368281841278076,-0.58,-0.58,-0.12,-371,-1993,-13841,263.12,602.6,-65.32
Sandra,tricep,0,2.262916088104248,-0.52,-0.8,-0.2,1018,-2274,-17920,124.2,645.84,-78.2
Sandra,tricep,0,2.3827412128448486,-0.32,-0.99,-0.09,126,859,-16454,-34.04,644.0,-85.56
Sandra,tricep,0,2.5368452072143555,-0.16,-1.06,-0.13,-265,-3546,-14609,-167.44,584.2,-94.76
Sandra,tricep,0,2.636381149291992,0.07,-1.09,-0.03,31,-1831,-10784,-259.44,516.12,-87.4
Sandra,tricep,0,2.7639760971069336,0.21,-1.05,-0.06,-876,-3740,-7445,-309.12,454.48,-69.92
Sandra,tricep,0,2.8826591968536377,0.31,-1.0,-0.03,-673,301,-2101,-332.12,416.76,-56.12
Sandra,tricep,0,3.0366411209106445,0.33,-0.99,-0.03,-131,1191,4738,-325.68,432.4,-61.64
Sandra,tricep,0,3.1427462100982666,0.3,-1.03,-0.06,-45,2828,11374,-307.28,457.24,-66.24
Sandra,tricep,0,3.256399154663086,0.23,-1.1,-0.07,1298,1084,15946,-239.2,533.6,-82.8
Sandra,tricep,0,3.3765180110931396,0.09,-1.14,-0.08,1745,2969,16753,-121.44,612.72,-94.76
Sandra,tricep,0,3.5363330841064453,-0.11,-1.07,-0.07,1205,3473,14281,23.0,645.84,-105.8
Sandra,tricep,0,3.6354541778564453,-0.33,-0.97,-0.09,200,2198,12405,148.12,640.32,-101.2
Sandra,tricep,0,3.765231132507324,-0.49,-0.84,-0.11,-1054,1857,10705,256.68,606.28,-95.68
Sandra,tricep,0,3.8813860416412354,-0.57,-0.68,-0.12,-1340,-433,5945,333.96,563.96,-75.44
Sandra,tricep,0,4.036480188369751,-0.57,-0.56,-0.14,-307,-828,-578,358.8,539.12,-70.84
Sandra,tricep,0,4.145226001739502,-0.59,-0.52,-0.16,-160,-119,-4520,343.16,553.84,-73.6
Sandra,tricep,0,4.257745027542114,-0.53,-0.57,-0.16,-284,2302,-10236,277.84,595.24,-76.36
Sandra,tricep,0,4.375209093093872,-0.5,-0.66,-0.2,-662,-3554,-13737,166.52,639.4,-82.8
Sandra,tricep,0,4.5365800857543945,-0.26,-0.9,-0.04,478,2086,-17024,30.36,648.6,-84.64
Sandra,tricep,0,4.642871141433716,-0.07,-1.06,-0.11,1072,-3729,-19982,-136.16,598.92,-96.6
Sandra,tricep,0,4.763959169387817,0.1,-1.08,-0.12,567,-2045,-15950,-260.36,506.92,-92.92
Sandra,tricep,0,4.890359163284302,0.29,-1.06,-0.1,633,-2045,-10504,-330.28,415.84,-80.04
Sandra,tricep,0,5.035792112350464,0.4,-0.99,-0.09,219,-2531,-4595,-347.76,380.88,-70.84
Sandra,tricep,0,5.154040098190308,0.45,-0.94,-0.08,-339,472,2276,-361.56,350.52,-59.8
Sandra,tricep,0,5.277743101119995,0.44,-0.94,-0.07,-755,2452,8852,-350.52,379.04,-64.4
Sandra,tricep,0,5.436144113540649,0.44,-1.01,-0.03,-162,3195,13956,-305.44,452.64,-80.96
Sandra,tricep,0,5.535699129104614,0.28,-1.09,-0.07,240,763,17368,-218.04,547.4,-92.0
Sandra,tricep,0,5.636530160903931,0.1,-1.12,-0.09,612,3617,18034,-81.88,621.92,-92.0
Sandra,tricep,0,5.7702600955963135,-0.15,-1.06,-0.11,486,2056,16795,75.44,646.76,-92.0
Sandra,tricep,0,5.936610221862793,-0.38,-0.95,-0.12,44,1619,12287,214.36,624.68,-83.72
Sandra,tricep,0,6.036267995834351,-0.51,-0.77,-0.13,-394,1948,8529,306.36,583.28,-68.08
