User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Sandra,shoulder,0,0.00019311904907226562,-0.23,0.94,-0.02,-103,326,119,236.44,-305.44,-236.44
Sandra,shoulder,0,0.21268415451049805,-0.22,0.94,-0.01,-46,-148,39,236.44,-306.36,-235.52
Sandra,shoulder,0,0.3575000762939453,-0.22,0.94,-0.02,81,87,24,234.6,-306.36,-237.36
Sandra,shoulder,0,0.48149919509887695,-0.24,0.95,-0.01,-203,-338,78,234.6,-306.36,-234.6
Sandra,shoulder,0,0.6371591091156006,-0.3,1.03,-0.01,311,-370,10,237.36,-305.44,-238.28
Sandra,shoulder,0,0.7362442016601562,-0.29,1.04,-0.03,1737,696,637,231.84,-310.96,-229.08
Sandra,shoulder,0,0.8500590324401855,-0.29,1.07,-0.05,120,-1878,1892,227.24,-315.56,-223.56
Sandra,shoulder,0,0.9741590023040771,-0.2,1.05,-0.04,1621,816,7035,196.88,-327.52,-225.4
Sandra,shoulder,0,1.1371681690216064,-0.06,0.94,-0.1,1888,-321,10660,131.56,-352.36,-215.28
Sandra,shoulder,0,1.2367141246795654,0.07,0.89,-0.07,-871,-4168,9301,25.76,-357.88,-207.0
Sandra,shoulder,0,1.3361241817474365,0.21,0.81,-0.11,-668,-238,4426,-56.12,-345.0,-213.44
Sandra,shoulder,0,1.490220069885254,0.24,0.81,-0.1,1522,1194,-5256,-57.96,-341.32,-216.2
Sandra,shoulder,0,1.636324167251587,0.21,0.84,-0.07,2099,1338,-8156,5.52,-357.88,-202.4
Sandra,shoulder,0,1.7361791133880615,0.09,0.81,-0.12,648,-1923,-8358,89.24,-365.24,-189.52
Sandra,shoulder,0,1.8358521461486816,0.01,0.9,-0.1,-1802,851,-4907,149.96,-351.44,-198.72
Sandra,shoulder,0,1.971670150756836,-0.06,0.96,-0.1,-2366,1779,-3859,189.52,-332.12,-214.36
Sandra,shoulder,0,2.1370952129364014,-0.13,0.99,-0.07,-2860,62,-1704,218.96,-315.56,-226.32
Sandra,shoulder,0,2.2368221282958984,-0.21,1.02,-0.04,-2013,776,-740,231.84,-301.76,-243.8
Sandra,shoulder,0,2.351469039916992,-0.3,1.13,0.01,-892,-209,-1453,241.96,-292.56,-249.32
Sandra,shoulder,0,2.470168113708496,-0.32,1.16,-0.0,2072,-1550,-1424,244.72,-291.64,-254.84
Sandra,shoulder,0,2.6369922161102295,-0.35,1.11,0.01,2707,-2732,1445,243.8,-295.32,-251.16
Sandra,shoulder,0,2.735941171646118,-0.25,1.02,0.04,1696,995,5764,210.68,-316.48,-237.36
Sandra,shoulder,0,2.852591037750244,-0.14,0.89,-0.0,1148,-581,10379,151.8,-341.32,-227.24
Sandra,shoulder,0,2.9677040576934814,-0.0,0.79,-0.0,278,-2804,8293,51.52,-354.2,-226.32
Sandra,shoulder,0,3.0876312255859375,0.07,0.76,-0.03,672,-303,1700,-15.64,-347.76,-227.24
Sandra,shoulder,0,3.236147165298462,0.11,0.78,-0.06,2001,796,-4998,-3.68,-352.36,-220.8
Sandra,shoulder,0,3.3369760513305664,0.1,0.79,-0.07,1031,1526,-6748,54.28,-365.24,-203.32
Sandra,shoulder,0,3.455061197280884,0.03,0.86,-0.07,-1303,-1239,-5505,117.76,-353.28,-207.0
Sandra,shoulder,0,3.5765140056610107,-0.04,0.92,-0.09,-1844,-877,-3050,162.84,-341.32,-215.28
Sandra,shoulder,0,3.736492156982422,-0.11,0.95,-0.07,-3166,3198,-919,184.92,-321.08,-235.52
Sandra,shoulder,0,3.841217041015625,-0.1,1.04,0.02,-4136,3931,1947,199.64,-310.96,-248.4
Sandra,shoulder,0,3.976647138595581,-0.17,1.2,0.04,-3232,-394,-359,194.12,-294.4,-277.84
Sandra,shoulder,0,4.13701319694519,-0.29,1.23,0.1,367,-2041,-3625,212.52,-284.28,-283.36
Sandra,shoulder,0,4.236874103546143,-0.26,1.18,0.12,4328,1451,-1867,217.12,-283.36,-278.76
Sandra,shoulder,0,4.343773126602173,-0.25,1.08,0.07,2006,-698,2305,227.24,-299.92,-254.84
Sandra,shoulder,0,4.466493129730225,-0.18,0.99,0.05,1480,-1015,7663,201.48,-319.24,-234.6
Sandra,shoulder,0,4.589017152786255,-0.03,0.88,-0.0,-751,-3482,11453,116.84,-347.76,-226.32
Sandra,shoulder,0,4.737130165100098,0.08,0.81,0.04,-1080,-1026,9057,13.8,-347.76,-231.84
Sandra,shoulder,0,4.855280160903931,0.17,0.79,-0.04,2201,2447,-2147,-43.24,-343.16,-230.92
Sandra,shoulder,0,4.970111131668091,0.17,0.79,-0.04,3086,279,-6483,0.0,-354.2,-210.68
Sandra,shoulder,0,5.13716721534729,0.17,0.79,-0.06,2809,1294,-6956,65.32,-367.08,-185.84
Sandra,shoulder,0,5.237144231796265,0.14,0.84,-0.21,404,3439,-5496,126.04,-360.64,-175.72
Sandra,shoulder,0,5.337274074554443,0.03,0.91,-0.16,-2101,431,-1424,162.84,-351.44,-178.48
Sandra,shoulder,0,5.474024057388306,0.0,0.97,-0.12,-3641,2414,-540,178.48,-336.72,-195.96
Sandra,shoulder,0,5.637054204940796,-0.09,1.15,-0.12,-3162,344,111,184.92,-322.0,-222.64
Sandra,shoulder,0,5.73704719543457,-0.16,1.21,-0.1,-116,-1833,-3500,197.8,-313.72,-232.76
Sandra,shoulder,0,5.835851192474365,-0.24,1.24,-0.04,1548,-3047,-5114,210.68,-309.12,-231.84
Sandra,shoulder,0,5.981176137924194,-0.22,1.16,-0.02,3258,-328,-1087,240.12,-299.92,-225.4
Sandra,shoulder,0,6.136329174041748,-0.19,1.0,-0.03,1722,-566,4816,231.84,-314.64,-207.92
Sandra,shoulder,0,6.236295223236084,-0.08,0.9,-0.06,-515,-1672,10102,177.56,-341.32,-198.72
Sandra,shoulder,0,6.347682237625122,-0.01,0.78,-0.04,1213,-5178,8721,76.36,-359.72,-207.92
Sandra,shoulder,0,6.466429233551025,0.01,0.71,-0.08,2215,-2189,-2105,5.52,-364.32,-195.96
Sandra,shoulder,0,6.612597227096558,0.04,0.72,-0.12,2403,4894,-8121,47.84,-368.0,-176.64
Sandra,shoulder,0,6.735798120498657,-0.04,0.82,-0.1,-976,3758,-6710,135.24,-364.32,-159.16
Sandra,shoulder,0,6.845164060592651,-0.08,0.86,-0.15,-1841,831,-3300,199.64,-346.84,-155.48
Sandra,shoulder,0,6.962690114974976,-0.12,0.99,-0.13,-3368,-131,-501,218.96,-333.96,-172.04
Sandra,shoulder,0,7.102585077285767,-0.21,1.08,-0.11,-4119,687,-161,230.0,-322.0,-199.64
Sandra,shoulder,0,7.250107049942017,-0.39,1.23,-0.11,-2573,-1654,-1727,236.44,-303.6,-221.72
Sandra,shoulder,0,7.336092233657837,-0.35,1.16,-0.09,2366,-1834,-602,242.88,-302.68,-225.4
Sandra,shoulder,0,7.473913192749023,-0.32,1.09,-0.11,849,-1306,1409,234.6,-313.72,-215.28
Sandra,shoulder,0,7.636988162994385,-0.22,1.01,-0.05,422,2562,4895,209.76,-331.2,-205.16
Sandra,shoulder,0,7.7360382080078125,-0.11,0.96,-0.05,893,247,8815,152.72,-350.52,-198.72
Sandra,shoulder,0,7.885257005691528,0.04,0.88,-0.07,-212,-2834,10384,102.12,-356.96,-200.56
Sandra,shoulder,0,8.03706407546997,0.08,0.79,-0.04,368,-1679,5588,5.52,-363.4,-198.72
