User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Roy,shoulder,0,0.00027298927307128906,-0.29,0.91,-0.33,820,2990,1272,347.76,-190.44,132.48
Roy,shoulder,0,0.2693490982055664,-0.19,0.88,-0.36,173,662,423,333.04,-187.68,154.56
Roy,shoulder,0,0.36784791946411133,-0.17,0.88,-0.37,-458,-60,181,330.28,-189.52,155.48
Roy,shoulder,0,0.49666500091552734,-0.16,0.88,-0.36,-473,188,1,331.2,-193.2,147.2
Roy,shoulder,0,0.6394851207733154,-0.16,0.87,-0.34,-104,243,-22,331.2,-195.04,149.04
Roy,shoulder,0,0.739408016204834,-0.16,0.87,-0.34,-108,-204,190,331.2,-192.28,148.12
Roy,shoulder,0,0.8789191246032715,-0.15,0.87,-0.33,-125,294,490,328.44,-197.8,149.04
Roy,shoulder,0,1.0395100116729736,-0.15,0.89,-0.34,46,215,730,323.84,-199.64,151.8
Roy,shoulder,0,1.1389780044555664,-0.14,0.89,-0.34,-99,-294,16,321.08,-199.64,148.12
Roy,shoulder,0,1.2384989261627197,-0.14,0.88,-0.33,-157,-30,-187,328.44,-200.56,149.04
Roy,shoulder,0,1.3503329753875732,-0.14,0.88,-0.34,197,-130,193,328.44,-198.72,149.96
Roy,shoulder,0,1.4639489650726318,-0.15,0.88,-0.35,-196,-188,61,325.68,-199.64,149.04
Roy,shoulder,0,1.5866379737854004,-0.15,0.88,-0.34,-31,-393,-52,328.44,-198.72,148.12
Roy,shoulder,0,1.7389519214630127,-0.15,0.88,-0.33,27,-183,34,333.04,-197.8,145.36
Roy,shoulder,0,1.8388071060180664,-0.15,0.88,-0.33,-128,20,50,330.28,-197.8,148.12
Roy,shoulder,0,1.9578440189361572,-0.15,0.87,-0.33,-341,-101,337,330.28,-199.64,142.6
Roy,shoulder,0,2.075356960296631,-0.19,0.94,-0.4,-77,-4255,237,333.04,-204.24,134.32
Roy,shoulder,0,2.2385640144348145,-0.31,1.1,-0.41,1731,-11275,-3459,376.28,-192.28,86.48
Roy,shoulder,0,2.3629369735717773,-0.33,1.03,-0.35,1425,-6702,-2332,417.68,-168.36,40.48
Roy,shoulder,0,2.450342893600464,-0.31,0.98,-0.27,2001,-2747,10,423.2,-166.52,23.92
Roy,shoulder,0,2.5742430686950684,-0.3,0.93,-0.24,2446,-5925,2586,429.64,-169.28,7.36
Roy,shoulder,0,2.739496946334839,-0.28,0.72,-0.2,2088,-3758,5821,414.0,-197.8,-21.16
Roy,shoulder,0,2.8393890857696533,-0.32,0.58,-0.15,-2466,1100,3156,386.4,-238.28,-34.96
Roy,shoulder,0,2.9389641284942627,-0.34,0.59,-0.15,-692,1537,-1025,371.68,-253.92,-35.88
Roy,shoulder,0,3.0579349994659424,-0.3,0.58,-0.15,306,-1840,-4914,389.16,-239.2,-37.72
Roy,shoulder,0,3.1976420879364014,-0.3,0.6,-0.15,-14,-745,-6746,426.88,-186.76,-44.16
Roy,shoulder,0,3.339327096939087,-0.37,0.69,-0.18,-873,5069,-4633,455.4,-128.8,-24.84
Roy,shoulder,0,3.4450130462646484,-0.41,0.78,-0.24,-1603,4366,-174,461.84,-101.2,15.64
Roy,shoulder,0,3.5664310455322266,-0.56,0.87,-0.28,-4040,7064,4982,441.6,-121.44,46.92
Roy,shoulder,0,3.686177968978882,-0.54,1.0,-0.35,-3067,8934,5607,387.32,-178.48,87.4
Roy,shoulder,0,3.8384580612182617,-0.37,0.99,-0.35,548,782,948,362.48,-197.8,103.96
Roy,shoulder,0,3.9389328956604004,-0.29,0.91,-0.31,328,-1058,-796,362.48,-196.88,100.28
Roy,shoulder,0,4.055140972137451,-0.26,0.89,-0.3,-516,136,187,369.84,-189.52,98.44
Roy,shoulder,0,4.195317029953003,-0.29,0.92,-0.33,-787,-1745,87,365.24,-195.96,94.76
Roy,shoulder,0,4.33919095993042,-0.39,1.05,-0.34,-1524,-4408,-2318,380.88,-195.04,75.44
Roy,shoulder,0,4.439204931259155,-0.39,1.05,-0.29,-361,-1845,-2743,405.72,-184.0,46.0
Roy,shoulder,0,4.548919916152954,-0.32,0.98,-0.25,365,-1214,-1308,417.68,-167.44,38.64
Roy,shoulder,0,4.697664022445679,-0.33,0.97,-0.23,624,-3116,-77,422.28,-162.84,27.6
Roy,shoulder,0,4.839144945144653,-0.32,0.86,-0.2,2092,-5585,3609,422.28,-179.4,-1.84
Roy,shoulder,0,4.939327001571655,-0.34,0.71,-0.15,1743,-3671,5164,400.2,-217.12,-24.84
Roy,shoulder,0,5.050183057785034,-0.32,0.65,-0.13,-1768,2751,3675,368.92,-252.08,-31.28
Roy,shoulder,0,5.194001913070679,-0.33,0.71,-0.13,371,25,-1041,365.24,-254.84,-30.36
Roy,shoulder,0,5.338022947311401,-0.28,0.68,-0.14,1930,-1549,-2571,368.92,-247.48,-27.6
Roy,shoulder,0,5.439321041107178,-0.25,0.66,-0.13,559,640,-5972,394.68,-221.72,-21.16
Roy,shoulder,0,5.570326089859009,-0.29,0.69,-0.17,-1169,3376,-5491,431.48,-172.96,-6.44
Roy,shoulder,0,5.7392590045928955,-0.33,0.75,-0.22,-1554,3658,-2665,449.88,-128.8,19.32
Roy,shoulder,0,5.8385889530181885,-0.42,0.85,-0.21,-3394,4053,3191,447.12,-118.68,36.8
Roy,shoulder,0,5.9389050006866455,-0.54,1.02,-0.26,-2968,9950,7492,407.56,-164.68,65.32
Roy,shoulder,0,6.047432899475098,-0.35,1.08,-0.36,-917,5794,4852,336.72,-217.12,109.48
Roy,shoulder,0,6.165308952331543,-0.24,1.0,-0.3,563,-1118,-333,320.16,-226.32,115.92
Roy,shoulder,0,6.281627893447876,-0.19,0.95,-0.28,-272,251,130,325.68,-228.16,115.92
Roy,shoulder,0,6.438194990158081,-0.16,0.94,-0.27,166,578,378,320.16,-224.48,118.68
Roy,shoulder,0,6.5478479862213135,-0.15,0.93,-0.27,29,-259,15,322.0,-226.32,118.68
Roy,shoulder,0,6.668996095657349,-0.14,0.91,-0.25,-138,6,-82,324.76,-225.4,118.68
Roy,shoulder,0,6.8392040729522705,-0.14,0.91,-0.26,-14,163,166,324.76,-225.4,115.92
Roy,shoulder,0,6.939071893692017,-0.14,0.91,-0.26,166,7,127,322.92,-225.4,119.6
Roy,shoulder,0,7.038779973983765,-0.13,0.91,-0.26,-77,366,357,323.84,-224.48,118.68
Roy,shoulder,0,7.138447046279907,-0.13,0.92,-0.27,-22,-54,143,319.24,-223.56,122.36
Roy,shoulder,0,7.257745027542114,-0.13,0.92,-0.27,-213,-17,-72,320.16,-226.32,118.68
Roy,shoulder,0,7.377655982971191,-0.13,0.92,-0.26,-53,-86,66,323.84,-227.24,119.6
Roy,shoulder,0,7.5386269092559814,-0.13,0.92,-0.27,57,-230,104,322.92,-225.4,116.84
Roy,shoulder,0,7.6385369300842285,-0.13,0.91,-0.26,-14,-135,153,321.08,-226.32,118.68
Roy,shoulder,0,7.738692045211792,-0.13,0.91,-0.26,-13,-169,171,322.0,-226.32,116.84
