User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Dan,bicep curls,0,0.00017881393432617188,0.24,-1.03,0.17,-222,2410,1006,30.36,482.08,56.12
Dan,bicep curls,0,0.21475982666015625,0.24,-1.04,0.17,-17,306,246,34.04,483.0,54.28
Dan,bicep curls,0,0.33109188079833984,0.24,-1.04,0.17,93,-796,76,35.88,483.92,56.12
Dan,bicep curls,0,0.46849679946899414,0.25,-1.05,0.19,624,-2857,-96,39.56,481.16,52.44
Dan,bicep curls,0,0.6278719902038574,0.21,-1.05,0.18,771,-1247,26,49.68,480.24,50.6
Dan,bicep curls,0,0.7278239727020264,0.24,-1.04,0.18,-134,-4145,-408,57.04,480.24,47.84
Dan,bicep curls,0,0.8270359039306641,0.18,-1.03,0.18,305,-879,222,61.64,482.08,43.24
Dan,bicep curls,0,0.9458138942718506,0.23,-1.06,0.18,3,1392,134,66.24,483.0,41.4
Dan,bicep curls,0,1.0631048679351807,0.18,-1.04,0.14,-111,2994,-675,52.44,485.76,45.08
Dan,bicep curls,0,1.2275660037994385,0.2,-1.06,0.14,-149,-133,341,50.6,486.68,44.16
Dan,bicep curls,0,1.3276989459991455,0.25,-1.05,0.19,177,-539,269,48.76,487.6,44.16
Dan,bicep curls,0,1.4276249408721924,0.22,-1.03,0.22,-873,1204,-164,48.76,487.6,44.16
Dan,bicep curls,0,1.5310139656066895,0.23,-1.04,0.16,127,-801,849,46.92,486.68,48.76
Dan,bicep curls,0,1.6434738636016846,0.26,-1.04,0.17,-1038,-2379,-2013,41.4,488.52,54.28
Dan,bicep curls,0,1.7560968399047852,0.43,-1.04,0.12,-1168,-2629,-6408,20.24,484.84,58.88
Dan,bicep curls,0,1.8971569538116455,0.58,-1.05,0.09,-3959,-13961,-13464,0.92,481.16,64.4
Dan,bicep curls,0,2.027758836746216,0.7,-1.1,-0.13,-13129,-21439,-15592,-26.68,443.44,104.88
Dan,bicep curls,0,2.1610748767852783,0.68,-0.86,-0.34,-20981,-15938,-11295,-9.2,348.68,184.92
Dan,bicep curls,0,2.3277130126953125,0.6,-0.58,-0.6,-24404,-10750,-6809,69.0,198.72,225.4
Dan,bicep curls,0,2.427703857421875,0.38,-0.15,-0.52,-24322,-2623,-3938,140.76,29.44,194.12
Dan,bicep curls,0,2.527740001678467,0.3,0.23,-0.28,-7284,-3021,-1764,160.08,-92.0,129.72
