User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Morgan,tricep,0,0.00012302398681640625,-0.46,0.82,-0.15,-154,-17,133,438.84,-194.12,-117.76
Morgan,tricep,0,0.23281598091125488,-0.45,0.82,-0.15,81,87,-27,437.92,-191.36,-118.68
Morgan,tricep,0,0.34703707695007324,-0.45,0.82,-0.15,-56,325,3,440.68,-193.2,-117.76
Morgan,tricep,0,0.4707050323486328,-0.45,0.82,-0.15,-67,-82,32,441.6,-192.28,-115.0
Morgan,tricep,0,0.6194210052490234,-0.44,0.83,-0.15,99,-244,310,438.84,-194.12,-115.92
Morgan,tricep,0,0.7531380653381348,-0.45,0.84,-0.14,124,-619,747,437.92,-192.28,-116.84
Morgan,tricep,0,0.8392159938812256,-0.44,0.84,-0.15,-59,-242,1000,433.32,-199.64,-121.44
Morgan,tricep,0,0.974135160446167,-0.35,0.86,-0.15,-278,1383,3637,424.12,-211.6,-119.6
Morgan,tricep,0,1.1199791431427002,-0.25,0.94,-0.14,-458,2440,9212,388.24,-253.92,-108.56
Morgan,tricep,0,1.2255711555480957,-0.09,1.0,-0.15,-1692,1216,14476,298.08,-316.48,-109.48
Morgan,tricep,0,1.3817591667175293,0.06,1.0,-0.14,-1552,1242,18603,151.8,-368.92,-117.76
Morgan,tricep,0,1.5199120044708252,0.26,1.03,-0.1,-770,1788,18400,-19.32,-365.24,-128.8
Morgan,tricep,0,1.6208140850067139,0.43,0.86,-0.09,-296,714,15052,-162.84,-310.96,-135.24
Morgan,tricep,0,1.7197411060333252,0.6,0.7,-0.08,-416,2142,7443,-209.76,-276.0,-143.52
Morgan,tricep,0,1.8517169952392578,0.6,0.63,-0.09,-124,-1619,-8720,-245.64,-245.64,-150.88
Morgan,tricep,0,2.0228099822998047,0.59,0.74,-0.12,1425,-2983,-17579,-165.6,-307.28,-142.6
Morgan,tricep,0,2.1202759742736816,0.5,0.88,-0.14,1879,-4493,-19252,-6.44,-368.0,-122.36
Morgan,tricep,0,2.229238986968994,0.37,1.01,-0.17,2136,-1333,-17376,162.84,-368.0,-105.8
Morgan,tricep,0,2.3603830337524414,0.15,1.05,-0.18,2199,-985,-14298,307.28,-315.56,-89.24
Morgan,tricep,0,2.5207390785217285,-0.03,0.94,-0.23,2981,-638,-9609,405.72,-237.36,-77.28
Morgan,tricep,0,2.6504690647125244,-0.12,0.87,-0.21,103,102,-2301,450.8,-181.24,-64.4
Morgan,tricep,0,2.733164072036743,-0.15,0.85,-0.18,-1183,1423,6280,447.12,-187.68,-58.88
Morgan,tricep,0,2.8530051708221436,-0.04,0.92,-0.22,-3789,1298,16743,377.2,-260.36,-55.2
Morgan,tricep,0,2.987884998321533,0.06,1.12,-0.22,-4308,-109,21660,223.56,-357.88,-87.4
Morgan,tricep,0,3.120414972305298,0.26,1.1,-0.21,-2603,2112,20652,26.68,-373.52,-116.84
Morgan,tricep,0,3.2855069637298584,0.38,0.93,-0.17,-1720,2069,13966,-129.72,-325.68,-138.92
Morgan,tricep,0,3.4200401306152344,0.48,0.76,-0.14,-591,1473,4212,-195.04,-284.28,-151.8
Morgan,tricep,0,3.519819974899292,0.56,0.7,-0.13,1980,-1197,-7260,-180.32,-296.24,-146.28
Morgan,tricep,0,3.620694160461426,0.54,0.81,-0.13,3992,-207,-17309,-57.96,-356.96,-117.76
Morgan,tricep,0,3.7330429553985596,0.54,0.89,-0.17,3921,-2178,-18764,116.84,-378.12,-81.88
Morgan,tricep,0,3.8655741214752197,0.38,1.01,-0.18,1443,-2069,-15756,196.88,-359.72,-77.28
Morgan,tricep,0,4.020763158798218,0.18,1.0,-0.18,2438,-1907,-11361,323.84,-299.92,-74.52
Morgan,tricep,0,4.120013952255249,0.08,0.91,-0.18,1446,-3202,-2466,398.36,-239.2,-70.84
Morgan,tricep,0,4.251661062240601,0.04,0.93,-0.2,-1421,-1263,8938,401.12,-239.2,-85.56
Morgan,tricep,0,4.367031097412109,0.12,1.02,-0.18,-2612,2329,19230,311.88,-308.2,-97.52
Morgan,tricep,0,4.519833087921143,0.2,1.13,-0.21,-2946,221,22925,135.24,-371.68,-114.08
Morgan,tricep,0,4.621775150299072,0.36,1.03,-0.17,-1766,2352,17977,-63.48,-351.44,-138.0
Morgan,tricep,0,4.7457499504089355,0.48,0.81,-0.14,-1432,-78,11952,-196.88,-284.28,-155.48
Morgan,tricep,0,4.866842985153198,0.51,0.64,-0.11,-152,1506,-1271,-248.4,-241.96,-167.44
Morgan,tricep,0,5.020758152008057,0.54,0.66,-0.08,1330,1526,-11478,-201.48,-276.0,-166.52
Morgan,tricep,0,5.125450134277344,0.54,0.83,-0.11,2766,-1749,-17413,-80.96,-343.16,-155.48
Morgan,tricep,0,5.251964092254639,0.5,0.97,-0.13,2437,-3123,-19371,90.16,-373.52,-126.96
Morgan,tricep,0,5.376774072647095,0.29,1.05,-0.15,2257,-3875,-16852,250.24,-338.56,-115.92
Morgan,tricep,0,5.519871950149536,0.08,1.03,-0.15,2391,-1491,-11755,366.16,-269.56,-111.32
Morgan,tricep,0,5.623126983642578,-0.03,0.93,-0.17,2799,59,-4657,415.84,-216.2,-95.68
Morgan,tricep,0,5.757951021194458,-0.08,0.88,-0.16,-592,-1145,5062,410.32,-218.96,-92.92
Morgan,tricep,0,5.9207141399383545,-0.05,0.94,-0.19,-1980,2096,15597,334.88,-291.64,-96.6
Morgan,tricep,0,6.020708084106445,0.08,1.08,-0.22,-3067,2126,22538,262.2,-337.64,-104.88
Morgan,tricep,0,6.137945175170898,0.29,1.12,-0.21,-2799,3102,21079,57.04,-376.28,-129.72
Morgan,tricep,0,6.254201173782349,0.46,0.96,-0.13,-3372,5195,17890,-116.84,-325.68,-161.0
Morgan,tricep,0,6.4198009967803955,0.44,0.76,-0.08,-1113,1184,4925,-230.0,-242.88,-195.04
Morgan,tricep,0,6.519742012023926,0.47,0.63,-0.06,1746,1654,-6500,-229.08,-234.6,-207.92
Morgan,tricep,0,6.636744976043701,0.57,0.74,-0.06,5786,-634,-16396,-155.48,-298.08,-196.88
Morgan,tricep,0,6.759123086929321,0.57,0.92,-0.06,6203,-4697,-20343,-5.52,-368.0,-138.92
Morgan,tricep,0,6.920609951019287,0.36,1.05,-0.12,4257,-5719,-18698,174.8,-364.32,-95.68
Morgan,tricep,0,7.0204901695251465,0.17,1.03,-0.16,3185,-1799,-13826,320.16,-299.92,-76.36
Morgan,tricep,0,7.152997970581055,0.08,0.94,-0.17,1788,-1057,-4217,397.44,-235.52,-57.04
Morgan,tricep,0,7.263481140136719,0.06,0.9,-0.17,-1483,-981,7885,395.6,-244.72,-66.24
Morgan,tricep,0,7.420680046081543,0.06,0.99,-0.19,-3540,1337,17920,299.92,-318.32,-84.64
Morgan,tricep,0,7.519764184951782,0.19,1.08,-0.22,-4201,1975,22728,119.6,-370.76,-114.08
Morgan,tricep,0,7.63568902015686,0.29,1.05,-0.19,-2968,3345,19309,-75.44,-343.16,-147.2
Morgan,tricep,0,7.782782077789307,0.4,0.84,-0.15,-1704,2521,10160,-191.36,-281.52,-176.64
Morgan,tricep,0,7.920569181442261,0.47,0.7,-0.11,455,399,-2112,-211.6,-264.04,-177.56
Morgan,tricep,0,8.020678997039795,0.55,0.71,-0.13,3093,989,-14140,-186.76,-315.56,-167.44
