User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Morgan,shoulder,0,0.00012302398681640625,0.34,-1.01,-0.05,-214,-24,10,129.72,654.12,57.96
Morgan,shoulder,0,0.19133305549621582,0.34,-1.02,-0.06,-203,-62,308,129.72,650.44,63.48
Morgan,shoulder,0,0.327390193939209,0.34,-1.01,-0.07,-181,-268,-17,131.56,645.84,61.64
Morgan,shoulder,0,0.4339311122894287,0.34,-1.01,-0.07,-77,-120,29,136.16,648.6,66.24
Morgan,shoulder,0,0.6362919807434082,0.34,-1.02,-0.07,-102,-55,-45,130.64,649.52,63.48
Morgan,shoulder,0,0.7265989780426025,0.34,-1.05,-0.06,103,-496,66,127.88,648.6,65.32
Morgan,shoulder,0,0.8264901638031006,0.35,-1.06,-0.05,1569,-291,38,133.4,648.6,58.88
Morgan,shoulder,0,0.926915168762207,0.37,-1.08,-0.03,1977,-167,-344,130.64,654.12,44.16
Morgan,shoulder,0,1.0376341342926025,0.4,-1.1,-0.01,2313,284,-343,125.12,658.72,34.96
Morgan,shoulder,0,1.1588540077209473,0.37,-1.11,0.02,1588,-1054,-763,120.52,665.16,14.72
Morgan,shoulder,0,1.2961711883544922,0.35,-1.08,0.03,1801,-505,-714,116.84,674.36,2.76
Morgan,shoulder,0,1.4275331497192383,0.34,-1.09,0.05,1118,-505,689,115.0,677.12,-11.04
Morgan,shoulder,0,1.526846170425415,0.36,-1.07,0.05,-1133,-1929,1016,122.36,679.88,-12.88
Morgan,shoulder,0,1.6450819969177246,0.29,-1.06,-0.01,-2703,-89,3292,141.68,675.28,7.36
Morgan,shoulder,0,1.7689001560211182,0.22,-0.99,0.03,-1152,-2226,4706,178.48,665.16,21.16
Morgan,shoulder,0,1.9576551914215088,0.17,-0.95,0.05,-2439,-1304,3856,227.24,649.52,39.56
Morgan,shoulder,0,2.0268051624298096,0.05,-0.91,0.03,-2440,-1459,3555,269.56,631.12,63.48
Morgan,shoulder,0,2.140000104904175,0.16,-0.89,0.01,2210,1262,-3340,275.08,624.68,63.48
Morgan,shoulder,0,2.2612781524658203,0.11,-0.95,-0.0,2301,1432,-3259,241.04,644.0,47.84
Morgan,shoulder,0,2.3988351821899414,0.19,-0.96,0.05,2569,338,-3427,213.44,666.08,36.8
Morgan,shoulder,0,2.5486600399017334,0.2,-0.95,0.1,1047,1580,-2785,177.56,683.56,16.56
Morgan,shoulder,0,2.6325252056121826,0.26,-0.94,0.1,1252,1452,-2540,155.48,687.24,7.36
Morgan,shoulder,0,2.747392177581787,0.27,-1.0,0.11,1314,3283,-1086,130.64,693.68,-3.68
Morgan,shoulder,0,2.871088981628418,0.28,-1.01,0.16,-755,1301,-1441,117.76,691.84,-4.6
Morgan,shoulder,0,3.026625156402588,0.33,-1.03,0.13,-507,742,-811,103.96,692.76,-0.92
Morgan,shoulder,0,3.12735915184021,0.41,-1.09,0.15,295,1615,1255,99.36,693.68,-6.44
Morgan,shoulder,0,3.230039119720459,0.38,-1.08,0.14,-1314,-306,-302,108.56,688.16,-1.84
Morgan,shoulder,0,3.3574841022491455,0.38,-1.07,0.14,91,-78,553,107.64,682.64,3.68
Morgan,shoulder,0,3.4874510765075684,0.38,-1.04,0.11,13,1233,54,110.4,680.8,3.68
Morgan,shoulder,0,3.627139091491699,0.38,-1.04,0.13,-418,1259,-751,104.88,686.32,4.6
Morgan,shoulder,0,3.72635817527771,0.38,-1.03,0.13,-575,-6,-67,100.28,683.56,8.28
Morgan,shoulder,0,3.850299119949341,0.38,-1.07,0.14,468,962,559,100.28,680.8,6.44
Morgan,shoulder,0,3.937278985977173,0.43,-1.16,0.17,2317,775,-951,99.36,684.48,1.84
Morgan,shoulder,0,4.052765130996704,0.45,-1.2,0.17,2060,-222,-435,87.4,683.56,-19.32
Morgan,shoulder,0,4.176357984542847,0.45,-1.22,0.21,1548,1203,26,81.88,687.24,-34.96
Morgan,shoulder,0,4.326879024505615,0.31,-1.2,0.21,-1988,-3002,1579,89.24,693.68,-34.04
Morgan,shoulder,0,4.466281175613403,0.31,-1.05,0.16,-5492,-2836,4820,126.04,684.48,1.84
Morgan,shoulder,0,4.6273651123046875,0.19,-0.84,0.11,-5351,-2846,6439,158.24,674.36,29.44
Morgan,shoulder,0,4.726958990097046,0.17,-0.74,0.11,-1999,-976,2958,225.4,640.32,64.4
