User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Sophia,bicep curls,0,0.00014090538024902344,-0.24,0.94,0.04,2943,-25467,1142,334.88,-175.72,42.32
Sophia,bicep curls,0,0.26398587226867676,-0.29,0.91,0.26,1915,-14096,-506,339.48,-172.96,-175.72
Sophia,bicep curls,0,0.3822519779205322,-0.29,0.91,0.31,1757,-3225,240,315.56,-176.64,-205.16
Sophia,bicep curls,0,0.5398609638214111,-0.28,0.92,0.33,838,3250,225,315.56,-182.16,-195.04
Sophia,bicep curls,0,0.6398329734802246,-0.22,0.93,0.32,-193,2633,60,320.16,-181.24,-187.68
Sophia,bicep curls,0,0.7609598636627197,-0.2,0.92,0.3,-512,-2216,-558,322.0,-183.08,-183.08
Sophia,bicep curls,0,0.8665649890899658,-0.21,0.92,0.29,-714,-782,-553,320.16,-178.48,-195.04
Sophia,bicep curls,0,1.015333890914917,-0.21,0.94,0.28,370,809,15,325.68,-174.8,-202.4
Sophia,bicep curls,0,1.1398379802703857,-0.23,0.93,0.28,917,-616,19,323.84,-176.64,-197.8
Sophia,bicep curls,0,1.2574560642242432,-0.22,0.93,0.3,439,-691,-54,322.0,-178.48,-195.04
Sophia,bicep curls,0,1.3801500797271729,-0.22,0.93,0.29,-173,-346,-145,322.92,-179.4,-198.72
Sophia,bicep curls,0,1.5390779972076416,-0.21,0.93,0.29,-97,240,156,320.16,-178.48,-198.72
Sophia,bicep curls,0,1.6395080089569092,-0.21,0.93,0.3,-160,323,181,323.84,-176.64,-196.88
Sophia,bicep curls,0,1.7397809028625488,-0.22,0.93,0.3,-83,547,36,324.76,-176.64,-197.8
Sophia,bicep curls,0,1.853760004043579,-0.21,0.92,0.29,-225,156,17,322.92,-177.56,-192.28
Sophia,bicep curls,0,1.9812090396881104,-0.21,0.92,0.3,-268,-307,166,322.92,-176.64,-195.96
Sophia,bicep curls,0,2.139901876449585,-0.21,0.93,0.32,-803,-813,-138,321.08,-173.88,-205.16
Sophia,bicep curls,0,2.2476930618286133,-0.2,0.93,0.3,34,-855,112,318.32,-173.88,-209.76
Sophia,bicep curls,0,2.341322898864746,-0.2,0.93,0.31,539,297,493,313.72,-174.8,-211.6
Sophia,bicep curls,0,2.461364984512329,-0.21,0.93,0.31,635,369,537,314.64,-177.56,-206.08
Sophia,bicep curls,0,2.584892988204956,-0.21,0.93,0.32,123,-475,167,313.72,-179.4,-202.4
Sophia,bicep curls,0,2.7397098541259766,-0.2,0.94,0.31,-239,-156,53,310.04,-179.4,-206.08
Sophia,bicep curls,0,2.8427329063415527,-0.19,0.94,0.31,-235,317,68,314.64,-178.48,-207.0
Sophia,bicep curls,0,2.9398529529571533,-0.2,0.94,0.31,-65,174,177,315.56,-180.32,-206.08
Sophia,bicep curls,0,3.0676400661468506,-0.2,0.93,0.3,-41,187,197,317.4,-180.32,-204.24
Sophia,bicep curls,0,3.1863269805908203,-0.2,0.93,0.3,-181,306,113,314.64,-180.32,-201.48
Sophia,bicep curls,0,3.3397178649902344,-0.21,0.94,0.31,526,1016,-262,316.48,-180.32,-198.72
Sophia,bicep curls,0,3.4414780139923096,-0.21,0.92,0.3,551,2373,-140,323.84,-180.32,-184.92
Sophia,bicep curls,0,3.561171054840088,-0.2,0.93,0.29,-1506,1596,21,330.28,-179.4,-180.32
Sophia,bicep curls,0,3.6750879287719727,-0.19,0.91,0.32,-3486,-1502,-217,333.04,-175.72,-184.0
Sophia,bicep curls,0,3.8390090465545654,-0.23,0.9,0.38,-5619,-1541,-910,329.36,-161.0,-211.6
Sophia,bicep curls,0,3.9414799213409424,-0.29,0.87,0.52,-10335,-2299,-3240,330.28,-134.32,-245.64
Sophia,bicep curls,0,4.057592868804932,-0.36,0.83,0.75,-18936,-3901,-8500,337.64,-49.68,-305.44
Sophia,bicep curls,0,4.206115007400513,-0.38,0.6,0.95,-23410,-1430,-10269,336.72,125.12,-361.56
Sophia,bicep curls,0,4.339781999588013,-0.37,0.26,0.99,-25600,4350,-11101,325.68,348.68,-321.08
Sophia,bicep curls,0,4.4389050006866455,-0.3,-0.09,0.82,-23168,-236,-9571,273.24,516.12,-195.96
Sophia,bicep curls,0,4.575324058532715,-0.22,-0.37,0.55,-15788,2517,-7032,201.48,577.76,-54.28
Sophia,bicep curls,0,4.739701986312866,-0.13,-0.64,0.31,-8971,3528,-5687,141.68,568.56,46.92
Sophia,bicep curls,0,4.8388378620147705,-0.08,-0.84,0.11,-2310,3963,-2860,88.32,548.32,100.28
Sophia,bicep curls,0,4.939197063446045,0.04,-0.9,0.04,2535,2691,1932,58.88,551.08,102.12
Sophia,bicep curls,0,5.075123071670532,0.02,-0.92,0.08,6618,-1838,3623,80.04,560.28,77.28
Sophia,bicep curls,0,5.239572048187256,-0.07,-0.94,0.15,11580,1162,6024,119.6,584.2,3.68
Sophia,bicep curls,0,5.339787006378174,-0.07,-0.85,0.26,16224,3315,9615,186.76,579.6,-93.84
Sophia,bicep curls,0,5.438559055328369,-0.23,-0.66,0.52,20903,347,10276,226.32,556.6,-153.64
Sophia,bicep curls,0,5.572556972503662,-0.34,-0.27,0.66,25685,-1509,12893,301.76,438.84,-282.44
Sophia,bicep curls,0,5.702414035797119,-0.41,0.38,0.86,30143,-2140,11674,331.2,211.6,-365.24
Sophia,bicep curls,0,5.839601039886475,-0.38,0.59,0.71,21993,3841,8163,316.48,-49.68,-326.6
Sophia,bicep curls,0,5.943943977355957,-0.38,0.8,0.63,7714,848,3467,297.16,-168.36,-241.04
Sophia,bicep curls,0,6.064997911453247,-0.33,0.84,0.55,-1221,-85,-479,282.44,-200.56,-208.84
Sophia,bicep curls,0,6.179811954498291,-0.34,0.9,0.6,-18420,-813,-6161,299.0,-166.52,-241.96
Sophia,bicep curls,0,6.3396899700164795,-0.41,0.86,0.82,-25895,-7164,-13430,321.08,-7.36,-337.64
Sophia,bicep curls,0,6.445324897766113,-0.49,0.62,0.99,-27068,-1448,-12497,285.2,253.92,-385.48
Sophia,bicep curls,0,6.562501907348633,-0.32,0.27,0.88,-22306,4902,-10483,259.44,463.68,-291.64
Sophia,bicep curls,0,6.6977698802948,-0.32,-0.12,0.73,-17538,-2785,-9906,183.08,575.92,-162.84
Sophia,bicep curls,0,6.842297077178955,-0.23,-0.45,0.55,-12128,-673,-6407,108.56,602.6,-56.12
Sophia,bicep curls,0,6.957294940948486,-0.11,-0.73,0.35,-9174,-261,-5487,57.04,590.64,23.92
Sophia,bicep curls,0,7.079035043716431,-0.04,-0.87,0.18,-6671,-1095,-5501,12.88,565.8,78.2
Sophia,bicep curls,0,7.23862099647522,0.1,-0.93,0.11,435,3289,-392,-20.24,552.0,92.92
Sophia,bicep curls,0,7.339624881744385,0.13,-0.96,0.07,2258,-868,2600,-18.4,552.92,89.24
Sophia,bicep curls,0,7.438731908798218,0.14,-0.98,0.05,7622,2464,5206,5.52,568.56,66.24
Sophia,bicep curls,0,7.542711019515991,0.06,-0.95,0.18,10521,2196,7756,44.16,595.24,7.36
Sophia,bicep curls,0,7.688804864883423,-0.05,-0.89,0.32,11640,-2194,8373,111.32,600.76,-76.36
Sophia,bicep curls,0,7.839468002319336,-0.21,-0.73,0.58,14851,-1319,8321,181.24,570.4,-171.12
Sophia,bicep curls,0,7.939353942871094,-0.29,-0.5,0.71,16334,5601,9608,254.84,490.36,-269.56
Sophia,bicep curls,0,8.060158014297485,-0.37,-0.23,0.82,15877,1322,10947,327.52,357.88,-324.76
Sophia,bicep curls,0,8.175055980682373,-0.45,0.07,0.9,13718,-3804,7900,333.96,208.84,-364.32
Sophia,bicep curls,0,8.339662075042725,-0.4,0.37,0.89,16879,131,7288,310.96,66.24,-371.68
Sophia,bicep curls,0,8.439555883407593,-0.41,0.63,0.77,14237,14,5957,294.4,-67.16,-327.52
Sophia,bicep curls,0,8.56008791923523,-0.34,0.77,0.65,10772,3186,3960,288.88,-115.92,-299.0
Sophia,bicep curls,0,8.670023918151855,-0.3,0.83,0.55,3271,-1042,400,280.6,-176.64,-243.8
Sophia,bicep curls,0,8.791533946990967,-0.26,0.86,0.48,-4690,2292,-1900,276.0,-184.92,-241.04
Sophia,bicep curls,0,8.939625024795532,-0.29,0.89,0.51,-9516,743,-3778,293.48,-147.2,-269.56
Sophia,bicep curls,0,9.060107946395874,-0.31,0.85,0.58,-13045,595,-5686,315.56,-72.68,-310.04
Sophia,bicep curls,0,9.17651104927063,-0.35,0.75,0.7,-17680,-1748,-8074,333.04,54.28,-348.68
Sophia,bicep curls,0,9.33973503112793,-0.43,0.52,0.9,-19670,-1002,-9588,326.6,228.16,-363.4
Sophia,bicep curls,0,9.438840866088867,-0.42,0.19,0.92,-20588,-141,-9277,294.4,410.32,-310.96
Sophia,bicep curls,0,9.545238971710205,-0.37,-0.14,0.8,-17255,-171,-8018,238.28,535.44,-208.84
Sophia,bicep curls,0,9.703759908676147,-0.3,-0.45,0.67,-14160,-2386,-7128,176.64,590.64,-98.44
Sophia,bicep curls,0,9.83969497680664,-0.2,-0.69,0.47,-11249,-2284,-5724,122.36,596.16,-11.96
Sophia,bicep curls,0,9.939597845077515,-0.11,-0.85,0.28,-8561,-827,-5084,74.52,575.92,57.96
Sophia,bicep curls,0,10.072371006011963,-0.02,-0.91,0.15,-1739,4428,-2241,411.24,0.92,2037.8
Sophia,bicep curls,0,10.239158868789673,0.05,-0.96,0.1,1899,666,2543,27.6,561.2,87.4
