User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Ryan,bicep curls,0,0.00017404556274414062,0.43,-0.91,0.44,-82,176,59,-59.8,431.48,-384.56
Ryan,bicep curls,0,0.2608640193939209,0.44,-0.91,0.44,37,816,167,-56.12,426.88,-384.56
Ryan,bicep curls,0,0.38190793991088867,0.43,-0.91,0.44,-348,573,-160,-54.28,431.48,-384.56
Ryan,bicep curls,0,0.5415749549865723,0.42,-0.91,0.45,-136,-21,-79,-51.52,435.16,-387.32
Ryan,bicep curls,0,0.6416049003601074,0.43,-0.91,0.45,126,210,168,-54.28,434.24,-386.4
Ryan,bicep curls,0,0.7415039539337158,0.43,-0.9,0.44,98,-251,-84,-53.36,431.48,-388.24
Ryan,bicep curls,0,0.8698389530181885,0.42,-0.91,0.44,-222,-67,73,-55.2,428.72,-388.24
Ryan,bicep curls,0,0.9611880779266357,0.43,-0.9,0.45,-352,100,216,-49.68,437.0,-384.56
Ryan,bicep curls,0,1.1233060359954834,0.43,-0.91,0.45,-34,92,-55,-52.44,433.32,-386.4
Ryan,bicep curls,0,1.2408778667449951,0.42,-0.91,0.45,12,-57,17,-53.36,431.48,-384.56
Ryan,bicep curls,0,1.341270923614502,0.43,-0.91,0.52,203,2011,150,-49.68,435.16,-386.4
Ryan,bicep curls,0,1.457273006439209,0.47,-0.87,0.71,7715,6182,-1676,-24.84,414.0,-397.44
Ryan,bicep curls,0,1.576889991760254,0.53,-0.95,1.07,26092,7342,-5255,10.12,289.8,-452.64
Ryan,bicep curls,0,1.7416410446166992,0.48,-0.85,1.3,32672,10860,-4824,96.6,-33.12,-460.92
Ryan,bicep curls,0,1.8417479991912842,0.32,-0.48,0.9,32672,-183,-1331,159.16,-306.36,-269.56
Ryan,bicep curls,0,1.9559149742126465,0.18,-0.05,0.61,18622,5608,-1886,181.24,-350.52,-80.04
Ryan,bicep curls,0,2.0759949684143066,0.16,0.4,0.2,8141,2404,-295,191.36,-324.76,29.44
Ryan,bicep curls,0,2.241459846496582,0.1,0.61,-0.04,-12025,-2818,1480,188.6,-322.92,32.2
Ryan,bicep curls,0,2.3404500484466553,0.12,0.51,0.13,-26279,-2386,2200,177.56,-354.2,-90.16
Ryan,bicep curls,0,2.455997943878174,0.21,0.22,0.48,-30441,-4454,2108,147.2,-287.04,-298.08
Ryan,bicep curls,0,2.5770819187164307,0.29,-0.21,0.77,-31038,-2895,4032,92.0,-75.44,-449.88
Ryan,bicep curls,0,2.6957149505615234,0.36,-0.55,1.11,-19013,2584,42,60.72,201.48,-472.88
