User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Morgan,noise,0,0.00019693374633789062,0.24,0.94,-0.14,-117,94,149,-55.2,-224.48,226.32
Morgan,noise,0,0.34647488594055176,0.24,0.96,-0.14,126,-776,-288,-70.84,-226.32,218.96
Morgan,noise,0,0.4701859951019287,0.23,0.97,-0.14,588,-1424,-522,-57.96,-226.32,223.56
Morgan,noise,0,0.6224899291992188,0.24,0.95,-0.14,1034,408,-563,-53.36,-218.96,226.32
Morgan,noise,0,0.7225179672241211,0.23,0.94,-0.13,723,-14,273,-52.44,-216.2,233.68
Morgan,noise,0,0.8390200138092041,0.21,0.93,-0.12,-173,-198,142,-52.44,-215.28,236.44
Morgan,noise,0,0.9675559997558594,0.2,0.94,-0.13,-448,805,-667,-51.52,-216.2,230.92
Morgan,noise,0,1.1224608421325684,0.21,0.95,-0.14,-400,1974,-540,-54.28,-218.96,229.08
Morgan,noise,0,1.2214548587799072,0.22,0.97,-0.14,-350,1960,-176,-62.56,-225.4,221.72
Morgan,noise,0,1.325103998184204,0.24,0.96,-0.15,6,728,588,-72.68,-224.48,216.2
Morgan,noise,0,1.4377248287200928,0.24,0.95,-0.15,401,34,337,-76.36,-219.88,214.36
Morgan,noise,0,1.5699489116668701,0.23,0.97,-0.15,638,-340,655,-79.12,-215.28,219.88
Morgan,noise,0,1.72198486328125,0.23,0.97,-0.16,635,-387,31,-76.36,-209.76,227.24
Morgan,noise,0,1.8765130043029785,0.24,0.94,-0.16,936,-863,-496,-72.68,-208.84,226.32
Morgan,noise,0,2.022045850753784,0.24,0.93,-0.15,774,581,128,-69.0,-204.24,236.44
Morgan,noise,0,2.1224279403686523,0.24,0.93,-0.16,-218,160,316,-73.6,-202.4,234.6
Morgan,noise,0,2.221879005432129,0.24,0.94,-0.17,-580,-436,-58,-75.44,-207.0,232.76
Morgan,noise,0,2.322274923324585,0.24,0.94,-0.17,-515,-117,225,-72.68,-206.08,231.84
Morgan,noise,0,2.4217488765716553,0.23,0.93,-0.18,-356,-597,299,-68.08,-208.84,230.92
Morgan,noise,0,2.537529945373535,0.23,0.94,-0.17,-17,825,659,-75.44,-207.0,230.92
Morgan,noise,0,2.6613638401031494,0.24,0.96,-0.18,-348,-211,405,-80.96,-209.76,229.08
Morgan,noise,0,2.8219869136810303,0.24,0.94,-0.19,344,-674,118,-78.2,-207.0,225.4
Morgan,noise,0,2.9224720001220703,0.24,0.94,-0.17,1076,1256,1133,-80.04,-202.4,230.92
Morgan,noise,0,3.023922920227051,0.29,0.98,-0.19,427,-353,-194,-91.08,-194.12,228.16
Morgan,noise,0,3.1514840126037598,0.3,0.95,-0.21,421,-3365,554,-79.12,-191.36,241.04
Morgan,noise,0,3.2601099014282227,0.29,0.91,-0.22,1255,-2585,271,-64.4,-185.84,250.24
Morgan,noise,0,3.4224867820739746,0.24,0.93,-0.19,1221,-1318,647,-52.44,-177.56,261.28
Morgan,noise,0,3.5217769145965576,0.21,0.92,-0.2,534,531,405,-46.0,-168.36,269.56
Morgan,noise,0,3.628901958465576,0.21,0.88,-0.23,359,466,61,-51.52,-161.92,269.56
Morgan,noise,0,3.780183792114258,0.24,0.87,-0.26,210,1508,406,-53.36,-164.68,268.64
Morgan,noise,0,3.9221248626708984,0.28,0.88,-0.27,-59,4557,291,-69.0,-159.16,265.88
Morgan,noise,0,4.0215229988098145,0.32,0.9,-0.27,-1890,2529,-1398,-101.2,-164.68,248.4
Morgan,noise,0,4.122467994689941,0.31,0.89,-0.24,-1757,589,-1959,-101.2,-178.48,238.28
Morgan,noise,0,4.24027681350708,0.34,0.89,-0.21,-1118,1848,-985,-97.52,-195.96,225.4
Morgan,noise,0,4.43396782875061,0.33,0.91,-0.2,-442,2448,-121,-103.96,-204.24,214.36
Morgan,noise,0,4.522319793701172,0.35,1.0,-0.17,252,-2320,-204,-113.16,-203.32,211.6
Morgan,noise,0,4.621992826461792,0.26,1.0,-0.15,523,35,380,-103.96,-198.72,222.64
Morgan,noise,0,4.735157012939453,0.28,0.94,-0.18,582,783,-245,-111.32,-193.2,219.88
Morgan,noise,0,4.8801538944244385,0.3,0.87,-0.19,546,-1292,-299,-112.24,-191.36,220.8
Morgan,noise,0,5.050297975540161,0.28,0.89,-0.17,296,-239,247,-110.4,-193.2,230.0
Morgan,noise,0,5.122294902801514,0.28,0.95,-0.17,-589,3025,443,-112.24,-187.68,227.24
Morgan,noise,0,5.228882789611816,0.28,0.92,-0.17,-600,6082,1192,-141.68,-188.6,211.6
Morgan,noise,0,5.352683782577515,0.31,0.91,-0.14,-691,4396,492,-175.72,-187.68,189.52
Morgan,noise,0,5.476398944854736,0.32,0.93,-0.11,-232,4639,284,-200.56,-187.68,164.68
Morgan,noise,0,5.6223719120025635,0.36,0.97,-0.1,92,3186,532,-223.56,-184.0,147.2
Morgan,noise,0,5.72396993637085,0.37,0.99,-0.1,185,1715,433,-233.68,-182.16,135.24
Morgan,noise,0,5.845057964324951,0.38,0.97,-0.1,1576,4339,-572,-243.8,-177.56,125.12
Morgan,noise,0,5.996490955352783,0.4,0.93,-0.05,2342,8847,-32,-255.76,-173.88,112.24
Morgan,noise,0,6.122030973434448,0.45,0.9,-0.02,2054,10242,443,-289.8,-164.68,69.92
Morgan,noise,0,6.232716798782349,0.46,0.9,0.03,737,8846,1239,-314.64,-156.4,19.32
Morgan,noise,0,6.351419925689697,0.46,0.9,0.07,-318,10926,1011,-332.12,-147.2,-45.08
Morgan,noise,0,6.5225138664245605,0.49,0.88,0.1,-570,5086,267,-333.96,-142.6,-113.16
Morgan,noise,0,6.62244987487793,0.45,0.89,0.12,-114,-870,-618,-329.36,-139.84,-128.8
Morgan,noise,0,6.722080945968628,0.48,0.9,0.13,-90,-4418,-930,-330.28,-150.88,-113.16
Morgan,noise,0,6.835200786590576,0.47,0.92,0.13,225,-4642,-1259,-322.92,-159.16,-78.2
Morgan,noise,0,6.985123872756958,0.46,0.92,0.1,438,-3236,-1008,-320.16,-167.44,-51.52
Morgan,noise,0,7.121970891952515,0.43,0.92,0.09,123,-1401,-330,-313.72,-172.96,-36.8
Morgan,noise,0,7.222970008850098,0.44,0.92,0.07,-73,-3525,-289,-312.8,-175.72,-27.6
Morgan,noise,0,7.32145881652832,0.42,0.93,0.06,-153,-4481,-405,-305.44,-179.4,-3.68
Morgan,noise,0,7.445069789886475,0.4,0.93,0.04,-276,-2490,-81,-297.16,-178.48,20.24
Morgan,noise,0,7.61132287979126,0.38,0.94,0.03,-208,-169,-169,-290.72,-181.24,33.12
Morgan,noise,0,7.722339868545532,0.38,0.94,0.01,-195,-4605,-421,-289.8,-186.76,41.4
Morgan,noise,0,7.822227954864502,0.37,0.95,-0.01,124,-1908,-150,-272.32,-188.6,64.4
Morgan,noise,0,7.93759298324585,0.38,0.95,-0.03,328,-2515,-51,-264.04,-190.44,81.88
Morgan,noise,0,8.056505918502808,0.37,0.95,-0.05,434,-1932,399,-259.44,-188.6,93.84
Morgan,noise,0,8.180075883865356,0.36,0.93,-0.06,302,-491,803,-257.6,-185.84,99.36
Morgan,noise,0,8.322205781936646,0.36,0.92,-0.08,165,-609,788,-257.6,-182.16,103.96
Morgan,noise,0,8.423914909362793,0.36,0.93,-0.08,-16,176,559,-262.2,-173.88,104.88
Morgan,noise,0,8.54769492149353,0.36,0.92,-0.09,-439,-1372,117,-261.28,-171.12,103.96
Morgan,noise,0,8.668832778930664,0.37,0.92,-0.09,-403,-453,-188,-259.44,-177.56,111.32
Morgan,noise,0,8.822325944900513,0.37,0.93,-0.09,-390,-117,-115,-254.84,-181.24,113.16
Morgan,noise,0,8.92233681678772,0.38,0.93,-0.08,-289,76,-69,-253.0,-182.16,109.48
Morgan,noise,0,9.057825803756714,0.37,0.93,-0.07,-214,301,278,-251.16,-183.08,107.64
Morgan,noise,0,9.221934795379639,0.37,0.93,-0.07,-204,-458,109,-255.76,-182.16,106.72
Morgan,noise,0,9.322199821472168,0.38,0.94,-0.08,-98,-1764,5,-251.16,-183.08,114.08
Morgan,noise,0,9.421542882919312,0.35,0.93,-0.1,-106,-5278,275,-241.04,-184.0,123.28
Morgan,noise,0,9.560356855392456,0.35,0.94,-0.11,194,-802,285,-225.4,-185.84,148.12
Morgan,noise,0,9.722224950790405,0.34,0.94,-0.11,210,-3105,321,-218.96,-181.24,155.48
Morgan,noise,0,9.82228398323059,0.3,0.92,-0.12,381,-940,35,-207.0,-179.4,174.8
Morgan,noise,0,9.922200918197632,0.35,0.91,-0.14,83,-1423,274,-194.12,-181.24,183.08
Morgan,noise,0,10.047634840011597,0.35,0.91,-0.19,134,-1303,92,-188.6,-176.64,189.52
Morgan,noise,0,10.17893385887146,0.32,0.92,-0.21,-72,-1115,-70,-189.52,-176.64,193.2
Morgan,noise,0,10.322250843048096,0.31,0.92,-0.2,-275,-1249,100,-175.72,-178.48,195.04
Morgan,noise,0,10.421262979507446,0.31,0.91,-0.18,-194,-205,-33,-168.36,-177.56,196.88
Morgan,noise,0,10.522156953811646,0.32,0.92,-0.17,-260,488,-47,-173.88,-179.4,194.12
Morgan,noise,0,10.627655982971191,0.32,0.92,-0.18,-171,140,369,-180.32,-179.4,190.44
Morgan,noise,0,10.7516188621521,0.33,0.93,-0.18,7,563,567,-182.16,-182.16,192.28
Morgan,noise,0,10.890109777450562,0.33,0.92,-0.17,181,204,606,-186.76,-178.48,187.68
Morgan,noise,0,11.022201776504517,0.34,0.93,-0.17,232,2413,739,-195.04,-172.96,184.0
Morgan,noise,0,11.121606826782227,0.34,0.92,-0.15,142,232,674,-207.0,-169.28,178.48
Morgan,noise,0,11.247694969177246,0.35,0.91,-0.15,126,545,259,-209.76,-166.52,177.56
Morgan,noise,0,11.360105991363525,0.36,0.92,-0.15,-54,291,-205,-212.52,-165.6,177.56
Morgan,noise,0,11.522151947021484,0.36,0.92,-0.15,-286,49,-539,-209.76,-168.36,175.72
Morgan,noise,0,11.621416807174683,0.35,0.92,-0.15,-538,-1133,-888,-208.84,-171.12,174.8
Morgan,noise,0,11.729095935821533,0.35,0.92,-0.16,-253,-1884,-817,-195.04,-179.4,181.24
Morgan,noise,0,11.85397481918335,0.33,0.93,-0.16,-77,-487,-610,-182.16,-185.84,187.68
Morgan,noise,0,11.976555824279785,0.32,0.93,-0.16,-294,-1653,-185,-178.48,-188.6,185.84
Morgan,noise,0,12.125081777572632,0.29,0.94,-0.16,-177,-1334,54,-166.52,-191.36,195.04
Morgan,noise,0,12.24635100364685,0.29,0.94,-0.16,130,1147,-158,-170.2,-187.68,194.12
Morgan,noise,0,12.338958978652954,0.27,0.93,-0.15,200,-489,225,-163.76,-192.28,197.8
Morgan,noise,0,12.462763786315918,0.28,0.93,-0.16,360,320,689,-166.52,-187.68,198.72
Morgan,noise,0,12.622164964675903,0.3,0.93,-0.15,295,1337,678,-172.96,-184.0,196.88
Morgan,noise,0,12.736576795578003,0.32,0.93,-0.15,-137,1225,547,-185.84,-182.16,193.2
Morgan,noise,0,12.831453800201416,0.32,0.93,-0.14,-253,88,82,-185.84,-178.48,189.52
Morgan,noise,0,12.955092906951904,0.31,0.93,-0.13,-96,1752,-454,-187.68,-179.4,187.68
Morgan,noise,0,13.078871011734009,0.33,0.93,-0.14,-155,1180,-819,-194.12,-182.16,176.64
Morgan,noise,0,13.22214388847351,0.35,0.93,-0.15,56,-891,-941,-188.6,-188.6,176.64
Morgan,noise,0,13.322090864181519,0.35,0.93,-0.16,64,-571,-648,-177.56,-194.12,177.56
Morgan,noise,0,13.452697992324829,0.31,0.94,-0.15,-123,-1338,-202,-172.96,-197.8,182.16
Morgan,noise,0,13.565197944641113,0.27,0.93,-0.16,-95,-1886,-38,-161.92,-197.8,189.52
Morgan,noise,0,13.722157955169678,0.26,0.94,-0.16,-242,-3567,338,-149.04,-198.72,202.4
Morgan,noise,0,13.82203197479248,0.24,0.94,-0.16,168,-5680,552,-139.84,-199.64,205.16
Morgan,noise,0,13.98527979850769,0.24,0.93,-0.17,192,-2110,1333,-111.32,-197.8,223.56
Morgan,noise,0,14.122009992599487,0.27,0.93,-0.19,28,1842,850,-115.92,-194.12,227.24
Morgan,noise,0,14.221529960632324,0.25,0.93,-0.19,-158,665,151,-121.44,-191.36,222.64
Morgan,noise,0,14.322094917297363,0.24,0.94,-0.19,-15,4310,-196,-133.4,-186.76,219.88
Morgan,noise,0,14.422688007354736,0.28,0.93,-0.18,83,4834,11,-159.16,-187.68,199.64
Morgan,noise,0,14.543957948684692,0.28,0.93,-0.18,-40,3011,292,-177.56,-186.76,183.08
Morgan,noise,0,14.687579870223999,0.31,0.93,-0.15,-113,-223,400,-185.84,-184.0,179.4
Morgan,noise,0,14.822068929672241,0.33,0.93,-0.15,-135,-85,26,-185.84,-184.0,180.32
Morgan,noise,0,14.926409006118774,0.34,0.93,-0.15,-128,-1399,-274,-184.92,-186.76,182.16
Morgan,noise,0,15.047671794891357,0.32,0.93,-0.15,-51,-4550,-534,-172.04,-187.68,190.44
Morgan,noise,0,15.171443939208984,0.28,0.93,-0.16,69,-2748,244,-145.36,-189.52,210.68
Morgan,noise,0,15.322081804275513,0.3,0.93,-0.17,250,3004,395,-142.6,-188.6,211.6
Morgan,noise,0,15.421924829483032,0.31,0.93,-0.17,-21,1329,435,-156.4,-184.92,205.16
Morgan,noise,0,15.533875942230225,0.29,0.92,-0.16,-207,1912,300,-165.6,-181.24,198.72
Morgan,noise,0,15.657634973526001,0.33,0.92,-0.15,-161,4359,-55,-183.08,-186.76,181.24
Morgan,noise,0,15.82154393196106,0.33,0.93,-0.15,-391,-3610,-447,-183.08,-187.68,184.0
Morgan,noise,0,15.943009853363037,0.32,0.94,-0.15,-227,-1878,-213,-164.68,-191.36,195.04
Morgan,noise,0,16.051541805267334,0.33,0.93,-0.16,-244,-3337,-28,-158.24,-192.28,195.04
Morgan,noise,0,16.15035891532898,0.26,0.93,-0.15,199,-1029,184,-140.76,-195.04,208.84
Morgan,noise,0,16.29008388519287,0.29,0.93,-0.16,485,6275,389,-142.6,-189.52,207.0
Morgan,noise,0,16.42145800590515,0.32,0.93,-0.16,266,1939,407,-173.88,-185.84,189.52
Morgan,noise,0,16.52142596244812,0.32,0.93,-0.14,2,2082,193,-184.0,-184.0,184.0
Morgan,noise,0,16.636570930480957,0.33,0.93,-0.14,-153,-217,-46,-195.96,-183.08,174.8
Morgan,noise,0,16.771450996398926,0.32,0.93,-0.14,-369,-3836,-175,-179.4,-186.76,186.76
Morgan,noise,0,16.921514987945557,0.32,0.93,-0.15,-135,638,-40,-170.2,-188.6,189.52
Morgan,noise,0,17.032559871673584,0.32,0.93,-0.15,-102,-228,0,-169.28,-189.52,188.6
Morgan,noise,0,17.153819799423218,0.31,0.93,-0.15,121,3656,149,-167.44,-192.28,190.44
Morgan,noise,0,17.321712970733643,0.34,0.93,-0.14,266,4439,385,-190.44,-188.6,173.88
Morgan,noise,0,17.421252012252808,0.37,0.93,-0.13,-238,-5925,-139,-206.08,-184.92,164.68
Morgan,noise,0,17.522074937820435,0.31,0.94,-0.11,-443,-2903,22,-175.72,-192.28,184.92
Morgan,noise,0,17.62380599975586,0.29,0.93,-0.12,11,6424,161,-179.4,-189.52,184.0
Morgan,noise,0,17.738999843597412,0.36,0.93,-0.13,133,5354,272,-218.96,-184.92,149.96
Morgan,noise,0,17.876486778259277,0.38,0.92,-0.12,-236,-4861,-37,-218.04,-184.92,151.8
Morgan,noise,0,18.022019863128662,0.34,0.91,-0.12,-592,-1537,-2,-193.2,-190.44,171.12
