User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Morgan,bicep curls,0,0.00019216537475585938,-0.1,0.96,-0.06,-315,110,-2379,-154.56,-298.08,74.52
Morgan,bicep curls,0,0.3450310230255127,-0.12,0.94,-0.17,-42,54,471,-92.92,-330.28,70.84
Morgan,bicep curls,0,0.47007107734680176,-0.11,0.89,-0.18,-17,-1697,1978,-98.44,-322.0,69.92
Morgan,bicep curls,0,0.629249095916748,-0.1,0.98,-0.18,-1065,-1544,2641,-114.08,-317.4,71.76
Morgan,bicep curls,0,0.7326431274414062,-0.12,1.01,-0.14,-263,-163,1256,-124.2,-320.16,68.08
Morgan,bicep curls,0,0.8589560985565186,-0.13,1.01,-0.1,-366,-185,-22,-131.56,-312.8,67.16
Morgan,bicep curls,0,0.972588062286377,-0.12,0.97,-0.08,-42,467,-941,-122.36,-315.56,66.24
Morgan,bicep curls,0,1.1292080879211426,-0.12,0.97,-0.07,-492,864,68,-119.6,-317.4,64.4
Morgan,bicep curls,0,1.2289800643920898,-0.1,0.97,-0.08,-398,288,299,-123.28,-317.4,57.04
Morgan,bicep curls,0,1.3488152027130127,-0.15,0.98,-0.11,214,-745,-1062,-123.28,-320.16,55.2
Morgan,bicep curls,0,1.4700419902801514,-0.27,0.99,-0.13,1510,-3777,-6904,-101.2,-328.44,64.4
Morgan,bicep curls,0,1.62923002243042,-0.45,1.04,-0.13,2381,-6984,-16511,-5.52,-346.84,89.24
Morgan,bicep curls,0,1.7313811779022217,-0.66,0.94,-0.06,251,-9493,-27629,198.72,-325.68,96.6
Morgan,bicep curls,0,1.8575291633605957,-0.78,0.61,0.02,-4197,-7410,-31832,446.2,-161.0,41.4
Morgan,bicep curls,0,1.9750831127166748,-0.68,0.24,0.1,-9023,-2701,-25866,549.24,119.6,-38.64
Morgan,bicep curls,0,2.1294450759887695,-0.41,-0.21,0.06,-4319,-6589,-8813,521.64,314.64,-69.0
Morgan,bicep curls,0,2.229353189468384,-0.36,-0.46,0.11,4439,5987,14545,523.48,297.16,-83.72
Morgan,bicep curls,0,2.333976984024048,-0.55,-0.37,0.13,3420,6663,23078,547.4,102.12,-26.68
Morgan,bicep curls,0,2.4587960243225098,-0.71,-0.11,0.12,2507,6245,22518,473.8,-114.08,39.56
Morgan,bicep curls,0,2.5803451538085938,-0.78,0.23,0.01,1646,7406,21864,330.28,-264.96,82.8
Morgan,bicep curls,0,2.7292640209198,-0.76,0.58,-0.04,121,3014,18728,242.88,-310.96,92.92
Morgan,bicep curls,0,2.8489770889282227,-0.65,0.78,-0.08,-416,2474,14579,74.52,-345.92,101.2
Morgan,bicep curls,0,2.970065116882324,-0.5,0.89,-0.11,-351,2666,8445,-51.52,-333.04,96.6
Morgan,bicep curls,0,3.129249095916748,-0.34,0.93,-0.12,24,-1461,3199,-115.0,-312.8,92.0
Morgan,bicep curls,0,3.2291741371154785,-0.26,0.94,-0.12,73,-245,-350,-128.8,-310.04,96.6
Morgan,bicep curls,0,3.3312690258026123,-0.2,0.95,-0.13,452,-617,-1380,-119.6,-307.28,102.12
Morgan,bicep curls,0,3.452561140060425,-0.25,0.99,-0.14,563,-3820,-5643,-92.92,-315.56,107.64
Morgan,bicep curls,0,3.5750741958618164,-0.44,1.04,-0.14,790,-6992,-17665,11.96,-333.96,119.6
Morgan,bicep curls,0,3.729361057281494,-0.77,1.05,-0.05,-2336,-10595,-31318,247.48,-299.0,104.88
Morgan,bicep curls,0,3.8288841247558594,-0.8,0.65,0.04,-8097,-2895,-32736,492.2,-74.52,37.72
Morgan,bicep curls,0,3.9451630115509033,-0.55,0.21,0.1,-7533,-8796,-26344,536.36,213.44,-15.64
Morgan,bicep curls,0,4.093919992446899,-0.31,-0.24,-0.07,-1342,-2184,1024,510.6,333.04,-67.16
Morgan,bicep curls,0,4.2293760776519775,-0.45,-0.3,0.15,5848,6756,25305,544.64,164.68,-24.84
Morgan,bicep curls,0,4.329284191131592,-0.79,-0.12,0.12,4868,3666,23659,531.76,35.88,2.76
Morgan,bicep curls,0,4.462612152099609,-0.9,0.19,0.04,2646,3181,20086,437.0,-164.68,57.04
Morgan,bicep curls,0,4.571544170379639,-0.85,0.41,0.03,1254,6382,17758,294.4,-282.44,95.68
Morgan,bicep curls,0,4.7288219928741455,-0.77,0.63,-0.04,272,2065,14186,143.52,-332.12,115.0
Morgan,bicep curls,0,4.829317092895508,-0.57,0.79,-0.09,622,842,11912,19.32,-336.72,115.92
Morgan,bicep curls,0,4.944061040878296,-0.41,0.91,-0.12,303,2215,9736,-80.96,-313.72,120.52
Morgan,bicep curls,0,5.060245037078857,-0.39,0.95,-0.14,-25,-1629,2282,-138.92,-290.72,118.68
Morgan,bicep curls,0,5.212671995162964,-0.4,0.99,-0.15,-208,-3452,-11199,-93.84,-309.12,127.88
Morgan,bicep curls,0,5.339056015014648,-0.5,1.02,-0.12,-677,-7568,-19581,62.56,-332.12,127.88
Morgan,bicep curls,0,5.45508599281311,-0.7,0.9,-0.04,-2484,-7328,-24608,285.2,-280.6,98.44
Morgan,bicep curls,0,5.580141067504883,-0.89,0.67,0.13,-8065,-11558,-28593,475.64,-115.92,16.56
Morgan,bicep curls,0,5.729433059692383,-0.73,0.21,0.16,-14145,-5696,-27372,552.0,162.84,-80.96
Morgan,bicep curls,0,5.829395055770874,-0.4,-0.18,0.04,-5787,-5753,-7421,0.92,8.28,15722.8
Morgan,bicep curls,0,5.965177059173584,-0.31,-0.38,0.04,7685,7377,18451,517.04,314.64,-108.56
Morgan,bicep curls,0,6.129395008087158,-0.61,-0.22,0.22,7524,6058,26252,549.24,108.56,-56.12
Morgan,bicep curls,0,6.229266166687012,-0.89,0.06,0.25,4429,3594,20061,476.56,-123.28,10.12
Morgan,bicep curls,0,6.329344987869263,-0.92,0.29,0.17,2084,3801,15542,355.12,-256.68,56.12
Morgan,bicep curls,0,6.453934192657471,-0.79,0.54,0.08,903,5677,14255,222.64,-322.0,86.48
Morgan,bicep curls,0,6.58151912689209,-0.68,0.71,-0.01,1074,3705,11625,97.52,-345.0,101.2
Morgan,bicep curls,0,6.72917914390564,-0.53,0.81,-0.07,660,2384,9461,-8.28,-339.48,108.56
Morgan,bicep curls,0,6.829302072525024,-0.4,0.9,-0.1,403,1280,6231,-86.48,-318.32,109.48
Morgan,bicep curls,0,6.935240030288696,-0.33,0.92,-0.11,15,66,1447,-115.92,-305.44,114.08
Morgan,bicep curls,0,7.05146598815918,-0.36,0.96,-0.13,56,-3180,-5898,-112.24,-303.6,109.48
Morgan,bicep curls,0,7.191493988037109,-0.5,0.99,-0.12,-467,-7911,-18379,-28.52,-327.52,119.6
Morgan,bicep curls,0,7.332720041275024,-0.65,0.89,-0.05,-2004,-8338,-24444,168.36,-326.6,112.24
Morgan,bicep curls,0,7.4466071128845215,-0.87,0.62,0.16,-7045,-15180,-28381,398.36,-215.28,48.76
Morgan,bicep curls,0,7.565035104751587,-0.8,0.27,0.25,-13396,-6649,-24795,537.28,22.08,-74.52
