User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
kate,bicep curls,0,0.00010395050048828125,0,0,0,0,0,0,0,0,0
kate,bicep curls,0,0.11930513381958008,-0.08,0.97,-0.12,21,-189,101,287.04,-331.2,-136.16
kate,bicep curls,0,0.23412108421325684,-0.07,0.97,-0.12,19,91,10,287.04,-331.2,-134.32
kate,bicep curls,0,0.3467071056365967,-0.07,0.97,-0.13,69,0,121,288.88,-329.36,-137.08
kate,bicep curls,0,0.4706130027770996,-0.08,0.96,-0.12,66,-406,-10,287.04,-332.12,-134.32
kate,bicep curls,0,0.5853190422058105,-0.09,0.97,-0.13,413,-789,-665,293.48,-326.6,-138.0
kate,bicep curls,0,0.7240049839019775,-0.09,0.96,-0.13,221,-525,-496,291.64,-327.52,-138.92
kate,bicep curls,0,0.8391449451446533,-0.07,0.98,-0.15,603,-7143,-1788,297.16,-323.84,-146.28
kate,bicep curls,0,0.9566211700439453,-0.12,0.96,-0.15,1874,-12017,-4357,298.08,-314.64,-176.64
kate,bicep curls,0,1.0816640853881836,-0.24,0.92,-0.03,1186,-19211,-4920,292.56,-292.56,-228.16
kate,bicep curls,0,1.236591100692749,-0.34,0.89,0.11,-2394,-19160,-5788,252.08,-268.64,-299.0
kate,bicep curls,0,1.3627591133117676,-0.62,0.86,0.33,-11285,-12252,-14584,216.2,-195.04,-382.72
kate,bicep curls,0,1.4778361320495605,-0.8,0.66,0.57,-17314,-870,-20586,252.08,-9.2,-461.84
kate,bicep curls,0,1.5903079509735107,-0.77,0.31,0.65,-19577,-68,-22309,258.52,256.68,-472.88
kate,bicep curls,0,1.7279579639434814,-0.63,-0.05,0.6,-18336,1572,-18953,178.48,487.6,-398.36
kate,bicep curls,0,1.855715036392212,-0.42,-0.4,0.38,-14762,2537,-15464,65.32,609.96,-287.04
kate,bicep curls,0,2.005409002304077,-0.21,-0.64,0.1,-6245,530,-6331,-26.68,645.84,-203.32
kate,bicep curls,0,2.095633029937744,-0.1,-0.74,0.01,5709,1741,4957,-25.76,645.84,-209.76
kate,bicep curls,0,2.239004135131836,-0.12,-0.75,0.05,13300,157,14940,11.04,635.72,-245.64
kate,bicep curls,0,2.374052047729492,-0.28,-0.66,0.22,17486,-1414,20157,136.16,555.68,-347.76
kate,bicep curls,0,2.491438150405884,-0.5,-0.41,0.38,15796,-2728,17397,240.12,379.04,-441.6
kate,bicep curls,0,2.6103179454803467,-0.66,-0.05,0.62,13788,-2385,13809,251.16,172.96,-484.84
kate,bicep curls,0,2.7281551361083984,-0.62,0.22,0.63,13367,4241,13099,229.08,-6.44,-471.04
kate,bicep curls,0,2.87526798248291,-0.64,0.54,0.62,10119,-3359,9765,181.24,-158.24,-420.44
kate,bicep curls,0,2.9968481063842773,-0.55,0.66,0.6,5888,-1684,5412,102.12,-239.2,-368.92
kate,bicep curls,0,3.1117711067199707,-0.54,0.72,0.58,-1198,66,-2468,73.6,-266.8,-345.0
kate,bicep curls,0,3.2255420684814453,-0.6,0.73,0.68,-10211,-2809,-8797,97.52,-234.6,-375.36
kate,bicep curls,0,3.3667099475860596,-0.7,0.66,0.86,-19102,-2633,-15719,153.64,-100.28,-452.64
kate,bicep curls,0,3.4816291332244873,-0.74,0.37,0.84,-25704,1917,-19899,195.04,165.6,-497.72
kate,bicep curls,0,3.630378007888794,-0.58,0.01,0.73,-23099,2486,-17476,171.12,446.2,-428.72
kate,bicep curls,0,3.754162073135376,-0.44,-0.33,0.5,-18033,-2425,-15431,52.44,602.6,-302.68
kate,bicep curls,0,3.877810001373291,-0.22,-0.59,0.17,-9055,437,-6119,-53.36,646.76,-186.76
kate,bicep curls,0,4.007810115814209,-0.1,-0.71,0.0,4762,-512,3583,-67.16,646.76,-169.28
kate,bicep curls,0,4.125319957733154,-0.12,-0.72,0.01,15517,2250,11822,0.92,629.28,-249.32
kate,bicep curls,0,4.246664047241211,-0.2,-0.6,0.14,22986,1648,21284,143.52,507.84,-391.0
kate,bicep curls,0,4.369141101837158,-0.42,-0.21,0.49,22470,-1932,20528,230.0,247.48,-479.32
kate,bicep curls,0,4.509084939956665,-0.53,0.06,0.77,19843,-3092,13569,178.48,9.2,-486.68
kate,bicep curls,0,4.620418071746826,-0.6,0.36,0.72,15606,4055,10463,140.76,-83.72,-466.44
kate,bicep curls,0,4.742747068405151,-0.61,0.58,0.66,8361,1580,6127,95.68,-221.72,-390.08
kate,bicep curls,0,4.861696004867554,-0.51,0.68,0.56,3018,1564,2149,69.0,-276.0,-341.32
kate,bicep curls,0,4.988149166107178,-0.47,0.75,0.52,-3620,-2849,-2442,65.32,-282.44,-333.04
kate,bicep curls,0,5.1266770362854,-0.54,0.77,0.63,-12058,-2958,-9649,81.88,-241.04,-372.6
