,User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z,set_id
1,Morgan,bicep curls,0,0.164,-0.04,0.9,-0.2,227,281,-80,80.96,-201.48,224.48,1
2,Morgan,bicep curls,0,0.243,-0.05,0.9,-0.22,425,-1,-443,80.04,-199.64,227.24,1
3,Morgan,bicep curls,0,0.375,-0.08,0.9,-0.24,1485,-190,-1723,88.32,-202.4,229.08,1
4,Morgan,bicep curls,0,0.542,-0.1,0.89,-0.25,2026,-799,-2590,103.96,-198.72,240.12,1
5,Morgan,bicep curls,0,0.642,-0.24,0.9,-0.31,4959,-3937,-8597,149.04,-194.12,262.2,1
6,Morgan,bicep curls,0,0.741,-0.39,0.83,-0.35,5927,-2945,-12813,248.4,-167.44,294.4,1
7,Morgan,bicep curls,0,0.865,-0.54,0.72,-0.36,5486,-2680,-16102,356.04,-103.04,322.92,1
8,Morgan,bicep curls,0,0.98,-0.66,0.5,-0.36,3788,-4321,-17296,460.92,2.76,325.68,1
9,Morgan,bicep curls,0,1.141,-0.73,0.22,-0.32,1299,-4318,-17361,534.52,129.72,300.84,1
10,Morgan,bicep curls,0,1.242,-0.74,-0.06,-0.25,-936,-7310,-16147,566.72,260.36,260.36,1
11,Morgan,bicep curls,0,1.363,-0.63,-0.32,-0.2,-2476,-5597,-14369,569.48,320.16,238.28,1
12,Morgan,bicep curls,0,1.508,-0.49,-0.51,-0.16,-1883,-3735,-7666,547.4,411.24,200.56,1
13,Morgan,bicep curls,0,1.641,-0.39,-0.61,-0.1,2517,-380,1729,539.12,454.48,180.32,1
14,Morgan,bicep curls,0,1.764,-0.4,-0.64,-0.06,3753,3920,12693,558.44,429.64,177.56,1
15,Morgan,bicep curls,0,1.942,-0.44,-0.54,-0.07,4326,2852,18633,599.84,322,190.44,1
16,Morgan,bicep curls,0,2.042,-0.65,-0.3,-0.01,3795,347,22070,621,154.56,202.4,1
17,Morgan,bicep curls,0,2.142,-0.82,0.09,0.01,5591,-607,21165,584.2,-11.96,212.52,1
18,Morgan,bicep curls,0,2.251,-0.77,0.43,-0.02,2207,4483,18942,474.72,-125.12,248.4,1
19,Morgan,bicep curls,0,2.398,-0.68,0.66,-0.1,1256,-471,15692,406.64,-160.08,259.44,1
20,Morgan,bicep curls,0,2.542,-0.53,0.79,-0.15,689,3219,9378,297.16,-191.36,273.24,1
21,Morgan,bicep curls,0,2.641,-0.45,0.83,-0.17,463,102,402,228.16,-190.44,275.08,1
22,Morgan,bicep curls,0,2.742,-0.43,0.86,-0.17,925,-2766,-7678,243.8,-188.6,278.76,1
23,Morgan,bicep curls,1,2.858,-0.54,0.9,-0.14,95,-6071,-19641,364.32,-165.6,273.24,1
24,Morgan,bicep curls,0,2.998,-0.72,0.78,-0.08,-2002,-4016,-23552,529,-64.4,241.04,1
25,Morgan,bicep curls,0,3.143,-0.82,0.49,-0.01,-4056,-1984,-23532,615.48,106.72,207.92,1
26,Morgan,bicep curls,0,3.251,-0.76,0.16,0.02,-5829,-836,-20306,610.88,280.6,189.52,1
27,Morgan,bicep curls,0,3.37,-0.62,-0.15,0.01,-4568,47,-14209,587.88,353.28,185.84,1
28,Morgan,bicep curls,0,3.542,-0.44,-0.44,-0.04,-2284,-2331,-5143,533.6,442.52,190.44,1
29,Morgan,bicep curls,0,3.642,-0.38,-0.59,-0.05,1411,978,3487,527.16,458.16,184,1
30,Morgan,bicep curls,0,3.742,-0.42,-0.59,-0.03,4211,1825,12406,552.92,419.52,185.84,1
31,Morgan,bicep curls,0,3.851,-0.53,-0.44,-0.01,5461,904,17820,602.6,316.48,188.6,1
32,Morgan,bicep curls,0,3.999,-0.75,-0.2,0.03,6166,-1095,18403,626.52,170.2,186.76,1
33,Morgan,bicep curls,0,4.142,-0.83,0.05,0.04,6586,2529,18277,607.2,40.48,199.64,1
34,Morgan,bicep curls,0,4.242,-0.78,0.36,0.07,3819,4168,17050,575.92,-16.56,216.2,1
35,Morgan,bicep curls,0,4.37,-0.71,0.6,0.01,2692,1826,15679,479.32,-102.12,254.84,1
36,Morgan,bicep curls,0,4.484,-0.58,0.72,-0.07,1512,3809,12196,377.2,-151.8,279.68,1
37,Morgan,bicep curls,0,4.642,-0.47,0.79,-0.11,92,2860,3696,282.44,-168.36,291.64,1
38,Morgan,bicep curls,0,4.742,-0.42,0.83,-0.16,295,-1388,-4486,271.4,-164.68,296.24,1
39,Morgan,bicep curls,2,4.844,-0.47,0.87,-0.18,688,-6014,-14145,359.72,-146.28,287.96,1
40,Morgan,bicep curls,0,5.003,-0.63,0.83,-0.12,-695,-6955,-20737,506.92,-65.32,257.6,1
41,Morgan,bicep curls,0,5.142,-0.75,0.65,-0.07,-2703,-3842,-22760,608.12,92.92,213.44,1
42,Morgan,bicep curls,0,5.245,-0.81,0.32,0,-4978,-2654,-21020,622.84,184.92,194.12,1
43,Morgan,bicep curls,0,5.359,-0.7,-0.05,0.07,-4795,-3024,-17963,596.16,349.6,176.64,1
44,Morgan,bicep curls,0,5.475,-0.58,-0.32,0.08,-4576,-4503,-11776,533.6,469.2,166.52,1
45,Morgan,bicep curls,0,5.642,-0.47,-0.52,0.07,-1222,-3126,-994,502.32,516.12,155.48,1
46,Morgan,bicep curls,0,5.754,-0.43,-0.64,0.07,2639,2774,6324,512.44,506.92,148.12,1
47,Morgan,bicep curls,0,5.876,-0.41,-0.59,0.07,3722,6688,16600,557.52,437,164.68,1
48,Morgan,bicep curls,0,6.042,-0.62,-0.37,0.05,698,2695,24261,609.04,253.92,196.88,1
49,Morgan,bicep curls,0,6.141,-0.75,-0.03,0.13,1123,3737,21633,589.72,57.04,226.32,1
50,Morgan,bicep curls,0,6.241,-0.76,0.37,-0.04,-500,6294,20231,540.96,-20.24,255.76,1
51,Morgan,bicep curls,0,6.35,-0.64,0.66,-0.15,-2139,5278,16296,408.48,-136.16,280.6,1
52,Morgan,bicep curls,0,6.49,-0.49,0.8,-0.22,-1331,2920,10907,270.48,-186.76,278.76,1
53,Morgan,bicep curls,0,6.643,-0.37,0.85,-0.22,-176,3118,4260,193.2,-192.28,276,1
54,Morgan,bicep curls,0,6.742,-0.35,0.89,-0.22,1307,-2296,-5885,180.32,-190.44,277.84,1
55,Morgan,bicep curls,3,6.879,-0.45,0.92,-0.19,2402,-8194,-17825,300.84,-176.64,282.44,1
56,Morgan,bicep curls,0,7.042,-0.66,0.84,-0.15,827,-5373,-24387,481.16,-86.48,265.88,1
57,Morgan,bicep curls,0,7.142,-0.8,0.59,-0.07,-2757,-4245,-25182,597.08,89.24,229.08,1
58,Morgan,bicep curls,0,7.242,-0.78,0.24,-0.01,-4495,-3633,-21644,613.64,188.6,207.92,1
59,Morgan,bicep curls,0,7.358,-0.68,-0.1,0,-5184,-5479,-15653,591.56,349.6,187.68,1
60,Morgan,bicep curls,0,7.518,-0.54,-0.4,-0.02,-3575,-4101,-8820,550.16,445.28,168.36,1
61,Morgan,bicep curls,0,7.642,-0.41,-0.58,-0.05,791,320,1114,525.32,483.92,161,1
62,Morgan,bicep curls,0,7.76,-0.39,-0.62,0,3519,3485,12725,549.24,455.4,162.84,1
63,Morgan,bicep curls,0,7.877,-0.5,-0.51,0.03,3323,3951,19083,601.68,331.2,180.32,1
64,Morgan,bicep curls,0,8.042,-0.66,-0.26,-0.04,1264,8865,20774,602.6,156.4,227.24,1
65,Morgan,bicep curls,0,8.142,-0.8,0.11,-0.09,-1990,7407,18773,528.08,-7.36,273.24,1
66,Morgan,bicep curls,0,8.244,-0.73,0.41,-0.18,-2877,1161,16825,468.28,-73.6,288.88,1
67,Morgan,bicep curls,0,8.358,-0.66,0.63,-0.2,-1680,1707,14528,360.64,-160.08,281.52,1
68,Morgan,bicep curls,0,8.477,-0.51,0.77,-0.21,-1363,2142,10810,250.24,-194.12,271.4,1
69,Morgan,bicep curls,0,8.642,-0.38,0.83,-0.22,183,-1706,2250,175.72,-197.8,266.8,1
70,Morgan,bicep curls,0,8.742,-0.41,0.85,-0.23,2038,-4007,-6846,194.12,-196.88,271.4,1
71,Morgan,bicep curls,4,8.854,-0.49,0.87,-0.24,2877,-5496,-15672,309.12,-172.04,283.36,1
72,Morgan,bicep curls,0,9,-0.65,0.81,-0.18,1755,-4039,-20797,452.64,-98.44,277.84,1
73,Morgan,bicep curls,0,9.142,-0.79,0.59,-0.12,-1057,-5997,-22986,572.24,52.44,246.56,1
74,Morgan,bicep curls,0,9.247,-0.77,0.23,-0.04,-3757,-3701,-21865,614.56,233.68,200.56,1
75,Morgan,bicep curls,0,9.374,-0.68,-0.09,-0.01,-4347,-1410,-17430,599.84,316.48,188.6,1
76,Morgan,bicep curls,0,9.542,-0.52,-0.38,-0.02,-3121,-4515,-10281,548.32,439.76,176.64,1
77,Morgan,bicep curls,0,9.642,-0.39,-0.59,-0.03,343,-450,-1837,516.12,497.72,160.08,1
78,Morgan,bicep curls,0,9.753,-0.34,-0.66,-0.03,2659,3376,9105,522.56,491.28,161.92,1
79,Morgan,bicep curls,0,9.865,-0.45,-0.62,0.03,1312,1105,15036,565.8,409.4,171.12,1
80,Morgan,bicep curls,0,10.01,-0.58,-0.47,0.04,1586,2291,15512,614.56,268.64,183.08,1
81,Morgan,bicep curls,0,10.142,-0.67,-0.26,0.01,2092,4271,16837,610.88,132.48,210.68,1
82,Morgan,bicep curls,0,10.254,-0.85,0.05,0.04,1358,1988,16648,563.04,2.76,238.28,1
83,Morgan,bicep curls,0,10.382,-0.85,0.37,-0.12,-2460,6392,15706,504.16,-57.96,265.88,1
84,Morgan,bicep curls,0,10.542,-0.68,0.61,-0.18,-2751,3595,14785,372.6,-147.2,284.28,1
85,Morgan,bicep curls,0,10.642,-0.53,0.76,-0.22,-1894,2443,11715,258.52,-193.2,273.24,1
86,Morgan,bicep curls,0,10.842,-0.38,0.84,-0.22,-1432,2536,5399,161,-199.64,262.2,1
87,Morgan,bicep curls,0,10.941,-0.3,0.86,-0.23,260,-248,271,127.88,-201.48,252.08,1
88,Morgan,bicep curls,0,11.041,-0.27,0.89,-0.24,2274,-3120,-6800,158.24,-198.72,261.28,1
89,Morgan,bicep curls,5,11.142,-0.38,0.91,-0.25,3957,-4751,-15390,274.16,-182.16,280.6,1
90,Morgan,bicep curls,0,11.249,-0.56,0.83,-0.26,3825,-3509,-19729,423.2,-106.72,290.72,1
91,Morgan,bicep curls,0,11.367,-0.72,0.62,-0.24,2193,-2726,-21025,482.08,-45.08,287.96,1
92,Morgan,bicep curls,0,11.542,-0.75,0.29,-0.16,408,-5740,-22028,564.88,113.16,269.56,1
93,Morgan,bicep curls,0,11.642,-0.71,-0.07,-0.08,-2961,-4980,-19735,585.12,294.4,222.64,1
94,Morgan,bicep curls,0,11.759,-0.52,-0.34,-0.05,-3906,-2791,-12817,540.04,430.56,195.96,1
95,Morgan,bicep curls,0,11.943,-0.37,-0.57,-0.06,-1402,-2406,-2793,505.08,486.68,184,1
96,Morgan,bicep curls,0,12.042,-0.32,-0.65,-0.06,2942,2292,8370,515.2,477.48,175.72,1
97,Morgan,bicep curls,0,12.142,-0.39,-0.63,-0.06,2475,5380,16628,562.12,397.44,195.04,1
98,Morgan,bicep curls,0,12.259,-0.57,-0.48,-0.11,-595,6698,18430,586.04,246.56,236.44,1
99,Morgan,bicep curls,0,12.378,-0.84,-0.23,-0.05,-1466,-1131,16564,575.92,93.84,260.36,1
100,Morgan,bicep curls,0,12.542,-0.75,0.04,-0.17,-1475,8919,17287,540.96,20.24,272.32,1
101,Morgan,bicep curls,0,12.646,-0.7,0.3,-0.17,-2485,2257,15770,454.48,-91.08,287.04,1
102,Morgan,bicep curls,0,12.761,-0.63,0.52,-0.19,-2550,2035,13646,347.76,-164.68,284.28,1
103,Morgan,bicep curls,0,12.942,-0.49,0.7,-0.2,-1780,1743,11285,238.28,-195.96,272.32,1
104,Morgan,bicep curls,0,13.042,-0.37,0.81,-0.22,-765,846,5393,155.48,-202.4,261.28,1
105,Morgan,bicep curls,0,13.147,-0.32,0.85,-0.25,794,-982,-818,135.24,-196.88,258.52,1
106,Morgan,bicep curls,6,13.279,-0.32,0.89,-0.26,2592,-3081,-8950,183.08,-196.88,271.4,1
107,Morgan,bicep curls,0,13.441,-0.44,0.88,-0.24,3376,-5760,-16797,315.56,-170.2,291.64,1
108,Morgan,bicep curls,0,13.541,-0.61,0.75,-0.24,2856,-3285,-20148,391.92,-133.4,287.04,1
109,Morgan,bicep curls,0,13.642,-0.74,0.5,-0.17,936,-9242,-21879,522.56,-10.12,274.16,1
110,Morgan,bicep curls,0,13.779,-0.75,0.17,-0.11,-2960,-2167,-19772,615.48,166.52,210.68,1
111,Morgan,bicep curls,0,13.942,-0.67,-0.13,-0.05,-3240,-885,-14440,597.08,316.48,193.2,1
112,Morgan,bicep curls,0,14.042,-0.57,-0.39,-0.01,-2463,-1810,-9923,560.28,415.84,185.84,1
113,Morgan,bicep curls,0,14.149,-0.46,-0.6,0,-1778,-3290,-5841,530.84,471.04,170.2,1
114,Morgan,bicep curls,0,14.262,-0.36,-0.69,-0.03,671,309,1976,523.48,486.68,157.32,1
115,Morgan,bicep curls,0,14.382,-0.38,-0.68,0.01,3242,3622,12483,555.68,438.84,167.44,1
116,Morgan,bicep curls,0,14.542,-0.52,-0.56,0,2776,3213,18460,607.2,304.52,184,1
117,Morgan,bicep curls,0,14.645,-0.71,-0.35,0.02,1767,1742,18345,618.24,222.64,198.72,1
118,Morgan,bicep curls,0,14.763,-0.8,-0.08,-0.04,909,5380,17907,593.4,65.32,225.4,1
119,Morgan,bicep curls,0,14.942,-0.82,0.23,-0.1,-1457,3909,16307,509.68,-63.48,257.6,1
120,Morgan,bicep curls,0,15.041,-0.7,0.47,-0.15,-1417,3582,13684,395.6,-151.8,270.48,1
121,Morgan,bicep curls,0,15.155,-0.6,0.65,-0.19,-1051,1792,10182,296.24,-192.28,269.56,1
122,Morgan,bicep curls,0,15.252,-0.47,0.76,-0.21,-399,1855,7011,216.2,-200.56,265.88,1
123,Morgan,bicep curls,0,15.402,-0.38,0.82,-0.23,672,-1448,969,183.08,-198.72,265.88,1
124,Morgan,bicep curls,7,15.542,-0.39,0.84,-0.23,1721,-3754,-6477,199.64,-196.88,268.64,1
125,Morgan,bicep curls,0,15.641,-0.5,0.84,-0.23,2366,-4602,-13345,278.76,-183.08,279.68,1
126,Morgan,bicep curls,0,15.755,-0.64,0.76,-0.22,1826,-3153,-18781,405.72,-131.56,279.68,1
127,Morgan,bicep curls,0,15.895,-0.79,0.55,-0.15,53,-5240,-21583,530.84,-15.64,263.12,1
128,Morgan,bicep curls,0,16.042,-0.84,0.25,-0.08,-3106,-5331,-22918,609.04,154.56,216.2,1
129,Morgan,bicep curls,0,16.149,-0.72,-0.07,-0.03,-5720,-4372,-20459,602.6,336.72,177.56,1
130,Morgan,bicep curls,0,16.275,-0.5,-0.35,-0.04,-4723,-1208,-11653,540.96,451.72,172.96,1
131,Morgan,bicep curls,0,16.441,-0.36,-0.56,-0.1,1927,-1795,3268,522.56,479.32,169.28,1
132,Morgan,bicep curls,0,16.541,-0.4,-0.62,-0.01,4524,3063,12331,566.72,425.04,161,1
133,Morgan,bicep curls,0,16.642,-0.52,-0.52,0.02,3429,682,16437,591.56,369.84,166.52,1
134,Morgan,bicep curls,0,16.755,-0.56,-0.34,0.02,1604,7067,18751,622.84,226.32,182.16,1
135,Morgan,bicep curls,0,16.893,-0.74,-0.04,0.03,-787,3298,18808,585.12,61.64,231.84,1
136,Morgan,bicep curls,0,17.042,-0.78,0.29,-0.1,-1778,6472,17635,491.28,-79.12,260.36,1
137,Morgan,bicep curls,0,17.159,-0.7,0.56,-0.17,-3070,3749,13732,355.12,-167.44,270.48,1
138,Morgan,bicep curls,0,17.284,-0.55,0.71,-0.21,-2285,3594,9863,355.12,296.24,270.48,1
139,Morgan,bicep curls,0,17.442,-0.4,0.79,-0.22,-1249,2705,6691,160.08,-209.76,248.4,1
140,Morgan,bicep curls,0,17.541,-0.31,0.85,-0.23,467,-959,727,124.2,-204.24,244.72,1
141,Morgan,bicep curls,0,17.65,-0.32,0.88,-0.25,2064,-2660,-5878,134.32,-201.48,248.4,1
142,Morgan,bicep curls,8,17.766,-0.41,0.89,-0.25,3827,-4903,-14707,212.52,-197.8,267.72,1
143,Morgan,bicep curls,0,17.941,-0.6,0.81,-0.26,3821,-4826,-21322,361.56,-152.72,281.52,1
144,Morgan,bicep curls,0,18.042,-0.74,0.56,-0.2,1170,-7864,-25072,519.8,-21.16,267.72,1
145,Morgan,bicep curls,0,18.162,-0.76,0.23,-0.1,-2802,-4943,-25140,609.96,178.48,211.6,1
146,Morgan,bicep curls,0,18.279,-0.59,-0.11,-0.05,-5264,-3565,-19059,586.96,368.92,172.96,1
147,Morgan,bicep curls,0,18.444,-0.35,-0.38,-0.06,-2440,-1592,-5427,536.36,469.2,162.84,1
148,Morgan,bicep curls,0,18.541,-0.28,-0.54,-0.04,3572,3589,11734,552.92,447.12,164.68,1
149,Morgan,bicep curls,0,18.654,-0.48,-0.49,-0.02,3159,3264,18493,601.68,322,180.32,1
150,Morgan,bicep curls,0,18.794,-0.68,-0.32,-0.02,2083,1748,18223,616.4,161.92,202.4,1
151,Morgan,bicep curls,0,18.941,-0.77,-0.06,-0.06,-93,4976,17106,598.92,83.72,220.8,1
152,Morgan,bicep curls,0,19.044,-0.85,0.2,-0.12,-461,3399,15153,526.24,-47.84,250.24,1
153,Morgan,bicep curls,0,19.163,-0.74,0.4,-0.15,-1445,5493,14432,422.28,-137.08,264.04,1
154,Morgan,bicep curls,0,19.293,-0.61,0.62,-0.18,-2367,3946,9930,300.84,-187.68,270.48,1
155,Morgan,bicep curls,0,19.442,-0.45,0.74,-0.2,-1121,376,9809,217.12,-204.24,258.52,1
156,Morgan,bicep curls,0,19.542,-0.33,0.83,-0.22,-950,1308,4982,143.52,-206.08,251.16,1
157,Morgan,bicep curls,0,19.643,-0.29,0.85,-0.24,542,457,82,124.2,-202.4,247.48,1
158,Morgan,bicep curls,9,19.785,-0.31,0.88,-0.26,2599,-3433,-7388,137.08,-198.72,253,1
159,Morgan,bicep curls,0,19.942,-0.44,0.88,-0.26,3855,-6278,-16106,236.44,-193.2,273.24,1
160,Morgan,bicep curls,0,20.042,-0.63,0.8,-0.23,2724,-7632,-21987,402.96,-132.48,280.6,1
161,Morgan,bicep curls,0,20.174,-0.79,0.55,-0.14,-651,-6828,-25056,561.2,11.04,243.8,1
162,Morgan,bicep curls,0,20.342,-0.78,0.18,-0.03,-4104,-5972,-23634,622.84,219.88,186.76,1
163,Morgan,bicep curls,0,20.441,-0.63,-0.15,0.02,-5391,-3595,-18074,587.88,397.44,151.8,1
164,Morgan,bicep curls,0,20.542,-0.42,-0.43,0.02,-3418,-3221,-8286,529,493.12,143.52,1
165,Morgan,bicep curls,0,20.645,-0.29,-0.62,-0.02,1546,6,2558,519.8,511.52,130.64,1
166,Morgan,bicep curls,0,20.783,-0.32,-0.68,0.04,3640,4299,12902,539.12,490.36,132.48,1
167,Morgan,bicep curls,0,20.941,-0.46,-0.57,0.04,2657,4881,17813,592.48,383.64,149.96,1
168,Morgan,bicep curls,0,21.042,-0.67,-0.38,0.02,1161,3276,18261,621,226.32,187.68,1
169,Morgan,bicep curls,0,21.15,-0.73,-0.11,0.05,1031,5547,18449,598.92,62.56,218.04,1
170,Morgan,bicep curls,0,21.264,-0.85,0.19,-0.04,-704,3266,17072,516.12,-69.92,248.4,1
171,Morgan,bicep curls,0,21.442,-0.75,0.39,-0.08,-347,3623,15364,401.12,-156.4,260.36,1
172,Morgan,bicep curls,0,21.542,-0.64,0.61,-0.14,-1054,5194,9507,291.64,-195.04,263.12,1
173,Morgan,bicep curls,0,21.648,-0.53,0.73,-0.18,3,-796,3187,252.08,-201.48,264.96,1
174,Morgan,bicep curls,0,21.775,-0.44,0.77,-0.2,316,346,-29,230.92,-202.4,262.2,1
175,Morgan,bicep curls,0,21.942,-0.38,0.79,-0.19,439,374,-194,230.92,-198.72,265.88,1
176,Morgan,bicep curls,0,22.042,-0.33,0.81,-0.19,72,1334,571,228.16,-200.56,267.72,1
177,Morgan,bicep curls,0,22.142,-0.29,0.82,-0.19,-285,1810,208,212.52,-200.56,264.96,1
178,Morgan,bicep curls,0,22.25,-0.27,0.83,-0.2,40,377,199,206.08,-200.56,264.04,1
179,Morgan,bicep curls,0,22.365,-0.27,0.83,-0.21,156,-14,36,206.08,-201.48,261.28,1
180,Morgan,bicep curls,0,22.542,-0.26,0.83,-0.21,159,459,37,206.08,-201.48,264.04,1
181,Morgan,bicep curls,0,22.641,-0.25,0.83,-0.21,132,514,-51,206.08,-200.56,265.88,1
182,Morgan,bicep curls,0,22.742,-0.26,0.83,-0.2,89,174,76,203.32,-199.64,264.04,1
183,Morgan,bicep curls,0,22.878,-0.25,0.84,-0.21,74,118,-15,202.4,-201.48,266.8,1
184,Morgan,bicep curls,0,23.042,-0.26,0.83,-0.21,-9,247,8,202.4,-199.64,264.04,1
185,Morgan,bicep curls,0,23.141,-0.26,0.83,-0.21,33,303,-77,201.48,-201.48,265.88,1
186,Morgan,bicep curls,0,23.241,-0.25,0.83,-0.21,126,421,-34,198.72,-198.72,265.88,1
187,Morgan,bicep curls,0,23.341,-0.24,0.84,-0.21,126,411,96,196.88,-201.48,265.88,1
188,Morgan,bicep curls,0,23.459,-0.24,0.84,-0.21,94,322,71,195.96,-201.48,264.04,1
189,Morgan,bicep curls,0,23.568,-0.23,0.84,-0.22,112,310,88,196.88,-198.72,264.04,1
190,Morgan,bicep curls,0,23.742,-0.24,0.84,-0.22,78,211,109,195.96,-198.72,264.04,1
191,Morgan,bicep curls,0,23.841,-0.24,0.84,-0.22,103,182,-1,192.28,-199.64,264.96,1
192,Morgan,bicep curls,0,23.941,-0.24,0.84,-0.22,142,62,4,191.36,-200.56,265.88,1
193,Morgan,bicep curls,0,24.064,-0.24,0.84,-0.22,73,155,-49,191.36,-201.48,264.04,1
194,Morgan,bicep curls,0,24.168,-0.23,0.84,-0.21,70,205,43,191.36,-199.64,264.04,1
195,Morgan,bicep curls,0,24.342,-0.23,0.84,-0.22,-11,291,54,191.36,-199.64,263.12,1
196,Morgan,bicep curls,0,24.442,-0.23,0.84,-0.22,46,271,-34,189.52,-201.48,261.28,1
197,Morgan,bicep curls,0,24.542,-0.23,0.84,-0.22,58,122,-3,189.52,-200.56,262.2,1
198,Morgan,bicep curls,0,24.642,-0.23,0.84,-0.22,109,215,13,188.6,-199.64,261.28,1
199,Morgan,bicep curls,0,24.762,-0.22,0.84,-0.22,118,222,19,192.28,-199.64,260.36,1
200,Morgan,bicep curls,0,24.942,-0.22,0.84,-0.22,98,142,47,187.68,-199.64,263.12,1
201,Morgan,bicep curls,0,25.041,-0.22,0.84,-0.22,54,239,3,186.76,-200.56,262.2,1
203,Morgan,bicep curls,0,0.158,-0.18,0.88,-0.15,75,328,-72,192.28,-207,244.72,2
204,Morgan,bicep curls,0,0.238,-0.18,0.88,-0.14,138,151,-23,195.96,-206.08,245.64,2
205,Morgan,bicep curls,0,0.352,-0.18,0.88,-0.15,107,256,67,194.12,-206.08,244.72,2
206,Morgan,bicep curls,0,0.463,-0.18,0.88,-0.15,140,104,13,195.96,-207,245.64,2
207,Morgan,bicep curls,0,0.594,-0.18,0.88,-0.14,42,128,-85,192.28,-208.84,244.72,2
